cfg,ic_hist,t_hist_naive,ic_fixed,t_fixed_naive,t_fixed_hac
lasso__F2__fwd6_rk,0.0961,5.56,0.055,2.18,1.36
enet__F2__fwd6_rk,0.0942,5.43,0.0533,2.08,1.29
svrlin__F2__fwd6_z,0.0936,5.16,0.064,2.59,1.63
lasso__F3__fwd6_rk,0.09,5.25,0.0473,1.79,1.06
huber__F2__fwd6_z,0.0876,4.89,0.0584,2.3,1.43
huber__F2__fwd12_z,0.0773,4.2,-0.0842,-3.8,-2.0
V3.7规则分(对照),0.1127,8.11,0.1011,5.41,3.32
