share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
022137,中银MSCI中国A50互联互通指数增强-E,指数型-海外股票,存续,2024-11-25,,2024-11-25,tushare_fund_basic,中银基金管理有限公司,,022137.OF,014623,False
022144,银华中证高股息策略ETF联接-A,指数型-股票,存续,2024-12-03,,2024-12-03,tushare_fund_basic,银华基金管理股份有限公司,,022144.OF,022144,True
022145,银华中证高股息策略ETF联接-C,指数型-股票,存续,2024-12-03,,2024-12-03,tushare_fund_basic,银华基金管理股份有限公司,,022145.OF,022144,False
022151,国投瑞银中证港股通央企红利指数-A,指数型-海外股票,存续,2024-11-19,,2024-11-19,tushare_fund_basic,国投瑞银基金管理有限公司,,022151.OF,022151,True
022152,国投瑞银中证港股通央企红利指数-C,指数型-海外股票,存续,2024-11-19,,2024-11-19,tushare_fund_basic,国投瑞银基金管理有限公司,,022152.OF,022151,False
022164,西部利得央企优选股票-A,股票型,存续,2024-12-10,,2024-12-10,tushare_fund_basic,西部利得基金管理有限公司,,022164.OF,022164,True
022165,西部利得央企优选股票-C,股票型,存续,2024-12-10,,2024-12-10,tushare_fund_basic,西部利得基金管理有限公司,,022165.OF,022164,False
022168,富国洞见价值股票-E,股票型,存续,2024-10-15,,2024-10-15,tushare_fund_basic,富国基金管理有限公司,,022168.OF,019941,False
022169,大成中证红利指数-E,指数型-股票,存续,2024-09-13,,2024-09-13,tushare_fund_basic,大成基金管理有限公司,,022169.OF,022169,True
022173,海富通沪港深灵活配置混合-C,混合型-灵活,存续,2024-09-25,,2024-09-25,tushare_fund_basic,海富通基金管理有限公司,,022173.OF,022173,True
022174,海富通沪港深灵活配置混合-D,混合型-灵活,存续,2024-09-25,,2024-09-25,tushare_fund_basic,海富通基金管理有限公司,,022174.OF,022174,True
022177,东财国证消费电子主题指数增强-E,指数型-股票,存续,2024-09-25,,2024-09-25,tushare_fund_basic,东财基金管理有限公司,,022177.OF,012319,False
022178,东财中证食品饮料指数增强-E,指数型-股票,存续,2024-10-18,,2024-10-18,tushare_fund_basic,东财基金管理有限公司,,022178.OF,012340,False
022184,富国全球科技互联网股票(QDII)-C,股票型,存续,2024-09-18,,2024-09-18,tushare_fund_basic,富国基金管理有限公司,,022184.OF,022184,True
022189,鹏华金城灵活配置混合-A,混合型-灵活,存续,2024-10-28,,2024-10-28,tushare_fund_basic,鹏华基金管理有限公司,,022189.OF,022189,True
022190,鹏华金城灵活配置混合-C,混合型-灵活,存续,2024-10-28,,2024-10-28,tushare_fund_basic,鹏华基金管理有限公司,,022190.OF,022189,False
022204,永赢中证A50指数增强-A,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,永赢基金管理有限公司,,022204.OF,022204,True
022205,永赢中证A50指数增强-C,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,永赢基金管理有限公司,,022205.OF,022204,False
022243,中邮军民融合灵活配置混合-C,混合型-灵活,存续,2024-09-27,,2024-09-27,tushare_fund_basic,中邮创业基金管理股份有限公司,,022243.OF,022243,True
022248,鹏华弘达灵活配置混合-E,混合型-灵活,存续,2024-09-25,,2024-09-25,tushare_fund_basic,鹏华基金管理有限公司,,022248.OF,022248,True
022252,中邮健康文娱灵活配置混合-C,混合型-灵活,存续,2024-09-27,,2024-09-27,tushare_fund_basic,中邮创业基金管理股份有限公司,,022252.OF,022252,True
022258,鹏华弘尚灵活配置混合-E,混合型-灵活,存续,2024-09-27,,2024-09-27,tushare_fund_basic,鹏华基金管理有限公司,,022258.OF,022258,True
022259,鹏华弘盛灵活配置混合-E,混合型-灵活,存续,2024-09-30,,2024-09-30,tushare_fund_basic,鹏华基金管理有限公司,,022259.OF,022259,True
022262,华泰柏瑞中证A50ETF联接-E,指数型-股票,存续,2024-09-30,,2024-09-30,tushare_fund_basic,华泰柏瑞基金管理有限公司,,022262.OF,021222,False
022274,国泰中证港股通高股息投资ETF联接-A,指数型-海外股票,存续,2024-10-09,,2024-10-09,tushare_fund_basic,国泰基金管理有限公司,,022274.OF,022274,True
022275,国泰中证港股通高股息投资ETF联接-C,指数型-海外股票,存续,2024-10-09,,2024-10-09,tushare_fund_basic,国泰基金管理有限公司,,022275.OF,022274,False
022281,鹏华弘润灵活配置混合-E,混合型-灵活,存续,2024-10-11,,2024-10-11,tushare_fund_basic,鹏华基金管理有限公司,,022281.OF,022281,True
022282,鹏华弘华灵活配置混合-E,混合型-灵活,存续,2024-10-14,,2024-10-14,tushare_fund_basic,鹏华基金管理有限公司,,022282.OF,022282,True
022284,鹏华弘信灵活配置混合-E,混合型-灵活,存续,2024-10-11,,2024-10-11,tushare_fund_basic,鹏华基金管理有限公司,,022284.OF,022284,True
022285,鹏华弘实灵活配置混合-E,混合型-灵活,存续,2024-10-10,,2024-10-10,tushare_fund_basic,鹏华基金管理有限公司,,022285.OF,022285,True
022288,合煦智远嘉选混合-E,混合型-灵活,存续,2024-10-22,,2024-10-22,tushare_fund_basic,合煦智远基金管理有限公司,,022288.OF,022288,True
022290,兴业中证红利指数-A,指数型-股票,存续,2025-05-29,,2025-05-29,tushare_fund_basic,兴业基金管理有限公司,,022290.OF,022290,True
022291,兴业中证红利指数-C,指数型-股票,存续,2025-05-29,,2025-05-29,tushare_fund_basic,兴业基金管理有限公司,,022291.OF,022290,False
022292,前海开源优选领航股票-A,股票型,存续,2025-01-03,,2025-01-03,tushare_fund_basic,前海开源基金管理有限公司,,022292.OF,022292,True
022293,前海开源优选领航股票-C,股票型,存续,2025-01-03,,2025-01-03,tushare_fund_basic,前海开源基金管理有限公司,,022293.OF,022292,False
022299,安信周期优选股票-A,股票型,存续,2024-10-15,,2024-10-15,tushare_fund_basic,安信基金管理有限责任公司,,022299.OF,022299,True
022300,安信周期优选股票-C,股票型,存续,2024-10-15,,2024-10-15,tushare_fund_basic,安信基金管理有限责任公司,,022300.OF,022299,False
022301,安信医药创新股票-A,股票型,存续,2024-10-15,,2024-10-15,tushare_fund_basic,安信基金管理有限责任公司,,022301.OF,022301,True
022302,安信医药创新股票-C,股票型,存续,2024-10-15,,2024-10-15,tushare_fund_basic,安信基金管理有限责任公司,,022302.OF,022301,False
022309,国联沪深300指数增强-A,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,国联基金管理有限公司,,022309.OF,022309,True
022310,国联沪深300指数增强-C,指数型-股票,存续,2024-11-26,,2024-11-26,tushare_fund_basic,国联基金管理有限公司,,022310.OF,022309,False
022311,永赢中证500指数增强-A,指数型-股票,存续,2025-03-18,,2025-03-18,tushare_fund_basic,永赢基金管理有限公司,,022311.OF,022311,True
022312,永赢中证500指数增强-C,指数型-股票,存续,2025-03-18,,2025-03-18,tushare_fund_basic,永赢基金管理有限公司,,022312.OF,022311,False
