date,nav,ret
2015-06-29,1.0,0.0
2015-06-30,1.011,0.011000000000000001
2015-07-01,1.004,-0.0069240000000000005
2015-07-02,0.991,-0.012948
2015-07-03,0.983,-0.008073
2015-07-06,0.983,0.0
2015-07-07,0.98,-0.0030520000000000005
2015-07-08,0.978,-0.002041
2015-07-09,0.978,0.0
2015-07-10,0.978,0.0
2015-07-13,0.981,0.003067
2015-07-14,0.978,-0.003058
2015-07-15,0.97,-0.00818
2015-07-16,0.965,-0.005155
2015-07-17,0.969,0.004144999999999999
2015-07-20,0.972,0.003096
2015-07-21,0.976,0.004115
2015-07-22,0.978,0.002049
2015-07-23,0.984,0.006135000000000001
2015-07-24,0.979,-0.005081
2015-07-27,0.953,-0.026558000000000002
2015-07-28,0.944,-0.009444000000000001
2015-07-29,0.965,0.022246000000000002
2015-07-30,0.945,-0.020724999999999997
2015-07-31,0.933,-0.012698000000000001
2015-08-03,0.914,-0.020364
2015-08-04,0.94,0.028446
2015-08-05,0.94,0.0
2015-08-06,0.937,-0.003191
2015-08-07,0.954,0.018143
2015-08-10,0.988,0.035639
2015-08-11,0.99,0.0020239999999999998
2015-08-12,0.977,-0.013130999999999999
2015-08-13,1.005,0.028659
2015-08-14,1.014,0.008955
2015-08-17,1.034,0.019724
2015-08-18,0.964,-0.067698
2015-08-19,0.974,0.010373
2015-08-20,0.946,-0.028746999999999998
2015-08-21,0.916,-0.031712
2015-08-24,0.872,-0.048034999999999994
2015-08-25,0.824,-0.055046
2015-08-26,0.8,-0.029126
2015-08-27,0.83,0.0375
2015-08-28,0.874,0.053012
2015-08-31,0.859,-0.017162
2015-09-01,0.818,-0.047729999999999995
2015-09-02,0.809,-0.011002000000000001
2015-09-07,0.816,0.008653
2015-09-08,0.834,0.022059000000000002
2015-09-09,0.851,0.020384000000000003
2015-09-10,0.839,-0.014100999999999999
2015-09-11,0.844,0.005959
2015-09-14,0.809,-0.041469
2015-09-15,0.783,-0.032138
2015-09-16,0.817,0.043422999999999996
2015-09-17,0.811,-0.007344000000000001
2015-09-18,0.818,0.008631
2015-09-21,0.84,0.026895
2015-09-22,0.84,0.0
2015-09-23,0.838,-0.002381
2015-09-24,0.844,0.00716
2015-09-25,0.829,-0.017773
2015-09-28,0.842,0.015682
2015-09-29,0.837,-0.005938
2015-09-30,0.834,-0.003584
2015-10-08,0.852,0.021583
2015-10-09,0.855,0.0035210000000000003
2015-10-12,0.873,0.021053000000000002
2015-10-13,0.885,0.013746000000000001
2015-10-14,0.867,-0.020339
2015-10-15,0.894,0.031142
2015-10-16,0.906,0.013423000000000001
2015-10-19,0.915,0.009934
2015-10-20,0.924,0.009836000000000001
2015-10-21,0.875,-0.05303
2015-10-22,0.901,0.029714
2015-10-23,0.923,0.024417
2015-10-26,0.929,0.006501
2015-10-27,0.937,0.008611
2015-10-28,0.911,-0.027748
2015-10-29,0.92,0.009879
2015-10-30,0.933,0.01413
2015-11-02,0.912,-0.022508
2015-11-03,0.918,0.006579000000000001
2015-11-04,0.971,0.057733999999999994
2015-11-05,0.98,0.009269
2015-11-06,1.008,0.028571
2015-11-09,1.029,0.020833
2015-11-10,1.04,0.01069
2015-11-11,1.052,0.011538
2015-11-12,1.046,-0.005703000000000001
2015-11-13,1.019,-0.025813000000000003
2015-11-16,1.047,0.027478
2015-11-17,1.035,-0.011460999999999999
2015-11-18,1.009,-0.025121
2015-11-19,1.044,0.034688
2015-11-20,1.078,0.032567
2015-11-23,1.067,-0.010204
2015-11-24,1.081,0.013121
2015-11-25,1.12,0.036078
2015-11-26,1.103,-0.015179
2015-11-27,1.026,-0.06981
2015-11-30,1.024,-0.001949
2015-12-01,1.009,-0.014648000000000001
2015-12-02,1.005,-0.003964
2015-12-03,1.024,0.018905
2015-12-04,1.018,-0.005859
2015-12-07,1.028,0.009823
2015-12-08,1.023,-0.004864
2015-12-09,1.029,0.005865
2015-12-10,1.028,-0.000972
2015-12-11,1.011,-0.016537
2015-12-14,1.035,0.023739
2015-12-15,1.06,0.024155000000000003
2015-12-16,1.08,0.018868
2015-12-17,1.103,0.021296
2015-12-18,1.096,-0.006346000000000001
2015-12-21,1.088,-0.007299
2015-12-22,1.089,0.000919
2015-12-23,1.074,-0.013774
2015-12-24,1.072,-0.001862
2015-12-25,1.087,0.013993
2015-12-28,1.06,-0.024839000000000003
2015-12-29,1.07,0.009434
2015-12-30,1.087,0.015888
2015-12-31,1.058,-0.026678999999999998
2016-01-04,0.971,-0.082231
2016-01-05,0.942,-0.029866
2016-01-06,0.965,0.024416000000000004
2016-01-07,0.886,-0.08186500000000001
2016-01-08,0.891,0.0056430000000000004
2016-01-11,0.835,-0.062851
2016-01-12,0.839,0.00479
2016-01-13,0.806,-0.039333
2016-01-14,0.84,0.042184
2016-01-15,0.811,-0.034524
2016-01-18,0.819,0.009864000000000001
2016-01-19,0.85,0.037850999999999996
2016-01-20,0.84,-0.011765000000000001
2016-01-21,0.81,-0.035714
2016-01-22,0.819,0.011111
2016-01-25,0.846,0.032966999999999996
2016-01-26,0.81,-0.042553
2016-01-27,0.82,0.012346
2016-01-28,0.788,-0.039024
2016-01-29,0.804,0.020305
2016-02-01,0.792,-0.014924999999999999
2016-02-02,0.817,0.031566000000000004
