date,nav,ret
2023-03-17,1.0,0.0
2023-03-24,0.9992,0.0
2023-03-31,1.0029,0.0
2023-04-07,0.9917,0.0
2023-04-14,0.9913,0.0
2023-04-21,0.9836,0.0
2023-04-28,0.991,0.0
2023-05-05,0.9786,0.0
2023-05-12,0.9838,0.0
2023-05-18,1.0012,0.0
2023-05-19,0.9956,-0.005600000000000001
2023-05-22,1.0134,0.0179
2023-05-23,1.0001,-0.0131
2023-05-24,1.001,0.0009
2023-05-25,1.001,0.0
2023-05-26,1.0013,0.0003
2023-05-29,1.0034,0.0021
2023-05-30,1.0087,0.0053
2023-05-31,1.0095,0.0008
2023-06-01,1.0105,0.001
2023-06-02,1.0162,0.005600000000000001
2023-06-05,1.0199,0.0036
2023-06-06,0.9979,-0.0216
2023-06-07,0.9894,-0.0085
2023-06-08,0.9743,-0.015300000000000001
2023-06-09,0.9883,0.0144
2023-06-12,1.0068,0.0187
2023-06-13,1.0178,0.0109
2023-06-14,1.0187,0.0009
2023-06-15,1.0552,0.0358
2023-06-16,1.0576,0.0023
2023-06-19,1.0727,0.0143
2023-06-20,1.0907,0.0168
2023-06-21,1.0752,-0.014199999999999999
2023-06-26,1.0624,-0.011899999999999999
2023-06-27,1.0629,0.0005
2023-06-28,1.0546,-0.0078000000000000005
2023-06-29,1.0664,0.011200000000000002
2023-06-30,1.0814,0.0141
2023-07-03,1.0819,0.0005
2023-07-04,1.1025,0.019
2023-07-05,1.0887,-0.0125
2023-07-06,1.0857,-0.0028000000000000004
2023-07-07,1.0683,-0.016
2023-07-10,1.0602,-0.0076
2023-07-11,1.0844,0.022799999999999997
2023-07-12,1.0703,-0.013000000000000001
2023-07-13,1.0661,-0.0039000000000000003
2023-07-14,1.0544,-0.011000000000000001
2023-07-17,1.0494,-0.004699999999999999
2023-07-18,1.0557,0.006
2023-07-19,1.0443,-0.0108
2023-07-20,1.0173,-0.0259
2023-07-21,1.0037,-0.0134
2023-07-24,1.0023,-0.0014000000000000002
2023-07-25,1.0234,0.021099999999999997
2023-07-26,1.0005,-0.022400000000000003
2023-07-27,1.001,0.0005
2023-07-28,0.9917,-0.009300000000000001
2023-07-31,1.0078,0.016200000000000003
2023-08-01,1.0052,-0.0026
2023-08-02,1.0093,0.0040999999999999995
2023-08-03,1.0065,-0.0028000000000000004
2023-08-04,1.0197,0.0131
2023-08-07,1.0239,0.0040999999999999995
2023-08-08,1.0253,0.0014000000000000002
2023-08-09,1.0139,-0.0111
2023-08-10,1.0167,0.0028000000000000004
2023-08-11,0.9993,-0.0171
2023-08-14,0.9913,-0.008
2023-08-15,0.9757,-0.015700000000000002
2023-08-16,0.9526,-0.023700000000000002
2023-08-17,0.9645,0.0125
