date,nav,ret
2023-05-09,1.1107,0.0
2023-05-10,1.1097,-0.0009
2023-05-11,1.1099,0.0002
2023-05-12,1.1057,-0.0038
2023-05-15,1.1085,0.0025
2023-05-16,1.1065,-0.0018
2023-05-17,1.1068,0.0003
2023-05-18,1.1089,0.0019
2023-05-19,1.1091,0.0002
2023-05-22,1.1102,0.001
2023-05-23,1.1064,-0.0034000000000000002
2023-05-24,1.1036,-0.0025
2023-05-25,1.1025,-0.001
2023-05-26,1.105,0.0023
2023-05-29,1.1053,0.0003
2023-05-30,1.1071,0.0016
2023-05-31,1.1071,0.0
2023-06-01,1.1077,0.0005
2023-06-02,1.1101,0.0022
2023-06-05,1.1106,0.0005
2023-06-06,1.106,-0.0040999999999999995
2023-06-07,1.1075,0.0014000000000000002
2023-06-08,1.1074,-0.0001
2023-06-09,1.11,0.0023
2023-06-12,1.1108,0.0007000000000000001
2023-06-13,1.1124,0.0014000000000000002
2023-06-14,1.1132,0.0007000000000000001
2023-06-15,1.1136,0.0004
2023-06-16,1.1156,0.0018
2023-06-19,1.1152,-0.0004
2023-06-20,1.1148,-0.0004
2023-06-21,1.1096,-0.004699999999999999
2023-06-26,1.1036,-0.0054
2023-06-27,1.1076,0.0036
2023-06-28,1.1068,-0.0007000000000000001
2023-06-29,1.1077,0.0008
2023-06-30,1.1102,0.0023
2023-07-03,1.1127,0.0023
2023-07-04,1.113,0.0003
2023-07-05,1.1112,-0.0016
2023-07-06,1.1102,-0.0009
2023-07-07,1.1097,-0.0005
2023-07-10,1.1097,0.0
2023-07-11,1.1122,0.0023
2023-07-12,1.1094,-0.0025
2023-07-13,1.1129,0.0032
2023-07-14,1.1137,0.0007000000000000001
2023-07-17,1.113,-0.0006
2023-07-18,1.112,-0.0009
2023-07-19,1.1123,0.0003
2023-07-20,1.1089,-0.0031
2023-07-21,1.1089,0.0
2023-07-24,1.1083,-0.0005
2023-07-25,1.1121,0.0034000000000000002
2023-07-26,1.1103,-0.0016
2023-07-27,1.1088,-0.0014000000000000002
2023-07-28,1.1123,0.0032
2023-07-31,1.114,0.0015
2023-08-01,1.1134,-0.0005
2023-08-02,1.1123,-0.001
2023-08-03,1.1133,0.0009
2023-08-04,1.1151,0.0016
2023-08-07,1.1133,-0.0016
2023-08-08,1.1119,-0.0013
2023-08-09,1.1097,-0.002
2023-08-10,1.1107,0.0009
2023-08-11,1.1051,-0.005
2023-08-14,1.1055,0.0004
2023-08-15,1.104,-0.0014000000000000002
2023-08-16,1.1009,-0.0028000000000000004
2023-08-17,1.1038,0.0026
2023-08-18,1.0994,-0.004
2023-08-21,1.0968,-0.0024
2023-08-22,1.0999,0.0028000000000000004
2023-08-23,1.0955,-0.004
2023-08-24,1.0962,0.0006
2023-08-25,1.092,-0.0038
2023-08-28,1.0944,0.0022
2023-08-29,1.102,0.0069
2023-08-30,1.1041,0.0019
2023-08-31,1.1032,-0.0008
2023-09-01,1.104,0.0007000000000000001
2023-09-04,1.1086,0.0042
2023-09-05,1.1058,-0.0025
2023-09-06,1.1061,0.0003
2023-09-07,1.101,-0.0046
2023-09-08,1.1001,-0.0008
2023-09-11,1.1022,0.0019
2023-09-12,1.1017,-0.0005
2023-09-13,1.0989,-0.0025
2023-09-14,1.0985,-0.0004
2023-09-15,1.0982,-0.0003
2023-09-18,1.0985,0.0003
2023-09-19,1.0972,-0.0012
2023-09-20,1.0958,-0.0013
2023-09-21,1.0938,-0.0018
2023-09-22,1.0983,0.0040999999999999995
2023-09-25,1.0967,-0.0015
2023-09-26,1.0955,-0.0011
2023-09-27,1.0959,0.0004
2023-09-28,1.0975,0.0015
2023-10-09,1.0969,-0.0005
2023-10-10,1.0954,-0.0014000000000000002
2023-10-11,1.0954,0.0
2023-10-12,1.0975,0.0019
2023-10-13,1.0953,-0.002
2023-10-16,1.0929,-0.0022
2023-10-17,1.093,0.0001
2023-10-18,1.0887,-0.0039000000000000003
2023-10-19,1.0843,-0.004
2023-10-20,1.0814,-0.0027
2023-10-23,1.0763,-0.004699999999999999
2023-10-24,1.0806,0.004
2023-10-25,1.0832,0.0024
2023-10-26,1.0845,0.0012
2023-10-27,1.0882,0.0034000000000000002
2023-10-30,1.0902,0.0018
2023-10-31,1.0887,-0.0014000000000000002
2023-11-01,1.0886,-0.0001
2023-11-02,1.0873,-0.0012
2023-11-03,1.0905,0.0029
2023-11-06,1.0949,0.004
2023-11-07,1.0953,0.0004
2023-11-08,1.095,-0.0003
2023-11-09,1.0943,-0.0006
2023-11-10,1.0927,-0.0015
2023-11-13,1.0948,0.0019
2023-11-14,1.096,0.0011
2023-11-15,1.0985,0.0023
2023-11-16,1.0966,-0.0017000000000000001
2023-11-17,1.0981,0.0014000000000000002
2023-11-20,1.1003,0.002
2023-11-21,1.099,-0.0012
2023-11-22,1.0957,-0.003
2023-11-23,1.0978,0.0019
2023-11-24,1.0945,-0.003
2023-11-27,1.0943,-0.0002
2023-11-28,1.0954,0.001
2023-11-29,1.0934,-0.0018
2023-11-30,1.092,-0.0013
2023-12-01,1.0938,0.0016
2023-12-04,1.0923,-0.0014000000000000002
2023-12-05,1.0869,-0.0049
2023-12-06,1.0889,0.0018
2023-12-07,1.0885,-0.0004
2023-12-08,1.0868,-0.0016
2023-12-11,1.0896,0.0026
2023-12-12,1.091,0.0013
2023-12-13,1.0886,-0.0022
2023-12-14,1.0884,-0.0002
2023-12-15,1.0879,-0.0005
2023-12-18,1.0843,-0.0033
2023-12-19,1.0849,0.0006
2023-12-20,1.082,-0.0027
2023-12-21,1.0842,0.002
2023-12-22,1.0801,-0.0038
2023-12-25,1.0797,-0.0004
2023-12-26,1.0761,-0.0033
2023-12-27,1.079,0.0027
2023-12-28,1.0849,0.0055000000000000005
2023-12-29,1.0899,0.0046
2023-12-31,1.0899,0.0
2024-01-02,1.0903,0.0004
2024-01-03,1.0889,-0.0013
2024-01-04,1.0878,-0.001
2024-01-05,1.084,-0.0034999999999999996
2024-01-08,1.0782,-0.0054
2024-01-09,1.0802,0.0019
2024-01-10,1.0781,-0.0019
2024-01-11,1.0819,0.0034999999999999996
2024-01-12,1.0806,-0.0012
2024-01-15,1.0803,-0.0003
2024-01-16,1.0796,-0.0006
2024-01-17,1.0721,-0.0069
2024-01-18,1.0708,-0.0012
2024-01-19,1.0684,-0.0022
2024-01-22,1.0532,-0.014199999999999999
2024-01-23,1.0541,0.0009
2024-01-24,1.0586,0.0043
2024-01-25,1.0694,0.0102
2024-01-26,1.0691,-0.0003
2024-01-29,1.0624,-0.0063
2024-01-30,1.055,-0.006999999999999999
2024-01-31,1.0465,-0.008100000000000001
2024-02-01,1.0447,-0.0017000000000000001
2024-02-02,1.0365,-0.0078000000000000005
2024-02-05,1.0252,-0.0109
2024-02-06,1.0361,0.0106
2024-02-07,1.0391,0.0029
2024-02-08,1.0488,0.009300000000000001
2024-02-19,1.0546,0.0055000000000000005
2024-02-20,1.0582,0.0034000000000000002
2024-02-21,1.0626,0.0042
2024-02-22,1.0671,0.0042
2024-02-23,1.0707,0.0034000000000000002
2024-02-26,1.0715,0.0007000000000000001
2024-02-27,1.0781,0.0062
2024-02-28,1.0662,-0.011000000000000001
2024-02-29,1.0756,0.0088
2024-03-01,1.0779,0.0021
2024-03-04,1.0786,0.0006
2024-03-05,1.0755,-0.0029
2024-03-06,1.0771,0.0015
2024-03-07,1.0756,-0.0014000000000000002
2024-03-08,1.0784,0.0026
2024-03-11,1.082,0.0033
2024-03-12,1.0824,0.0004
2024-03-13,1.0824,0.0
2024-03-14,1.0807,-0.0016
2024-03-15,1.0834,0.0025
2024-03-18,1.087,0.0033
2024-03-19,1.0857,-0.0012
2024-03-20,1.0885,0.0026
2024-03-21,1.0889,0.0004
2024-03-22,1.0864,-0.0023
2024-03-25,1.0832,-0.0029
2024-03-26,1.0822,-0.0009
2024-03-27,1.0775,-0.0043
2024-03-28,1.0812,0.0034000000000000002
2024-03-29,1.0854,0.0039000000000000003
2024-04-01,1.0903,0.0045000000000000005
2024-04-02,1.0899,-0.0004
2024-04-03,1.0901,0.0002
2024-04-08,1.0867,-0.0031
2024-04-09,1.0883,0.0015
2024-04-10,1.0863,-0.0018
2024-04-11,1.0884,0.0019
2024-04-12,1.089,0.0006
2024-04-15,1.089,0.0
2024-04-16,1.0803,-0.008
2024-04-17,1.0885,0.0076
2024-04-18,1.0903,0.0017000000000000001
2024-04-19,1.0888,-0.0014000000000000002
2024-04-22,1.0867,-0.0019
2024-04-23,1.084,-0.0025
2024-04-24,1.0882,0.0039000000000000003
2024-04-25,1.088,-0.0002
2024-04-26,1.093,0.0046
2024-04-29,1.0958,0.0026
2024-04-30,1.0965,0.0006
2024-05-06,1.1035,0.0064
2024-05-07,1.1043,0.0007000000000000001
2024-05-08,1.1014,-0.0026
2024-05-09,1.1061,0.0043
2024-05-10,1.1065,0.0004
2024-05-13,1.1066,0.0001
2024-05-14,1.1082,0.0014000000000000002
2024-05-15,1.1059,-0.0021
2024-05-16,1.1053,-0.0005
2024-05-17,1.107,0.0015
2024-05-20,1.1102,0.0029
2024-05-21,1.1073,-0.0026
2024-05-22,1.1064,-0.0008
2024-05-23,1.1016,-0.0043
2024-05-24,1.0992,-0.0022
2024-05-27,1.104,0.0044
2024-05-28,1.1006,-0.0031
2024-05-29,1.1007,0.0001
2024-05-30,1.0976,-0.0028000000000000004
2024-05-31,1.0975,-0.0001
2024-06-03,1.0966,-0.0008
2024-06-04,1.1001,0.0032
2024-06-05,1.0952,-0.0045000000000000005
2024-06-06,1.0943,-0.0008
2024-06-07,1.0948,0.0005
2024-06-11,1.0928,-0.0018
2024-06-12,1.0947,0.0017000000000000001
2024-06-13,1.0912,-0.0032
2024-06-14,1.0926,0.0013
2024-06-17,1.0899,-0.0025
2024-06-18,1.0917,0.0017000000000000001
2024-06-19,1.0899,-0.0016
2024-06-20,1.0857,-0.0039000000000000003
2024-06-21,1.0848,-0.0008
2024-06-24,1.0771,-0.0070999999999999995
2024-06-25,1.078,0.0008
2024-06-26,1.0821,0.0038
2024-06-27,1.0772,-0.0045000000000000005
2024-06-28,1.081,0.0034999999999999996
2024-06-30,1.081,0.0
2024-07-01,1.0856,0.0043
2024-07-02,1.0824,-0.0029
2024-07-03,1.0797,-0.0025
2024-07-04,1.0767,-0.0028000000000000004
2024-07-05,1.0779,0.0011
2024-07-08,1.0732,-0.0044
2024-07-09,1.0782,0.004699999999999999
