date,nav,ret
2003-08-08,1.0,0.0
2003-09-18,1.0,0.0
2003-09-19,1.0,0.0
2003-09-22,0.998,-0.002
2003-09-23,0.998,0.0
2003-09-24,0.998,0.0
2003-09-25,0.997,-0.001002
2003-09-26,0.997,0.0
2003-09-29,0.997,0.0
2003-09-30,0.998,0.001003
2003-10-08,0.999,0.001002
2003-10-09,0.998,-0.001001
2003-10-10,1.002,0.004008
2003-10-13,1.001,-0.000998
2003-10-14,1.001,0.0
2003-10-15,0.999,-0.001998
2003-10-16,0.998,-0.001001
2003-10-17,0.999,0.001002
2003-10-20,0.998,-0.001001
2003-10-21,0.999,0.001002
2003-10-22,1.005,0.006006
2003-10-23,1.003,-0.00199
2003-10-24,1.003,0.0
2003-10-27,1.004,0.000997
2003-10-28,1.006,0.001992
2003-10-29,1.007,0.000994
2003-10-30,1.005,-0.001986
2003-10-31,1.006,0.000995
2003-11-03,1.01,0.003976
2003-11-04,1.016,0.005940999999999999
2003-11-05,1.015,-0.000984
2003-11-06,1.012,-0.002956
2003-11-07,1.006,-0.005929
2003-11-10,1.009,0.0029820000000000003
2003-11-11,1.007,-0.001982
2003-11-12,1.002,-0.004965
2003-11-13,1.002,0.0
2003-11-14,1.004,0.001996
2003-11-17,1.003,-0.000996
2003-11-18,1.002,-0.000997
2003-11-19,1.005,0.002994
2003-11-20,1.011,0.00597
2003-11-21,1.009,-0.001978
2003-11-24,1.02,0.010902
2003-11-25,1.02,0.0
2003-11-26,1.02,0.0
2003-11-27,1.015,-0.004902
2003-11-28,1.019,0.003941
2003-12-01,1.029,0.009814
2003-12-02,1.03,0.000972
2003-12-03,1.035,0.004854
2003-12-04,1.037,0.0019320000000000001
2003-12-05,1.038,0.000964
2003-12-08,1.035,-0.0028899999999999998
2003-12-09,1.037,0.0019320000000000001
2003-12-10,1.045,0.007715
2003-12-11,1.046,0.000957
2003-12-12,1.046,0.0
2003-12-15,1.046,0.0
2003-12-16,1.047,0.000956
2003-12-17,1.044,-0.002865
2003-12-18,1.052,0.007663
2003-12-19,1.037,0.004753
2003-12-22,1.052,0.014464999999999999
2003-12-23,1.056,0.003802
2003-12-24,1.064,0.007576
2003-12-25,1.062,-0.00188
2003-12-26,1.061,-0.000942
2003-12-29,1.057,-0.00377
2003-12-30,1.063,0.005676
2003-12-31,1.057,-0.005644
2004-01-02,1.065,0.007569
2004-01-05,1.091,0.024413
2004-01-06,1.099,0.007332999999999999
2004-01-07,1.102,0.0027300000000000002
2004-01-08,1.112,0.009074
2004-01-09,1.1,-0.010791
2004-01-12,1.117,0.015455000000000002
2004-01-13,1.116,-0.000895
2004-01-14,1.106,-0.008961
2004-01-15,1.102,-0.0036170000000000004
2004-01-16,1.106,0.00363
2004-01-29,1.116,0.009042
2004-01-30,1.105,-0.009857
2004-02-02,1.117,0.010860000000000002
2004-02-03,1.121,0.0035809999999999995
2004-02-04,1.137,0.014273000000000001
2004-02-05,1.138,0.0008799999999999999
2004-02-06,1.132,-0.005272
2004-02-09,1.141,0.007951
2004-02-10,1.135,-0.005259000000000001
2004-02-11,1.13,-0.004405
2004-02-12,1.12,-0.00885
2004-02-13,1.122,0.001786
2004-02-16,1.137,0.013368999999999999
2004-02-17,1.139,0.001759
2004-02-18,1.143,0.003512
2004-02-19,1.14,-0.002625
2004-02-20,1.14,0.0
2004-02-23,1.122,-0.015789
2004-02-24,1.123,0.000891
2004-02-25,1.11,-0.011576
2004-02-26,1.116,0.005405
2004-02-27,1.124,0.007168
2004-03-01,1.129,0.004448
2004-03-02,1.125,-0.003543
2004-03-03,1.116,-0.008
2004-03-04,1.116,0.0
2004-03-05,1.114,-0.001792
2004-03-08,1.065,-0.008079
2004-03-09,1.065,0.0
2004-03-10,1.08,0.014085
2004-03-11,1.087,0.006481
2004-03-12,1.09,0.0027600000000000003
2004-03-15,1.109,0.017431000000000002
2004-03-16,1.113,0.0036070000000000004
2004-03-17,1.112,-0.000898
2004-03-18,1.099,-0.011691
2004-03-19,1.112,0.011829000000000001
2004-03-22,1.112,0.0
2004-03-23,1.102,-0.008993
2004-03-24,1.103,0.000907
2004-03-25,1.106,0.00272
2004-03-26,1.107,0.000904
2004-03-29,1.098,-0.00813
2004-03-30,1.099,0.000911
2004-03-31,1.104,0.00455
2004-04-01,1.113,0.008152
2004-04-02,1.123,0.008985
2004-04-05,1.122,-0.00089
2004-04-06,1.125,0.002674
2004-04-07,1.122,-0.002667
2004-04-08,1.119,-0.002674
2004-04-09,1.1,-0.016979
2004-04-12,1.097,-0.002727
2004-04-13,1.093,-0.003646
2004-04-14,1.085,-0.007319
2004-04-15,1.079,-0.00553
2004-04-16,1.09,0.010195000000000001
2004-04-19,1.08,-0.009174
2004-04-20,1.076,-0.0037040000000000003
2004-04-21,1.064,-0.011152
2004-04-22,1.068,0.003759
2004-04-23,1.063,-0.004682
2004-04-26,1.068,0.004704
2004-04-27,1.062,-0.005618
2004-04-28,1.052,-0.009416
2004-04-29,1.037,-0.014258999999999999
2004-04-30,1.049,0.011572
2004-05-10,1.033,-0.015253000000000001
2004-05-11,1.033,0.0
2004-05-12,1.048,0.014521
2004-05-13,1.045,-0.002863
2004-05-14,1.03,-0.014354
2004-05-17,1.02,-0.009709
2004-05-18,1.016,-0.003922
2004-05-19,1.022,0.005906
2004-05-20,1.02,-0.001957
2004-05-21,1.025,0.004902
2004-05-24,1.024,-0.0009760000000000001
2004-05-25,1.014,-0.009766
2004-05-26,1.021,0.006903
2004-05-27,1.037,0.015671
2004-05-28,1.033,-0.0038569999999999998
2004-05-31,1.037,0.003872
2004-06-01,1.048,0.010608
2004-06-02,1.042,-0.005725
2004-06-03,1.032,-0.009597
2004-06-04,1.032,0.0
2004-06-07,1.023,-0.008721
2004-06-08,1.015,-0.00782
2004-06-09,1.007,-0.007882
2004-06-10,1.008,0.000993
2004-06-11,1.01,0.001984
2004-06-14,0.997,-0.012870999999999999
2004-06-15,1.006,0.009027
2004-06-16,1.012,0.0059640000000000006
2004-06-17,0.995,-0.016798
2004-06-18,0.984,-0.011054999999999999
