date,nav,ret
2019-03-20,1.0,0.0
2019-03-22,1.0001,0.0
2019-03-29,1.0005,0.0
2019-04-04,1.0009,0.0
2019-04-12,1.0012,0.0
2019-04-18,1.0015,0.0
2019-04-19,1.0016,0.0001
2019-04-22,1.0021,0.000499
2019-04-23,1.0021,0.0
2019-04-24,1.002,-0.0001
2019-04-25,1.0018,-0.0002
2019-04-26,1.0018,0.0
2019-04-29,1.0017,-0.0001
2019-04-30,1.0017,0.0
2019-05-06,1.0015,-0.0002
2019-05-07,1.0015,0.0
2019-05-08,1.0015,0.0
2019-05-09,1.0015,0.0
2019-05-10,1.0014,-0.0001
2019-05-13,1.0014,0.0
2019-05-14,1.0014,0.0
2019-05-15,1.0013,-0.0001
2019-05-16,1.0013,0.0
2019-05-17,1.0013,0.0
2019-05-20,1.0012,-0.0001
2019-05-21,1.0012,0.0
2019-05-22,1.0012,0.0
2019-05-23,1.0012,0.0
2019-05-24,1.0012,0.0
2019-05-27,1.0012,0.0
2019-05-28,1.0012,0.0
2019-05-29,1.0013,0.0001
2019-05-30,1.0013,0.0
2019-05-31,1.0014,0.0001
2019-06-03,1.0014,0.0
2019-06-04,1.0013,-0.0001
2019-06-05,1.0016,0.0003
2019-06-06,1.0016,0.0
2019-06-10,1.0016,0.0
2019-06-11,1.0015,-0.0001
2019-06-12,1.0015,0.0
2019-06-13,1.0015,0.0
2019-06-14,1.0015,0.0
2019-06-17,1.0016,0.0001
2019-06-18,1.0016,0.0
2019-06-19,1.0015,-0.0001
2019-06-20,1.0014,-0.0001
2019-06-21,1.0018,0.000399
2019-06-24,1.0019,0.0001
2019-06-25,1.002,0.0001
2019-06-26,1.0018,-0.0002
2019-06-27,1.0018,0.0
2019-06-28,1.0018,0.0
2019-06-30,1.0018,0.0
2019-07-01,1.0019,0.0001
2019-07-02,1.002,0.0001
2019-07-03,1.0022,0.0002
2019-07-04,1.0025,0.000299
2019-07-05,1.0025,0.0
2019-07-08,1.0024,-0.0001
2019-07-09,1.0024,0.0
