序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
37,018358,华富数字经济混合A,2026-07-31,2.7137,2.7137,3.1,-7.79,-31.22,7.04,42.13,142.86,267.81,184.28,65.97,171.37,145.8507,0.15%
38,021719,华泰紫金中证半导体产业指数型发起C,2026-07-31,3.334,3.334,2.31,-8.49,-25.97,28.29,42.67,142.79,239.72,,63.26,233.4,143.7669,0.00%
39,014736,创金合信专精特新股票发起A,2026-07-31,3.0129,3.0129,3.53,-11.88,-28.35,28.97,47.9,142.6,264.4,177.1,73.92,201.29,143.1327,0.15%
40,024069,上银中证半导体产业指数发起式A,2026-07-31,2.5848,2.5848,2.33,-9.3,-26.51,27.73,41.75,142.14,,,62.28,158.48,143.0694,0.07%
41,018359,华富数字经济混合C,2026-07-31,2.6803,2.6803,3.1,-7.79,-31.25,6.93,41.86,141.9,264.91,180.92,65.59,168.03,144.8881,0.00%
42,024070,上银中证半导体产业指数发起式C,2026-07-31,2.5786,2.5786,2.33,-9.31,-26.53,27.67,41.61,141.65,,,62.09,157.86,142.6004,0.00%
43,014737,创金合信专精特新股票发起C,2026-07-31,2.9458,2.9458,3.53,-11.88,-28.38,28.81,47.53,141.4,260.83,172.96,73.43,194.58,141.9151,0.00%
44,020839,南方中证半导体产业指数发起A,2026-07-31,3.5453,3.5453,2.46,-8.78,-26.33,29.0,43.2,141.06,225.88,,63.28,254.53,142.0661,0.12%
45,007491,南方信息创新混合C,2026-07-31,4.4734,4.4734,2.08,-10.37,-29.84,26.65,36.91,140.93,240.73,193.22,76.87,347.34,141.6878,0.00%
46,014854,嘉实中证半导体指数增强发起式A,2026-07-31,3.1737,3.1737,2.46,-9.24,-27.44,25.63,38.34,140.5,224.05,180.88,59.97,217.37,141.3827,0.10%
47,020840,南方中证半导体产业指数发起C,2026-07-31,3.5204,3.5204,2.46,-8.79,-26.34,28.91,42.98,140.35,223.92,,62.99,252.04,141.3382,0.00%
48,014855,嘉实中证半导体指数增强发起式C,2026-07-31,3.1401,3.1401,2.45,-9.24,-27.46,25.55,38.16,139.89,222.43,178.77,59.74,214.01,140.7683,0.00%
49,021532,天弘半导体设备指数A,2026-07-31,3.0726,3.0726,2.27,-8.89,-29.41,33.0,45.41,138.37,202.63,,69.94,207.26,139.0756,0.10%
50,021533,天弘半导体设备指数C,2026-07-31,3.0593,3.0593,2.27,-8.9,-29.42,32.93,45.26,137.87,201.41,,69.73,205.93,138.5977,0.00%
51,002289,华商改革创新股票A,2026-07-31,5.5284,5.5284,2.11,-5.87,-17.7,36.7,47.48,137.22,219.36,171.52,83.67,452.84,133.0986,0.15%
52,001170,宏利复兴混合A,2026-07-31,3.975,3.975,4.33,-9.99,-34.01,-0.9,37.97,136.75,271.84,236.58,50.28,297.5,142.378,0.15%
53,016500,华夏半导体龙头混合发起A,2026-07-31,3.232,3.232,2.83,-6.78,-27.11,21.04,39.54,136.57,222.94,177.9,60.44,223.2,135.2085,0.15%
54,001411,诺安创新驱动混合A,2026-07-31,2.623,2.738,2.02,-6.25,-17.75,46.37,56.88,136.09,197.06,159.7,91.04,193.17,133.779,0.15%
55,017612,宏利复兴混合C,2026-07-31,3.933,3.933,4.32,-10.0,-34.03,-0.98,37.76,135.93,269.3,233.59,50.0,236.73,141.7333,0.00%
56,002051,诺安创新驱动混合C,2026-07-31,2.588,2.703,2.01,-6.27,-17.76,46.3,56.75,135.7,196.45,158.8,90.86,186.52,133.3634,0.15%
57,016052,华商改革创新股票C,2026-07-31,5.368,5.368,2.11,-5.88,-17.74,36.4,46.94,135.66,215.15,165.26,82.91,123.96,131.569,0.00%
58,016501,华夏半导体龙头混合发起C,2026-07-31,3.178,3.178,2.83,-6.79,-27.14,20.92,39.27,135.6,219.98,174.23,60.07,217.8,134.2621,0.00%
59,020464,招商中证半导体产业ETF发起式联接A,2026-07-31,3.5861,3.5861,2.49,-9.14,-26.6,26.77,40.39,133.5,193.99,,59.58,258.61,134.4776,0.12%
60,009855,中加新兴成长混合A,2026-07-31,2.9167,2.9167,3.17,-11.72,-32.15,1.3,33.6,133.28,225.82,171.57,45.92,191.67,137.3423,0.12%
61,023828,万家中证半导体材料设备主题ETF发起式联接A,2026-07-31,2.4671,2.4671,2.05,-8.76,-29.73,31.12,42.83,133.25,,,68.04,146.71,133.9592,0.10%
62,010391,易方达战略新兴产业股票A,2026-07-31,2.4622,2.6022,2.81,-7.92,-26.6,12.23,44.15,132.84,279.09,254.99,53.1,163.01,137.9984,0.15%
63,023829,万家中证半导体材料设备主题ETF发起式联接C,2026-07-31,2.461,2.461,2.05,-8.77,-29.74,31.04,42.68,132.78,,,67.84,146.1,133.5136,0.00%
64,020356,华夏半导体材料设备ETF联接A,2026-07-31,3.2175,3.2175,2.07,-9.2,-30.15,32.11,43.59,132.76,194.51,,68.27,221.75,133.4567,0.12%
65,020465,招商中证半导体产业ETF发起式联接C,2026-07-31,3.551,3.551,2.49,-9.14,-26.63,26.64,40.11,132.58,191.69,,59.22,255.1,133.5723,0.00%
66,009856,中加新兴成长混合C,2026-07-31,2.8462,2.8462,3.16,-11.72,-32.18,1.2,33.33,132.32,223.21,168.31,45.57,184.62,136.3953,0.00%
67,005903,宏利绩优混合A,2026-07-31,3.8659,4.1069,3.83,-9.33,-33.69,-3.03,36.85,132.07,240.82,193.27,50.51,358.87,136.6781,0.15%
68,020357,华夏半导体材料设备ETF联接C,2026-07-31,3.1935,3.1935,2.06,-9.2,-30.16,32.01,43.38,132.07,192.74,,67.98,219.35,132.7624,0.00%
69,021893,易方达半导体设备ETF联接A,2026-07-31,2.3347,2.3347,2.05,-9.16,-29.86,31.72,43.15,131.94,,,67.93,133.47,132.6557,0.12%
