序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
2652,005028,鹏华研究精选灵活配置混合,2026-07-31,2.6845,2.6845,4.33,-12.33,-35.18,-10.63,-7.94,30.2,83.98,44.07,1.21,168.45,29.0067,0.15%
2653,014541,华安新能源主题混合A,2026-07-31,0.9998,0.9998,1.31,-2.13,-21.87,-25.51,-9.16,30.18,64.28,34.08,-7.91,-0.02,28.9399,0.15%
2654,017946,国富沪港深成长精选股票C,2026-07-31,2.3304,2.3304,1.49,1.08,-3.64,1.9,4.46,30.16,66.96,42.92,10.98,37.04,30.9581,0.00%
2655,024808,华夏成长动力混合A,2026-07-31,2.3575,2.3575,0.78,-0.41,-10.52,-10.95,2.59,30.16,,,7.78,31.88,30.6746,0.15%
2656,016464,兴全合瑞混合A,2026-07-31,1.3217,1.3217,1.47,1.25,-7.55,-3.93,2.47,30.15,68.61,34.81,7.13,32.17,29.9096,0.15%
2657,121008,国投瑞银成长优选混合,2026-07-31,0.6715,4.0964,0.77,0.28,-12.51,-2.51,3.42,30.14,42.45,18.33,8.22,185.95,30.9222,0.15%
2658,519951,长信利泰灵活配置混合A,2026-07-31,1.4099,1.8289,2.14,2.72,1.09,-2.92,-1.28,30.14,83.15,39.48,8.71,93.25,29.5507,0.08%
2659,002168,嘉实智能汽车股票,2026-07-31,2.73,2.73,-0.18,1.3,-14.95,-27.43,-12.08,30.12,63.38,-0.29,-12.64,173.0,29.3226,0.15%
2660,019155,易方达全球配置混合(QDII)A(人民币),2026-07-30,1.5457,1.5457,-1.42,-9.61,-29.97,-13.94,6.54,30.11,64.12,,20.14,54.57,,0.15%
2661,006574,人保行业轮动混合C,2026-07-31,1.3791,1.3791,2.16,-5.64,-24.23,-1.34,10.74,30.1,57.94,5.89,20.86,37.91,29.4079,0.00%
2662,015087,易方达优势先锋一年持有混合(FOF)A,2026-07-30,1.2859,1.2859,-1.21,-2.11,-6.53,-0.49,0.38,30.1,68.14,37.46,6.45,28.59,,0.12%
2663,519191,万家新利灵活配置混合,2026-07-31,2.2962,2.6588,1.11,3.85,12.12,-4.06,9.13,30.07,21.76,47.43,22.17,221.25,29.4071,0.06%
2664,013294,东方红智选三年持有混合A,2026-07-31,0.8798,0.8798,1.16,-3.87,-25.19,-17.54,-4.99,30.07,45.93,14.72,0.92,-12.02,29.6875,1.50%
2665,000825,圆信永丰双利C,2026-07-31,1.0267,2.6994,0.71,3.75,-3.94,-4.93,3.71,30.06,46.5,18.35,8.39,276.36,29.5521,0.00%
2666,001602,鑫元鑫新收益灵活配置混合C,2026-07-31,0.8438,1.0238,2.55,-7.99,-27.54,-9.72,3.19,30.06,42.13,-6.07,3.18,-1.95,32.4855,0.00%
2667,014380,建信中国制造2025股票C,2026-07-31,1.7445,1.7445,3.38,-11.62,-35.49,-3.09,4.35,30.05,22.83,-2.32,22.06,-32.95,30.3033,0.00%
2668,167001,平安鼎泰混合(LOF),2026-07-31,1.8881,1.8881,-0.11,0.78,-8.5,3.34,4.0,30.03,50.7,30.72,11.43,88.81,30.1599,0.15%
2669,017965,招商匠心优选混合C,2026-07-31,1.7612,1.7612,-1.03,4.03,10.82,-4.34,-5.18,30.03,70.69,67.72,9.89,76.12,28.7521,0.00%
2670,018501,光大中国制造2025灵活配置混合C,2026-07-31,2.417,2.417,3.6,-4.39,-25.1,-14.29,-6.25,30.02,44.38,15.43,-1.15,19.42,28.5638,0.00%
2671,000689,前海开源新经济混合A,2026-07-31,2.9081,3.0181,3.27,-2.42,-25.94,-8.83,0.2,30.01,52.15,13.87,8.87,219.6,28.0255,0.15%
2672,000994,建信睿盈灵活配置混合A,2026-07-31,1.763,1.763,2.68,-0.34,-13.37,-10.64,-3.87,30.01,50.81,35.51,3.89,76.3,29.063,0.15%
2673,519056,海富通内需热点混合,2026-07-31,3.299,3.299,-0.23,1.82,-21.67,11.74,9.55,30.0,74.33,40.06,17.85,229.9,28.6511,0.15%
2674,007863,长信利泰灵活配置混合C,2026-07-31,1.53,1.93,2.14,2.73,1.08,-2.94,-1.33,30.0,82.77,39.02,8.65,62.32,29.4307,0.00%
2675,007067,浦银安盛先进制造混合C,2026-07-31,1.7691,1.7691,3.26,-6.94,-21.01,0.94,6.54,29.99,61.75,42.51,9.43,76.91,28.4749,0.00%
2676,015829,永赢新能源智选混合发起C,2026-07-31,0.4851,0.4851,1.02,-4.83,-29.13,-2.82,-9.02,29.98,11.54,-29.41,-9.26,-51.49,24.7044,0.00%
2677,023881,兴全商业模式混合(LOF)C,2026-07-31,4.835,5.695,2.22,-6.88,-19.72,-11.1,-5.6,29.97,,,3.73,56.22,30.3937,0.00%
2678,005128,华夏永康添福混合A,2026-07-31,2.0791,2.0791,0.86,-1.84,-13.63,3.28,6.9,29.96,55.37,49.01,14.94,107.91,29.6197,0.08%
2679,013845,中信建投睿选6个月持有混合(FOF)C,2026-07-30,1.0031,1.0031,-1.08,-2.42,-3.56,-9.61,-8.36,29.94,45.91,30.85,7.27,0.31,,0.00%
2680,012494,长信内需均衡混合C,2026-07-31,0.7106,0.7106,3.8,-8.63,-32.18,-21.47,-6.67,29.93,50.9,1.24,1.21,-28.94,27.7368,0.00%
2681,006729,万家中证500指数增强A,2026-07-31,1.6556,2.298,2.88,-0.94,-17.69,-8.03,-2.82,29.92,69.35,36.78,7.26,156.16,28.6021,0.10%
2682,161715,招商大宗商品(LOF),2026-07-31,2.1904,2.3289,0.5,2.79,-3.26,-12.74,-12.72,29.89,59.07,45.21,2.94,154.96,29.8861,0.12%
2683,013001,广发盛泽一年持有混合C,2026-07-31,1.5441,1.5441,5.23,-5.0,-34.35,-2.76,4.73,29.88,92.63,54.43,4.31,54.41,30.1281,0.00%
2684,019879,万家周期驱动股票发起式A,2026-07-31,1.6422,1.6422,1.82,2.24,9.22,-16.28,-20.74,29.88,44.15,,-4.3,64.22,29.6747,0.15%
2685,001740,光大中国制造2025灵活配置混合A,2026-07-31,2.298,2.583,3.56,-4.41,-25.1,-14.34,-6.33,29.87,44.31,15.31,-1.24,167.4,28.4248,0.15%
2686,007593,鹏扬中证500质量成长ETF联接A,2026-07-31,2.3146,2.3146,2.09,0.93,-7.6,1.31,0.31,29.87,60.48,51.66,9.78,131.46,29.0333,0.12%
2687,011585,博时产业慧选混合A,2026-07-31,1.1371,1.1371,2.13,-3.03,-14.43,-5.38,-3.44,29.87,45.78,40.35,1.84,13.71,29.4513,0.15%
2688,163803,中银持续增长混合A,2026-07-31,0.4036,4.3552,1.18,-1.01,-5.66,-2.7,-2.84,29.86,54.93,21.93,1.56,749.94,29.9839,0.15%
2689,017167,景顺长城策略精选灵活配置混合C,2026-07-31,3.865,3.865,1.44,0.78,-13.59,-7.49,3.59,29.83,46.24,33.41,16.28,49.52,29.8287,0.00%
2690,217013,招商中小盘混合,2026-07-31,3.896,3.896,2.04,-5.8,-26.32,-2.77,3.07,29.78,50.08,28.33,8.04,289.6,28.1579,0.15%
2691,010009,国联成长优选混合C,2026-07-31,1.2415,1.2415,0.57,1.45,-20.7,5.98,8.91,29.78,36.65,-3.01,16.87,24.15,29.9864,0.00%
2692,009341,易方达均衡成长股票,2026-07-31,1.4331,1.4331,2.82,-5.89,-19.77,-10.98,-11.44,29.75,67.44,38.83,-5.61,43.31,30.4004,0.15%
2693,002577,南方新兴龙头灵活配置混合A,2026-07-31,1.6437,1.6437,1.87,-0.95,-31.18,-13.39,-6.43,29.74,51.45,11.66,-2.4,64.37,30.3283,0.15%
2694,550015,中信保诚至远动力混合A,2026-07-31,3.0968,3.0968,2.77,-0.44,-17.57,-2.8,5.21,29.73,64.75,31.4,9.85,273.23,28.8079,0.08%
2695,002083,新华鑫动力灵活配置混合A,2026-07-31,1.8684,1.8684,1.59,-3.19,-31.85,-20.48,-14.47,29.72,39.93,-13.52,-6.54,86.84,28.5891,0.10%
2696,018155,创金合信全球医药生物股票发起(QDII)A,2026-07-30,1.6075,1.6075,-0.88,-4.29,-1.87,-0.44,-3.38,29.72,68.32,,-6.33,60.75,,0.15%
2697,010945,招商商业模式优选C,2026-07-31,0.9788,0.9788,3.62,-14.86,-34.48,-13.72,-1.0,29.71,65.25,32.11,8.44,-2.12,31.7362,0.00%
2698,015088,易方达优势先锋一年持有混合(FOF)C,2026-07-30,1.2707,1.2707,-1.21,-2.12,-6.56,-0.56,0.23,29.7,67.11,36.22,6.26,27.07,,0.00%
2699,001430,中邮乐享收益灵活配置混合A,2026-07-31,2.075,2.135,2.93,-5.38,-28.05,-6.07,-7.74,29.69,39.92,36.15,1.92,118.83,29.1226,0.15%
2700,090018,大成新锐产业混合A,2026-07-31,7.54,8.04,1.29,4.5,6.84,-18.06,-22.28,29.69,44.97,37.94,-2.33,939.04,28.0136,0.15%
2701,519069,汇添富价值精选混合,2026-07-31,3.431,5.128,-0.2,-0.26,-2.83,1.81,8.17,29.67,41.37,33.45,11.0,726.62,29.3253,0.15%
2702,012839,东方红智华三年持有混合A,2026-07-31,1.0752,1.0752,1.44,4.34,-0.58,-0.89,4.65,29.67,62.54,44.4,12.74,7.52,28.1373,1.50%
2703,009591,博时研究精选持有期混合A,2026-07-31,1.2544,1.3406,2.08,-2.81,-13.72,-5.18,-3.49,29.64,47.63,42.98,1.45,36.04,29.1332,0.15%
2704,012845,工银瑞信恒兴6个月持有混合C,2026-07-31,0.9989,0.9989,3.19,-6.71,-28.35,-14.3,3.78,29.64,70.37,36.31,1.47,-0.11,28.0477,0.00%
2705,011001,中邮兴荣价值一年持有混合,2026-07-31,1.3059,1.3059,3.39,-6.33,-28.35,-6.1,-8.29,29.63,39.46,17.57,-0.26,30.59,29.8499,0.15%
2706,013157,前海开源新经济混合C,2026-07-31,2.8652,2.8652,3.27,-2.42,-25.96,-8.9,0.05,29.62,51.24,12.85,8.68,-5.12,27.6429,0.00%
2707,013295,东方红智选三年持有混合C,2026-07-31,0.8653,0.8653,1.17,-3.87,-25.22,-17.61,-5.15,29.61,44.89,13.53,0.71,-13.47,29.2457,0.00%
2708,519120,浦银安盛新兴产业混合A,2026-07-31,4.6237,5.1237,1.45,3.48,2.92,0.14,3.32,29.61,54.74,66.4,5.34,444.53,27.7265,0.15%
2709,014267,华商竞争力优选混合A,2026-07-31,1.1361,1.1361,0.95,-4.17,-35.65,-29.57,-10.1,29.6,63.4,28.08,-6.49,13.61,27.9536,0.15%
2710,002084,新华鑫动力灵活配置混合C,2026-07-31,1.8484,1.8484,1.59,-3.19,-31.85,-20.5,-14.51,29.59,39.66,-13.78,-6.59,84.84,28.4682,0.00%
2711,000209,中信保诚新兴产业混合A,2026-07-31,2.9449,2.9449,3.24,-4.02,-21.54,-16.05,-3.89,29.57,51.42,1.16,6.82,194.49,28.7332,0.15%
2712,004050,华夏新锦升混合A,2026-07-31,1.2623,1.6565,0.59,3.74,4.14,-2.83,3.9,29.55,64.04,26.24,6.49,79.59,29.2016,0.15%
2713,012529,广发鑫睿一年持有期混合C,2026-07-31,1.1322,1.1322,1.52,0.98,-7.32,-1.18,1.75,29.54,56.66,7.61,6.78,13.22,29.5275,0.00%
2714,010699,东方红创新趋势混合,2026-07-31,0.9537,0.9537,0.82,3.72,-1.31,0.25,4.26,29.53,47.75,45.12,13.73,-4.63,28.2717,0.15%
2715,014923,华夏ESG可持续投资一年持有混合C,2026-07-31,1.1462,1.1462,2.07,-5.55,-26.02,4.38,0.59,29.53,47.4,31.05,4.89,14.62,30.1908,0.00%
2716,018176,富国研究量化精选混合C,2026-07-31,2.1525,2.1525,1.35,-2.08,-24.13,-6.3,-1.25,29.53,56.4,23.94,9.66,18.02,28.8845,0.00%
2717,002810,金信转型创新成长混合发起式A,2026-07-31,3.6588,3.6588,0.91,1.38,-16.95,-4.06,-7.88,29.52,107.93,87.06,3.36,265.88,26.9843,0.15%
2718,011756,博时产业优选混合A,2026-07-31,1.1407,1.1407,2.16,-3.11,-14.78,-5.19,-2.94,29.52,45.55,39.6,3.08,14.07,29.0823,0.15%
2719,011821,兴业兴智一年持有期混合C,2026-07-31,0.9657,0.9657,-0.17,1.61,1.74,5.22,3.76,29.5,55.46,28.83,4.82,-3.43,28.7428,0.00%
2720,501083,银华科创主题灵活配置混合(LOF),2026-07-31,1.9322,1.9322,2.46,-5.86,-25.71,-11.5,-3.97,29.5,85.01,64.27,2.88,93.2,29.7911,1.50%
2721,019824,国寿安保新材料股票发起式A,2026-07-31,1.8997,1.8997,2.78,-6.45,-38.04,-17.97,2.03,29.5,101.52,,10.86,89.97,27.9087,0.12%
2722,005878,博时产业新动力混合C,2026-07-31,3.191,3.191,3.37,-2.51,-12.43,-6.64,-2.36,29.45,40.63,36.43,2.01,101.83,29.138,0.00%
2723,015067,华夏永康添福混合C,2026-07-31,2.0426,2.0426,0.86,-1.85,-13.66,3.19,6.69,29.45,54.15,47.25,14.69,44.42,29.115,0.00%
2724,015043,西部利得时代动力混合发起A,2026-07-31,1.4877,1.4877,4.3,-6.76,-30.68,-23.01,-16.55,29.44,99.42,75.64,-9.35,48.77,25.2062,0.15%
2725,004051,华夏新锦升混合C,2026-07-31,1.2585,1.2585,0.59,3.74,4.14,-2.84,3.85,29.42,63.78,26.28,6.43,14.61,29.0769,0.00%
2726,160326,华夏优选配置股票(FOF-LOF)A,2026-07-31,0.9331,0.9331,0.58,0.27,-4.24,2.12,8.17,29.42,48.28,15.99,11.47,-6.69,29.0238,0.12%
2727,163302,大摩资源优选混合(LOF),2026-07-31,1.0854,4.8073,0.44,0.33,-4.95,-7.15,-4.93,29.41,47.53,30.32,0.17,1162.98,27.7693,0.15%
2728,014542,华安新能源主题混合C,2026-07-31,0.9746,0.9746,1.3,-2.15,-21.91,-25.63,-9.43,29.41,62.33,31.67,-8.24,-2.54,28.1862,0.00%
2729,018071,长信均衡优选混合A,2026-07-31,1.4971,1.4971,1.62,-1.74,-15.29,-7.01,-3.51,29.41,67.05,44.56,2.37,49.71,28.9825,0.15%
2730,006730,万家中证500指数增强C,2026-07-31,1.6124,2.2377,2.88,-0.95,-17.71,-8.12,-3.01,29.4,67.97,35.12,7.02,148.13,28.0925,0.00%
2731,008418,惠升惠泽混合A,2026-07-31,1.3647,1.5447,1.37,-0.12,-9.42,-1.81,-2.31,29.4,54.61,34.11,3.36,60.15,28.9887,0.12%
2732,019156,易方达全球配置混合(QDII)C(人民币),2026-07-30,1.5232,1.5232,-1.41,-9.62,-30.0,-14.06,6.26,29.4,62.46,,19.76,52.32,,0.00%
2733,016465,兴全合瑞混合C,2026-07-31,1.2912,1.2912,1.47,1.23,-7.59,-4.08,2.16,29.38,66.58,32.42,6.76,29.12,29.1329,0.00%
2734,024809,华夏成长动力混合C,2026-07-31,2.2591,2.2591,0.78,-0.42,-10.57,-11.09,2.28,29.38,,,7.4,31.07,29.9005,0.00%
2735,010322,大摩新兴产业股票,2026-07-31,1.268,1.268,2.77,-5.2,-20.94,-4.85,-3.68,29.36,72.63,38.4,-0.51,26.8,29.0585,0.15%
2736,004959,圆信永丰优悦生活混合,2026-07-31,2.3925,2.7795,1.14,-0.7,-16.19,-12.55,-1.03,29.35,54.41,38.15,1.83,191.23,26.3939,0.15%
2737,007594,鹏扬中证500质量成长ETF联接C,2026-07-31,2.2484,2.2484,2.08,0.92,-7.64,1.2,0.11,29.35,59.2,49.84,9.52,124.84,28.5241,0.00%
2738,202213,南方核心竞争混合,2026-07-31,2.9057,3.547,0.84,-0.26,-14.82,-2.85,0.49,29.34,50.9,39.62,7.7,350.07,28.7702,0.15%
2739,006736,国投瑞银先进制造混合,2026-07-31,2.5034,2.5034,4.33,-8.58,-34.76,-29.57,-18.26,29.31,58.85,-9.15,-16.47,150.34,27.5488,0.15%
2740,012236,中银持续增长混合C,2026-07-31,0.3957,0.5208,1.18,-1.03,-5.7,-2.8,-3.04,29.31,53.73,20.46,1.31,2.73,29.483,0.00%
2741,011841,嘉实兴锐优选一年持有混合A,2026-07-31,1.0145,1.0145,2.56,-2.8,-13.28,-2.32,2.91,29.29,67.69,31.7,12.04,1.45,28.5642,0.15%
2742,550016,中信保诚至远动力混合C,2026-07-31,4.339,4.339,2.77,-0.45,-17.59,-2.89,5.03,29.28,63.61,30.03,9.62,661.21,28.369,0.00%
2743,021362,易方达黄金股指数发起式A,2026-07-31,1.5771,1.5771,2.65,5.07,18.56,-11.05,-32.61,29.27,,,-8.56,57.71,24.2496,0.12%
2744,019880,万家周期驱动股票发起式C,2026-07-31,1.6212,1.6212,1.82,2.23,9.17,-16.38,-20.94,29.26,42.85,,-4.56,62.12,29.0662,0.00%
2745,011883,招商蓝筹精选股票C,2026-07-31,0.9758,0.9758,1.28,-1.38,-12.22,-0.98,-0.62,29.25,74.91,43.46,10.27,-2.42,28.9717,0.00%
2746,013552,汇添富成长领先混合A,2026-07-31,1.2503,1.2503,2.12,-5.94,-24.56,-5.32,-0.58,29.24,77.9,47.88,8.68,25.03,29.5916,0.15%
2747,012840,东方红智华三年持有混合C,2026-07-31,1.0568,1.0568,1.45,4.33,-0.6,-0.97,4.47,29.22,61.42,42.89,12.52,5.68,27.6945,0.00%
2748,019609,鹏华养老2050五年持有期混合发起式(FOF),2026-07-29,1.4946,1.4946,0.61,-2.73,-8.43,3.43,1.41,29.22,59.73,,10.6,49.46,,0.12%
2749,006539,南方优选价值混合C,2026-07-31,1.173,1.894,0.84,-3.22,-18.48,-0.37,-1.57,29.21,46.62,25.99,1.77,104.25,29.5703,0.00%
2750,008311,圆信永丰优选价值A,2026-07-31,1.513,1.513,0.75,2.96,-4.58,-6.37,1.85,29.21,46.55,22.98,7.05,51.3,28.6674,0.15%
2751,014307,嘉实多元动力混合A,2026-07-31,0.7823,0.7823,0.1,5.49,9.44,0.26,4.89,29.2,36.48,10.96,10.65,-21.77,28.036,0.15%
2752,019519,中邮乐享收益灵活配置混合C,2026-07-31,2.058,2.058,2.9,-5.38,-28.07,-6.16,-7.92,29.19,38.77,,1.68,41.93,28.625,0.00%
2753,020433,金信核心竞争力混合C,2026-07-31,1.277,1.277,5.27,2.22,-20.71,-13.46,13.35,29.17,42.24,,11.89,46.01,27.4197,0.00%
2754,010558,汇安鑫利优选混合A,2026-07-31,0.9098,0.9098,1.1,1.44,-8.04,6.62,5.01,29.16,65.27,28.36,11.17,-9.02,28.0507,0.15%
2755,018156,创金合信全球医药生物股票发起(QDII)C,2026-07-30,1.5871,1.5871,-0.88,-4.3,-1.91,-0.55,-3.61,29.16,66.76,,-6.66,58.71,,0.00%
2756,009317,金信核心竞争力混合A,2026-07-31,1.2652,2.661,5.27,2.23,-20.66,-13.33,13.55,29.15,41.44,28.3,12.06,182.45,27.4119,0.12%
2757,014144,长信先进装备三个月持有混合A,2026-07-31,1.0291,1.0291,2.2,-7.11,-30.6,-9.55,8.47,29.14,62.27,47.39,11.11,2.91,28.4448,0.15%
2758,015970,华泰柏瑞景气驱动混合A,2026-07-31,1.6168,1.6168,4.03,-8.45,-30.33,-14.31,-4.2,29.14,80.45,62.8,2.63,61.68,28.4908,0.15%
2759,001704,国投瑞银进宝灵活配置混合,2026-07-31,2.7496,2.7746,4.4,-8.65,-34.47,-29.66,-18.64,29.13,59.44,-8.43,-16.46,181.8,27.2963,0.15%
2760,118001,易方达亚洲精选股票,2026-07-30,1.543,1.543,0.85,-6.26,-10.65,-4.4,1.11,29.12,58.09,43.27,7.9,54.3,,0.16%
2761,019535,东方红新兴成长混合A,2026-07-31,1.2863,1.2863,0.98,-2.51,-12.68,-2.29,9.1,29.11,,,13.26,28.63,28.1431,1.50%
2762,008169,汇添富核心优势三个月混合(FOF),2026-07-29,1.4684,1.4684,-0.12,-5.02,-17.4,-1.88,1.24,29.09,59.76,45.8,10.84,46.84,,0.10%
2763,014061,浦银安盛新兴产业混合C,2026-07-31,4.527,5.027,1.45,3.47,2.89,0.04,3.11,29.09,53.53,64.2,5.09,11.71,27.2237,0.00%
2764,121002,国投瑞银景气行业混合,2026-07-31,1.9651,4.4584,0.73,0.88,-3.91,-4.84,-6.26,29.03,46.71,31.69,0.08,1063.12,28.5975,0.15%
2765,010284,长城价值成长六个月持有期混合A,2026-07-31,0.8564,0.8564,1.69,-4.89,-30.9,-5.71,-3.01,29.03,59.06,23.12,1.71,-14.36,28.6465,0.15%
2766,018460,大成新锐产业混合C,2026-07-31,7.423,7.423,1.27,4.49,6.79,-18.18,-22.48,29.03,43.5,35.88,-2.64,43.72,27.3679,0.00%
2767,166109,信澳量化先锋(LOF)A,2026-07-31,1.038,1.3374,4.73,-10.34,-24.27,5.09,9.06,29.02,77.28,11.65,14.28,34.67,28.9281,0.15%
2768,018971,富国致弘量化选股股票A,2026-07-31,1.4133,1.4133,1.88,-1.26,-15.8,-4.87,1.95,29.02,57.44,,10.3,41.33,27.6924,0.15%
2769,008264,南方ESG股票A,2026-07-31,1.6578,1.6578,1.67,-3.43,-23.12,-5.13,-1.26,28.98,67.54,60.2,7.54,65.78,29.2531,0.15%
2770,021363,易方达黄金股指数发起式C,2026-07-31,1.5692,1.5692,2.64,5.07,18.53,-11.11,-32.72,28.98,,,-8.74,56.92,23.969,0.00%
2771,000995,建信睿盈灵活配置混合C,2026-07-31,1.598,1.598,2.7,-0.31,-13.39,-10.83,-4.2,28.97,48.51,32.28,3.43,59.8,28.1476,0.00%
2772,121005,国投瑞银创新动力混合,2026-07-31,0.5927,3.6279,0.77,0.27,-12.63,-2.82,2.9,28.96,41.39,18.85,7.67,499.55,29.722,0.15%
2773,014677,中信保诚至远动力混合E,2026-07-31,3.0136,3.0136,2.77,-0.46,-17.61,-2.95,4.89,28.94,62.77,29.05,9.46,2.86,28.0313,0.00%
2774,015044,西部利得时代动力混合发起C,2026-07-31,1.4631,1.4631,4.3,-6.76,-30.7,-23.08,-16.72,28.93,97.85,73.56,-9.56,46.31,24.7208,0.00%
2775,019320,易方达中证500质量成长ETF联接发起式A,2026-07-31,1.5987,1.5987,2.11,0.92,-8.39,0.1,-0.78,28.92,61.78,,9.07,59.87,28.1112,0.12%
2776,010132,南方创新成长混合A,2026-07-31,0.9079,0.9079,0.99,-7.12,-17.62,2.25,0.28,28.91,52.82,23.44,4.0,-9.21,30.1276,0.15%
2777,014092,华夏优选配置股票(FOF)C,2026-07-31,0.9161,0.9161,0.58,0.26,-4.27,2.02,7.95,28.9,47.09,14.6,11.2,-8.39,28.5033,0.00%
2778,015610,万家匠心致远一年持有期混合A,2026-07-31,0.9831,0.9831,2.8,-4.05,-34.95,1.89,4.12,28.9,30.94,-0.12,6.04,-1.69,29.2532,0.15%
2779,012519,大成核心趋势混合A,2026-07-31,1.4818,1.4818,1.99,5.35,12.74,-16.08,-22.77,28.89,60.61,46.57,-1.13,48.18,26.7362,0.15%
2780,014031,南方发展机遇一年持有混合A,2026-07-31,1.7674,1.7674,-0.43,3.85,11.1,-6.36,-9.05,28.88,81.05,84.87,-1.88,76.74,27.6654,0.15%
2781,014268,华商竞争力优选混合C,2026-07-31,1.1061,1.1061,0.96,-4.18,-35.68,-29.66,-10.36,28.86,61.5,25.85,-6.79,10.61,27.2257,0.00%
2782,019825,国寿安保新材料股票发起式C,2026-07-31,1.8802,1.8802,2.78,-6.47,-38.07,-18.07,1.78,28.86,99.55,,10.53,88.02,27.2813,0.00%
2783,011586,博时产业慧选混合C,2026-07-31,1.0893,1.0893,2.13,-3.04,-14.49,-5.57,-3.82,28.82,43.46,37.0,1.37,8.93,28.4249,0.00%
2784,011498,富国沪深300基本面精选股票A,2026-07-31,1.1479,1.1479,0.49,-1.59,-6.23,-7.11,-4.17,28.82,66.48,37.21,1.13,14.79,27.4878,0.15%
2785,070021,嘉实主题新动力混合,2026-07-31,2.678,2.678,1.71,2.14,-7.53,-3.6,-0.89,28.81,30.38,3.48,10.12,167.8,27.2814,0.15%
2786,012520,大成核心趋势混合C,2026-07-31,1.4754,1.4754,1.98,5.35,12.73,-16.1,-22.8,28.8,60.33,46.15,-1.2,47.54,26.6655,0.00%
2787,013526,中信保诚新兴产业混合C,2026-07-31,2.8596,2.8596,3.24,-4.02,-21.58,-16.18,-4.18,28.79,49.62,-0.65,6.44,-51.16,27.9692,0.00%
2788,004925,长信低碳环保行业量化股票A,2026-07-31,1.9005,1.9005,0.78,0.14,-19.67,-20.82,-7.91,28.78,68.3,11.9,-6.73,90.05,27.8335,0.15%
2789,011757,博时产业优选混合C,2026-07-31,1.1071,1.1071,2.16,-3.12,-14.83,-5.33,-3.23,28.78,43.85,37.15,2.75,10.71,28.3594,0.00%
2790,009789,富安达科技创新混合A,2026-07-31,1.4039,1.4039,3.17,-9.76,-28.29,-2.0,9.95,28.77,55.75,27.49,8.98,40.39,28.6801,0.15%
2791,015873,工银锂电池ETF联接A,2026-07-31,0.8088,0.8088,0.6,2.89,-13.05,-21.82,-9.62,28.77,71.32,14.8,-10.58,-19.12,28.7283,0.10%
2792,023889,国泰海通上证科创板综合价格指数增强A,2026-07-31,1.5283,1.5283,3.4,-5.48,-27.79,-9.57,-2.74,28.76,,,8.06,52.83,27.0407,0.12%
2793,015223,汇添富进取成长混合A,2026-07-31,1.0397,1.0397,3.19,-9.05,-28.93,-11.14,-7.9,28.74,51.87,15.45,1.1,3.97,28.469,0.15%
2794,020384,金信转型创新成长混合发起式C,2026-07-31,2.3647,3.43,0.9,1.36,-17.0,-4.21,-8.17,28.74,105.46,,3.0,93.05,26.2225,0.00%
2795,002803,东方红沪港深混合,2026-07-31,2.191,2.191,1.2,-3.86,-25.07,-18.09,-5.88,28.73,42.46,10.49,0.0,119.1,28.3538,0.15%
2796,009557,申万菱信创业板量化精选股票A,2026-07-31,1.2756,1.2756,2.29,0.92,-8.31,-8.36,-3.11,28.73,108.4,64.78,1.72,27.56,27.4963,0.15%
2797,011330,鹏华精选群英一年持有混合MOM,2026-07-31,1.2112,1.2112,0.92,-2.76,-18.28,-2.05,3.41,28.73,59.94,45.77,9.97,21.12,28.3187,0.12%
2798,000165,国投瑞银策略精选混合,2026-07-31,2.1463,4.1803,0.74,0.27,-5.39,-6.97,-8.75,28.71,47.84,33.87,-2.84,525.28,28.5383,0.15%
2799,020517,易方达深证50ETF联接发起式A,2026-07-31,1.6003,1.6003,1.64,-2.04,-10.91,-2.01,6.33,28.7,51.46,,5.62,60.03,28.859,0.12%
2800,519918,华夏兴和混合A,2026-07-31,3.486,5.659,0.09,2.59,-7.48,-16.92,-8.09,28.68,34.96,-1.27,-4.99,248.6,27.9266,0.15%
2801,007254,广发均衡价值混合A,2026-07-31,2.3373,2.3373,-0.1,-0.08,-16.5,6.09,1.23,28.66,66.33,29.74,11.59,133.71,28.8763,0.15%
2802,519700,交银主题优选混合A,2026-07-31,2.4833,3.6673,1.1,2.87,-0.95,2.76,6.4,28.63,63.33,22.04,13.85,452.83,27.2378,0.15%
2803,001244,华泰柏瑞量化智慧混合A,2026-07-31,2.2478,2.4381,2.14,-0.5,-15.04,-5.82,-2.76,28.63,74.53,53.07,6.69,161.67,27.6434,0.15%
2804,016332,长城产业臻选混合A,2026-07-31,1.2561,1.2561,2.06,-3.35,-22.23,-10.16,-3.13,28.63,63.26,32.07,0.17,25.61,27.9776,0.15%
2805,008419,惠升惠泽混合C,2026-07-31,1.3071,1.4871,1.36,-0.14,-9.47,-1.97,-2.61,28.61,52.75,31.71,2.99,53.87,28.2099,0.00%
2806,014788,长城产业趋势混合A,2026-07-31,1.0428,1.0428,2.11,-2.79,-22.08,-9.43,-2.37,28.61,55.8,21.13,0.84,4.27,27.9195,1.50%
2807,050015,博时大中华亚太精选,2026-07-30,1.214,1.296,-0.08,-9.47,-17.47,-11.45,1.59,28.6,42.66,29.98,11.58,30.1,,0.16%
