date,nav,ret
2022-05-19,1.1976,0.0
2022-05-20,1.1963,-0.0011
2022-05-23,1.1945,-0.0015
2022-05-24,1.1544,-0.0336
2022-05-25,1.168,0.0118
2022-05-26,1.1995,0.027000000000000003
2022-05-27,1.1972,-0.0019
2022-05-30,1.2116,0.012
2022-05-31,1.2174,0.0048
2022-06-01,1.227,0.0079
2022-06-02,1.248,0.0171
2022-06-06,1.2663,0.0147
2022-06-07,1.2638,-0.002
2022-06-08,1.2538,-0.0079
2022-06-09,1.2278,-0.0207
2022-06-10,1.2682,0.0329
2022-06-13,1.2688,0.0005
2022-06-14,1.2476,-0.0167
2022-06-15,1.2525,0.0039000000000000003
2022-06-16,1.2583,0.0046
2022-06-17,1.2636,0.0042
2022-06-20,1.2752,0.0092
2022-06-21,1.253,-0.0174
2022-06-22,1.2308,-0.0177
2022-06-23,1.289,0.0473
2022-06-24,1.3121,0.0179
2022-06-27,1.3182,0.0046
2022-06-28,1.3435,0.0192
2022-06-29,1.3098,-0.025099999999999997
2022-06-30,1.317,0.0055000000000000005
2022-07-01,1.3201,0.0024
2022-07-04,1.3584,0.028999999999999998
2022-07-05,1.3507,-0.005699999999999999
2022-07-06,1.3395,-0.0083
2022-07-07,1.3599,0.0152
2022-07-08,1.344,-0.011699999999999999
2022-07-11,1.3328,-0.0083
2022-07-12,1.3124,-0.015300000000000001
2022-07-13,1.3041,-0.0063
2022-07-14,1.3321,0.0215
2022-07-15,1.3139,-0.0137
2022-07-18,1.3135,-0.0003
2022-07-19,1.3194,0.0045000000000000005
2022-07-20,1.3682,0.037000000000000005
2022-07-21,1.3523,-0.0116
2022-07-22,1.3551,0.0021
2022-07-25,1.3379,-0.0127
2022-07-26,1.3453,0.0055000000000000005
2022-07-27,1.3532,0.0059
2022-07-28,1.3718,0.0137
2022-07-29,1.3385,-0.024300000000000002
2022-08-01,1.3442,0.0043
2022-08-02,1.3259,-0.013600000000000001
2022-08-03,1.3712,0.0342
2022-08-04,1.3524,-0.0137
2022-08-05,1.3616,0.0068000000000000005
2022-08-08,1.3891,0.0202
2022-08-09,1.4087,0.0141
2022-08-10,1.4108,0.0015
2022-08-11,1.4135,0.0019
2022-08-12,1.3857,-0.0197
2022-08-15,1.3893,0.0026
2022-08-16,1.3919,0.0019
2022-08-17,1.3891,-0.002
2022-08-18,1.3926,0.0025
2022-08-19,1.3639,-0.0206
2022-08-22,1.3821,0.013300000000000001
2022-08-23,1.3795,-0.0019
2022-08-24,1.3257,-0.039
2022-08-25,1.3294,0.0028000000000000004
2022-08-26,1.3034,-0.0196
2022-08-29,1.3252,0.0167
2022-08-30,1.3128,-0.009399999999999999
2022-08-31,1.285,-0.0212
2022-09-01,1.2816,-0.0026
2022-09-02,1.2963,0.0115
2022-09-05,1.2968,0.0004
2022-09-06,1.3309,0.0263
2022-09-07,1.3421,0.0084
2022-09-08,1.3561,0.0104
2022-09-09,1.3486,-0.0055000000000000005
2022-09-13,1.3575,0.0066
2022-09-14,1.372,0.010700000000000001
2022-09-15,1.334,-0.0277
2022-09-16,1.3312,-0.0021
2022-09-19,1.3079,-0.0175
2022-09-20,1.3082,0.0002
2022-09-21,1.3,-0.0063
2022-09-22,1.3208,0.016
2022-09-23,1.3134,-0.005600000000000001
2022-09-26,1.2735,-0.0304
2022-09-27,1.2911,0.0138
2022-09-28,1.2486,-0.0329
2022-09-29,1.2478,-0.0006
2022-09-30,1.2189,-0.0232
2022-10-10,1.1978,-0.0173
2022-10-11,1.2038,0.005
2022-10-12,1.2296,0.021400000000000002
2022-10-13,1.2394,0.008
2022-10-14,1.2637,0.0196
2022-10-17,1.292,0.022400000000000003
2022-10-18,1.29,-0.0015
2022-10-19,1.2849,-0.004
2022-10-20,1.2903,0.0042
2022-10-21,1.2904,0.0001
2022-10-24,1.3341,0.0339
2022-10-25,1.3349,0.0006
2022-10-26,1.353,0.013600000000000001
2022-10-27,1.3442,-0.006500000000000001
2022-10-28,1.3267,-0.013000000000000001
2022-10-31,1.3585,0.024
2022-11-01,1.3499,-0.0063
2022-11-02,1.3411,-0.006500000000000001
2022-11-03,1.3554,0.010700000000000001
2022-11-04,1.3604,0.0037
2022-11-07,1.3326,-0.0204
2022-11-08,1.3365,0.0029
2022-11-09,1.3254,-0.0083
2022-11-10,1.2999,-0.0192
2022-11-11,1.3085,0.0066
2022-11-14,1.2947,-0.0105
2022-11-15,1.3132,0.0143
2022-11-16,1.3105,-0.0021
2022-11-17,1.3188,0.0063
2022-11-18,1.2988,-0.0152
2022-11-21,1.3092,0.008
2022-11-22,1.3075,-0.0013
2022-11-23,1.3037,-0.0029
2022-11-24,1.2912,-0.0096
2022-11-25,1.2728,-0.0143
2022-11-28,1.2702,-0.002
