date,close,pe
2021-08-01,4042.0,9.6
2021-08-02,4042.0,9.6
2021-08-03,3910.37,9.45
2021-08-04,4098.26,9.57
2021-08-05,4067.73,9.51
2021-08-06,4183.58,9.55
2021-08-09,4201.82,9.56
2021-08-10,4198.24,9.58
2021-08-11,4433.42,9.77
2021-08-12,4579.9,9.84
2021-08-13,4620.3,9.77
2021-08-16,4536.92,9.82
2021-08-17,4399.22,9.66
2021-08-18,4396.56,9.66
2021-08-19,4336.93,9.47
2021-08-20,4307.94,9.4
2021-08-23,4422.01,9.53
2021-08-24,4474.4,9.65
2021-08-25,4661.49,9.87
2021-08-26,4801.37,10.02
2021-08-27,4886.2,10.12
2021-08-30,5067.95,10.44
2021-08-31,5355.51,10.82
2021-09-01,5169.22,7.97
2021-09-02,5442.96,8.13
2021-09-03,5330.9,8.17
2021-09-06,5439.73,8.26
2021-09-07,5693.76,8.5
2021-09-08,5823.04,8.61
2021-09-09,6150.15,8.97
2021-09-10,5889.82,8.69
2021-09-13,6249.43,9.2
2021-09-14,6165.88,9.23
2021-09-15,6224.06,9.44
2021-09-16,6239.41,9.42
2021-09-17,5872.15,8.95
2021-09-22,6245.48,9.57
2021-09-23,6089.02,9.41
2021-09-24,5641.25,9.08
2021-09-27,5512.93,9.18
2021-09-28,5831.55,9.63
2021-09-29,5446.16,9.05
2021-09-30,5620.35,9.12
2021-10-08,5432.02,9.2
2021-10-11,5671.5,9.29
2021-10-12,5595.13,9.1
2021-10-13,5250.08,8.7
2021-10-14,5212.33,8.64
2021-10-15,5459.45,8.97
2021-10-18,5789.04,9.26
2021-10-19,5867.34,9.23
2021-10-20,5406.27,8.87
2021-10-21,5584.71,9.07
2021-10-22,5264.06,8.69
2021-10-25,5394.69,8.95
2021-10-26,5392.53,8.87
2021-10-27,5144.71,8.67
2021-10-28,4761.65,8.18
2021-10-29,4713.87,8.19
2021-11-01,4758.98,9.19
2021-11-02,4612.28,8.98
2021-11-03,4817.75,9.04
2021-11-04,4743.99,8.93
2021-11-05,4526.95,8.65
2021-11-08,4556.33,8.7
2021-11-09,4475.89,8.57
2021-11-10,4383.82,8.52
2021-11-11,4452.8,8.55
2021-11-12,4405.82,8.52
2021-11-15,4359.9,8.51
2021-11-16,4284.14,8.44
2021-11-17,4324.71,8.52
2021-11-18,4361.02,8.48
2021-11-19,4455.17,8.64
2021-11-22,4468.08,8.63
2021-11-23,4556.92,8.68
2021-11-24,4673.86,8.86
2021-11-25,4602.94,8.76
2021-11-26,4482.22,8.59
2021-11-29,4437.7,8.52
2021-11-30,4416.01,8.48
2021-12-01,4531.54,8.72
2021-12-02,4552.83,8.83
2021-12-03,4708.13,9.07
2021-12-06,4647.48,8.98
2021-12-07,4728.35,9.08
2021-12-08,4682.47,9.06
2021-12-09,4624.57,9.11
2021-12-10,4584.65,8.98
2021-12-13,4649.16,9.02
2021-12-14,4561.53,8.84
2021-12-15,4659.73,8.88
2021-12-16,4946.73,9.22
2021-12-17,4911.68,9.12
2021-12-20,4730.62,8.95
2021-12-21,4835.6,9.06
2021-12-22,4816.53,9.04
2021-12-23,4969.85,9.27
2021-12-24,4862.55,9.11
2021-12-27,4861.37,9.16
2021-12-28,4735.57,9.05
2021-12-29,4702.39,9.02
2021-12-30,4667.97,8.95
2021-12-31,4680.13,9.02
2022-01-04,4783.48,9.09
2022-01-05,4695.24,9.06
2022-01-06,4713.58,9.06
2022-01-07,4758.17,9.35
2022-01-10,4828.29,9.42
2022-01-11,4788.81,9.33
2022-01-12,4794.84,9.43
2022-01-13,4878.39,9.62
2022-01-14,4701.22,9.31
2022-01-17,4729.39,9.33
2022-01-18,4872.39,9.63
2022-01-19,4925.39,9.67
2022-01-20,4911.55,9.64
2022-01-21,4983.12,9.49
2022-01-24,4977.17,9.58
2022-01-25,4732.02,9.28
2022-01-26,4751.42,9.39
2022-01-27,4747.6,9.37
2022-01-28,4574.88,9.06
2022-02-07,4803.33,9.63
2022-02-08,5033.29,9.9
2022-02-09,5047.17,9.83
2022-02-10,5163.77,10.01
2022-02-11,5262.68,10.32
2022-02-14,5219.61,10.27
2022-02-15,5095.55,10.0
2022-02-16,5127.65,10.02
2022-02-17,5151.41,10.08
2022-02-18,5333.88,10.16
2022-02-21,5426.88,10.2
2022-02-22,5473.48,10.42
2022-02-23,5372.85,10.17
2022-02-24,5347.0,10.37
2022-02-25,5212.96,10.06
2022-02-28,5348.21,10.21
2022-03-01,5495.49,10.3
2022-03-02,5615.97,10.48
2022-03-03,5698.09,10.66
2022-03-04,5701.43,10.57
2022-03-07,5699.8,10.64
2022-03-08,5410.11,10.34
2022-03-09,5496.16,10.3
2022-03-10,5512.36,10.23
2022-03-11,5518.88,10.2
2022-03-14,5363.68,9.97
2022-03-15,4935.16,9.25
2022-03-16,5051.91,9.45
2022-03-17,5165.3,9.5
2022-03-18,5388.55,9.76
2022-03-21,5502.35,9.85
2022-03-22,5662.24,10.11
2022-03-23,5613.09,10.03
2022-03-24,5670.77,10.14
2022-03-25,5652.69,10.15
2022-03-28,5858.15,10.58
2022-03-29,5974.44,10.77
2022-03-30,5817.8,10.53
2022-03-31,5926.88,10.63
2022-04-01,5926.28,10.59
2022-04-06,5845.22,10.63
2022-04-07,5863.03,10.64
2022-04-08,5965.98,10.79
2022-04-11,5918.18,10.74
2022-04-12,5871.13,10.68
2022-04-13,6088.38,10.89
2022-04-14,6352.88,11.11
2022-04-15,6084.97,10.84
2022-04-18,5843.99,10.53
2022-04-19,6060.63,10.86
2022-04-20,5733.54,10.45
2022-04-21,5643.33,10.19
2022-04-22,5695.26,10.37
2022-04-25,5327.4,9.92
2022-04-26,5081.35,9.73
2022-04-27,5304.09,9.95
2022-04-28,5585.5,10.38
2022-04-29,5593.76,10.5
2022-05-05,5611.28,8.61
2022-05-06,5491.33,8.42
2022-05-09,5389.11,8.39
2022-05-10,5262.34,8.18
2022-05-11,5386.86,8.27
2022-05-12,5306.68,8.16
2022-05-13,5485.73,8.39
2022-05-16,5643.35,8.47
2022-05-17,5737.63,8.56
2022-05-18,5629.2,8.46
2022-05-19,5602.82,8.42
2022-05-20,5843.23,8.64
2022-05-23,5869.26,8.67
2022-05-24,5829.26,8.63
2022-05-25,5952.42,8.82
2022-05-26,6120.94,8.94
2022-05-27,6176.87,9.15
2022-05-30,6114.83,9.08
2022-05-31,6098.14,9.17
2022-06-01,6187.83,9.12
2022-06-02,6009.23,8.97
2022-06-06,6175.56,9.11
2022-06-07,6155.19,9.09
2022-06-08,6476.05,9.4
2022-06-09,6485.89,9.5
2022-06-10,6572.61,9.49
2022-06-13,6482.8,9.39
2022-06-14,6629.48,9.7
2022-06-15,6453.42,9.53
2022-06-16,6168.93,9.19
2022-06-17,6160.53,9.15
2022-06-20,5786.35,8.66
2022-06-21,5802.52,8.68
2022-06-22,5681.73,8.52
2022-06-23,5805.85,8.67
2022-06-24,5758.04,8.6
2022-06-27,5998.31,8.82
2022-06-28,6170.02,8.89
2022-06-29,6113.09,8.85
2022-06-30,6121.43,8.86
2022-07-01,6148.84,8.86
2022-07-04,6120.88,8.9
2022-07-05,6301.3,9.1
2022-07-06,5924.94,8.7
2022-07-07,5984.34,8.74
2022-07-08,5892.66,8.7
2022-07-11,5689.42,8.35
2022-07-12,5756.87,8.43
2022-07-13,5729.09,8.36
2022-07-14,5662.7,8.34
2022-07-15,5665.43,8.28
2022-07-18,5902.93,8.54
2022-07-19,5930.6,8.55
2022-07-20,5916.99,8.55
2022-07-21,5699.92,8.32
2022-07-22,5647.1,8.33
2022-07-25,5674.69,8.35
2022-07-26,5796.24,8.48
2022-07-27,5809.52,8.44
2022-07-28,5913.66,8.5
2022-07-29,5785.33,8.38
2022-08-01,5911.12,8.47
2022-08-02,5765.37,8.32
2022-08-03,5705.36,8.26
2022-08-04,5662.51,8.23
2022-08-05,5592.13,8.16
2022-08-08,5772.69,8.31
2022-08-09,5951.92,8.44
2022-08-10,5893.75,8.42
2022-08-11,5924.86,8.48
2022-08-12,6057.26,8.61
2022-08-15,6194.09,8.64
2022-08-16,6218.98,8.61
