date,close
2014-06-18,1328.835
2014-06-19,1281.122
2014-06-20,1294.979
2014-06-23,1324.144
2014-06-24,1331.381
2014-06-25,1322.781
2014-06-26,1353.698
2014-06-27,1355.838
2014-06-30,1369.058
2014-07-01,1375.426
2014-07-02,1380.043
2014-07-03,1373.526
2014-07-04,1365.248
2014-07-07,1344.188
2014-07-08,1364.576
2014-07-09,1336.159
2014-07-10,1312.482
2014-07-11,1309.704
2014-07-14,1316.71
2014-07-15,1292.563
2014-07-16,1270.528
2014-07-17,1261.508
2014-07-18,1251.121
2014-07-21,1251.144
2014-07-22,1275.973
2014-07-23,1241.065
2014-07-24,1218.474
2014-07-25,1232.307
2014-07-28,1261.201
2014-07-29,1276.53
2014-07-30,1286.638
2014-07-31,1287.192
2014-08-01,1265.95
2014-08-04,1272.739
2014-08-05,1306.656
2014-08-06,1308.867
2014-08-07,1308.132
2014-08-08,1322.642
2014-08-11,1340.736
2014-08-12,1337.362
2014-08-13,1322.404
2014-08-14,1316.935
2014-08-15,1329.088
2014-08-18,1365.638
2014-08-19,1373.826
2014-08-20,1363.986
2014-08-21,1391.32
2014-08-22,1404.595
2014-08-25,1382.484
2014-08-26,1351.383
2014-08-27,1361.021
2014-08-28,1343.892
2014-08-29,1360.18
2014-09-01,1387.907
2014-09-02,1399.774
2014-09-03,1412.588
2014-09-04,1432.033
2014-09-05,1425.409
2014-09-09,1431.756
2014-09-10,1440.875
2014-09-11,1446.427
2014-09-12,1454.465
2014-09-15,1454.074
2014-09-16,1402.801
2014-09-17,1407.101
2014-09-18,1417.943
2014-09-19,1423.624
2014-09-22,1405.418
2014-09-23,1422.131
2014-09-24,1439.043
2014-09-25,1431.333
2014-09-26,1436.841
2014-09-29,1448.927
2014-09-30,1461.604
2014-10-08,1472.37
2014-10-09,1478.454
2014-10-10,1471.283
2014-10-13,1462.492
2014-10-14,1453.708
2014-10-15,1457.8
2014-10-16,1441.762
2014-10-17,1428.349
2014-10-20,1441.189
2014-10-21,1428.872
2014-10-22,1414.967
2014-10-23,1390.405
