date,close
2014-10-17,6058.668
2014-10-20,6154.52
2014-10-21,6103.008
2014-10-22,6027.51
2014-10-23,5930.483
2014-10-24,5941.926
2014-10-27,6006.838
2014-10-28,6163.672
2014-10-29,6246.699
2014-10-30,6241.588
2014-10-31,6208.61
2014-11-03,6275.993
2014-11-04,6231.816
2014-11-05,6227.245
2014-11-06,6289.192
2014-11-07,6228.167
2014-11-10,6246.612
2014-11-11,6023.004
2014-11-12,6120.058
2014-11-13,6023.782
2014-11-14,6009.446
2014-11-17,6100.833
2014-11-18,6139.522
2014-11-19,6193.562
2014-11-20,6185.919
2014-11-21,6240.774
2014-11-24,6293.023
2014-11-25,6392.442
2014-11-26,6435.14
2014-11-27,6472.587
2014-11-28,6478.108
2014-12-01,6392.464
2014-12-02,6457.556
2014-12-03,6513.957
2014-12-04,6605.322
2014-12-05,6462.089
2014-12-08,6457.511
2014-12-09,6161.367
2014-12-10,6366.81
2014-12-11,6463.316
2014-12-12,6545.19
2014-12-15,6658.145
2014-12-16,6635.255
2014-12-17,6551.119
2014-12-18,6540.881
2014-12-19,6438.042
2014-12-22,6120.582
2014-12-23,6023.366
2014-12-24,6154.878
2014-12-25,6222.506
2014-12-26,6233.936
2014-12-29,6098.979
2014-12-30,5982.636
2014-12-31,6027.52
2015-01-05,6049.787
2015-01-06,6172.392
2015-01-07,6166.769
2015-01-08,6164.111
2015-01-09,6128.012
2015-01-12,6062.283
2015-01-13,6167.117
2015-01-14,6139.29
2015-01-15,6168.658
2015-01-16,6252.075
2015-01-19,6109.285
2015-01-20,6336.631
2015-01-21,6465.733
2015-01-22,6568.636
2015-01-23,6502.067
2015-01-26,6642.612
2015-01-27,6693.806
2015-01-28,6666.264
2015-01-29,6625.005
2015-01-30,6546.597
2015-02-02,6535.903
2015-02-03,6654.549
2015-02-04,6653.338
2015-02-05,6654.082
2015-02-06,6526.949
2015-02-09,6474.817
2015-02-10,6555.818
2015-02-11,6645.51
2015-02-12,6703.815
2015-02-13,6815.848
2015-02-16,6965.301
2015-02-17,7020.053
2015-02-25,7004.665
2015-02-26,7045.268
2015-02-27,7141.888
2015-03-02,7317.677
2015-03-03,7282.108
2015-03-04,7411.034
2015-03-05,7450.906
2015-03-06,7338.404
