date,nav,ret
2018-09-06,1.0,0.0
2018-09-07,1.0,0.0
2018-09-14,1.0003,0.0
2018-09-21,1.0013,0.0
2018-09-28,1.0021,0.0
2018-10-09,1.0017,0.0
2018-10-10,1.0017,0.0
2018-10-11,0.9987,-0.002995
2018-10-12,0.9996,0.000901
2018-10-15,1.0002,0.0006
2018-10-16,0.9992,-0.001
2018-10-17,0.9999,0.0007009999999999999
2018-10-18,0.9997,-0.0002
2018-10-19,1.0013,0.0016
2018-10-22,1.0027,0.0013980000000000002
2018-10-23,1.0024,-0.000299
2018-10-24,1.0026,0.0002
2018-10-25,1.002,-0.000598
2018-10-26,1.0021,0.0001
2018-10-29,1.0026,0.000499
2018-10-30,1.003,0.000399
2018-10-31,1.0029,-0.0001
2018-11-01,1.0049,0.001994
2018-11-02,1.0072,0.002289
2018-11-05,1.0067,-0.000496
2018-11-06,1.0073,0.000596
2018-11-07,1.0067,-0.000596
2018-11-08,1.0062,-0.000497
2018-11-09,1.0058,-0.000398
2018-11-12,1.0086,0.002784
2018-11-13,1.0097,0.001091
2018-11-14,1.0098,9.900000000000001e-05
2018-11-15,1.0111,0.0012870000000000002
2018-11-16,1.012,0.00089
2018-11-19,1.0132,0.001186
2018-11-20,1.0111,-0.002073
2018-11-21,1.0113,0.00019800000000000002
2018-11-22,1.0111,-0.00019800000000000002
2018-11-23,1.0095,-0.001582
2018-11-26,1.0087,-0.0007920000000000001
2018-11-27,1.0088,9.900000000000001e-05
2018-11-28,1.0105,0.001685
2018-11-29,1.0093,-0.001188
2018-11-30,1.0104,0.00109
2018-12-03,1.0129,0.002474
2018-12-04,1.0128,-9.900000000000001e-05
2018-12-05,1.0135,0.000691
2018-12-06,1.0122,-0.001283
2018-12-07,1.0125,0.00029600000000000004
2018-12-10,1.0133,0.00079
2018-12-11,1.0146,0.001283
2018-12-12,1.0143,-0.00029600000000000004
2018-12-13,1.0147,0.000394
2018-12-14,1.0129,-0.001774
2018-12-17,1.0113,-0.00158
2018-12-18,1.0104,-0.00089
2018-12-19,1.0097,-0.000693
2018-12-20,1.0106,0.000891
2018-12-21,1.011,0.00039600000000000003
2018-12-24,1.0116,0.000593
2018-12-25,1.011,-0.000593
2018-12-26,1.0109,-9.900000000000001e-05
2018-12-27,1.0101,-0.000791
2018-12-28,1.0116,0.001485
2018-12-31,1.012,0.0
2019-01-02,1.0131,0.001483
2019-01-03,1.0139,0.00079
2019-01-04,1.016,0.002071
2019-01-07,1.0186,0.002559
2019-01-08,1.0195,0.000884
2019-01-09,1.0204,0.000883
2019-01-10,1.0203,-9.8e-05
2019-01-11,1.021,0.000686
2019-01-14,1.0213,0.000294
2019-01-15,1.0216,0.000294
2019-01-16,1.0224,0.000783
2019-01-17,1.0226,0.000196
2019-01-18,1.0234,0.000782
2019-01-21,1.0236,0.000195
2019-01-22,1.0225,-0.001075
2019-01-23,1.0226,9.8e-05
2019-01-24,1.0233,0.0006850000000000001
2019-01-25,1.0235,0.000195
2019-01-28,1.0224,-0.001075
2019-01-29,1.0211,-0.0012720000000000001
2019-01-30,1.0199,-0.0011749999999999998
2019-01-31,1.0199,0.0
2019-02-01,1.0218,0.0018629999999999999
2019-02-11,1.0234,0.001566
2019-02-12,1.0251,0.001661
2019-02-13,1.0277,0.002536
2019-02-14,1.0281,0.00038899999999999997
2019-02-15,1.0279,-0.000195
2019-02-18,1.0312,0.00321
2019-02-19,1.0318,0.000582
2019-02-20,1.0325,0.000678
2019-02-21,1.0318,-0.000678
2019-02-22,1.0335,0.001648
2019-02-25,1.0382,0.004548
2019-02-26,1.0358,-0.002312
2019-02-27,1.0353,-0.00048300000000000003
2019-02-28,1.0354,9.7e-05
2019-03-01,1.0348,-0.000579
2019-03-04,1.0345,-0.00029
2019-03-05,1.0359,0.001353
2019-03-06,1.0373,0.001351
2019-03-07,1.0386,0.001253
2019-03-08,1.035,-0.0034660000000000003
2019-03-11,1.0382,0.0030919999999999997
2019-03-12,1.0399,0.0016370000000000002
2019-03-13,1.0392,-0.000673
2019-03-14,1.036,-0.003079
2019-03-15,1.0372,0.001158
2019-03-18,1.0395,0.002218
2019-03-19,1.039,-0.000481
2019-03-20,1.0388,-0.00019199999999999998
2019-03-21,1.0401,0.001251
2019-03-22,1.0407,0.000577
2019-03-25,1.04,-0.000673
2019-03-26,1.0368,-0.003077
2019-03-27,1.0381,0.0012540000000000001
2019-03-28,1.0388,0.000674
2019-03-29,1.0436,0.004621
2019-04-01,1.048,0.004216
2019-04-02,1.0461,-0.001813
2019-04-03,1.047,0.00086
2019-04-04,1.0459,-0.001051
2019-04-08,1.0449,-0.000956
2019-04-09,1.0457,0.000766
2019-04-10,1.0468,0.001052
2019-04-11,1.0435,-0.003152
2019-04-12,1.0427,-0.000767
2019-04-15,1.0402,-0.002398
2019-04-16,1.0423,0.002019
2019-04-17,1.0429,0.000576
2019-04-18,1.0425,-0.00038399999999999996
2019-04-19,1.0427,0.00019199999999999998
2019-04-22,1.0226,-0.000671
2019-04-23,1.0211,-0.001467
2019-04-24,1.0211,0.0
2019-04-25,1.017,-0.004015
2019-04-26,1.015,-0.001967
2019-04-29,1.0151,9.900000000000001e-05
2019-04-30,1.0151,0.0
2019-05-06,1.0101,-0.004926
2019-05-07,1.0112,0.001089
2019-05-08,1.011,-0.00019800000000000002
2019-05-09,1.0114,0.00039600000000000003
2019-05-10,1.013,0.001582
2019-05-13,1.0123,-0.000691
2019-05-14,1.012,-0.00029600000000000004
2019-05-15,1.0132,0.001186
2019-05-16,1.0127,-0.000493
2019-05-17,1.0107,-0.001975
2019-05-20,1.0092,-0.001484
2019-05-21,1.0121,0.002874
2019-05-22,1.0111,-0.000988
2019-05-23,1.009,-0.002077
2019-05-24,1.0087,-0.000297
2019-05-27,1.0105,0.001784
2019-05-28,1.0102,-0.000297
2019-05-29,1.0108,0.000594
2019-05-30,1.0095,-0.0012859999999999998
2019-05-31,1.01,0.000495
2019-06-03,1.0097,-0.000297
2019-06-04,1.0084,-0.001288
2019-06-05,1.0082,-0.00019800000000000002
2019-06-06,1.0071,-0.001091
2019-06-10,1.0086,0.001489
2019-06-11,1.0115,0.002875
2019-06-12,1.0104,-0.001087
2019-06-13,1.0097,-0.000693
2019-06-14,1.0089,-0.0007920000000000001
2019-06-17,1.0087,-0.00019800000000000002
2019-06-18,1.0089,0.00019800000000000002
2019-06-19,1.01,0.00109
2019-06-20,1.0124,0.002376
2019-06-21,1.0138,0.0013830000000000001
2019-06-24,1.0148,0.000986
2019-06-25,1.0154,0.0005909999999999999
2019-06-26,1.0149,-0.000492
2019-06-27,1.0158,0.000887
2019-06-28,1.0157,-9.8e-05
2019-06-30,1.0158,0.0
2019-07-01,1.0191,0.003347
2019-07-02,1.0203,0.001178
2019-07-03,1.0193,-0.00098
2019-07-04,1.0192,-9.8e-05
2019-07-05,1.0203,0.0010789999999999999
2019-07-08,1.019,-0.0012740000000000002
2019-07-09,1.0195,0.000491
2019-07-10,1.0186,-0.000883
2019-07-11,1.0183,-0.00029499999999999996
2019-07-12,1.0195,0.001178
2019-07-15,1.0196,9.8e-05
2019-07-16,1.0194,-0.000196
2019-07-17,1.0191,-0.000294
2019-07-18,1.0177,-0.001374
2019-07-19,1.0191,0.001376
2019-07-22,1.0182,-0.000883
2019-07-23,1.0205,0.0022589999999999997
2019-07-24,1.0214,0.000882
2019-07-25,1.0227,0.001273
2019-07-26,1.023,0.000293
2019-07-29,1.0236,0.0005870000000000001
2019-07-30,1.0239,0.000293
2019-07-31,1.0236,-0.000293
2019-08-01,1.0235,-9.8e-05
2019-08-02,1.0232,-0.000293
2019-08-05,1.0223,-0.0008799999999999999
2019-08-06,1.0217,-0.0005870000000000001
2019-08-07,1.0218,9.8e-05
2019-08-08,1.0236,0.001762
2019-08-09,1.024,0.000391
2019-08-12,1.0266,0.002539
2019-08-13,1.0273,0.000682
2019-08-14,1.0287,0.001363
2019-08-15,1.0292,0.000486
2019-08-16,1.0318,0.002526
2019-08-19,1.0361,0.0041670000000000006
2019-08-20,1.034,-0.0020269999999999997
2019-08-21,1.0348,0.000774
2019-08-22,1.0352,0.000387
2019-08-23,1.0357,0.00048300000000000003
2019-08-26,1.0351,-0.000579
2019-08-27,1.0363,0.001159
2019-08-28,1.0348,-0.001447
2019-08-29,1.0345,-0.00029
2019-08-30,1.034,-0.00048300000000000003
2019-09-02,1.036,0.001934
2019-09-03,1.0386,0.00251
2019-09-04,1.0409,0.002215
2019-09-05,1.0423,0.001345
2019-09-06,1.0453,0.002878
2019-09-09,1.0491,0.0036349999999999998
2019-09-10,1.0486,-0.000477
2019-09-11,1.0475,-0.001049
2019-09-12,1.0477,0.00019099999999999998
2019-09-16,1.0464,-0.001241
2019-09-17,1.0441,-0.002198
2019-09-18,1.0448,0.00067
2019-09-19,1.0477,0.0027760000000000003
2019-09-20,1.0479,0.00019099999999999998
2019-09-23,1.0476,-0.000286
2019-09-24,1.0489,0.001241
2019-09-25,1.0467,-0.002097
2019-09-26,1.0437,-0.002866
2019-09-27,1.046,0.0022040000000000002
2019-09-30,1.0453,-0.000669
2019-10-08,1.0458,0.000478
2019-10-09,1.0452,-0.000574
2019-10-10,1.048,0.0026790000000000004
2019-10-11,1.0476,-0.00038199999999999996
2019-10-14,1.0496,0.0019089999999999999
2019-10-15,1.048,-0.0015240000000000002
2019-10-16,1.0472,-0.0007630000000000001
2019-10-17,1.0467,-0.000477
2019-10-18,1.0456,-0.001051
2019-10-21,1.045,-0.000574
2019-10-22,1.0464,0.00134
2019-10-23,1.0452,-0.001147
2019-10-24,1.0456,0.000383
2019-10-25,1.0452,-0.000383
2019-10-28,1.0482,0.0028699999999999997
2019-10-29,1.0463,-0.001813
2019-10-30,1.0462,-9.599999999999999e-05
2019-10-31,1.0452,-0.000956
2019-11-01,1.0463,0.001052
2019-11-04,1.0486,0.002198
2019-11-05,1.0502,0.0015260000000000002
2019-11-06,1.0505,0.000286
2019-11-07,1.0514,0.000857
2019-11-08,1.0513,-9.499999999999999e-05
2019-11-11,1.0485,-0.002663
2019-11-12,1.0483,-0.00019099999999999998
2019-11-13,1.0487,0.00038199999999999996
2019-11-14,1.0493,0.000572
2019-11-15,1.0487,-0.000572
2019-11-18,1.0503,0.0015260000000000002
2019-11-19,1.0533,0.002856
2019-11-20,1.0539,0.00057
2019-11-21,1.0542,0.000285
2019-11-22,1.053,-0.001138
2019-11-25,1.0527,-0.000285
2019-11-26,1.0537,0.00095
2019-11-27,1.0546,0.000854
2019-11-28,1.0544,-0.00018999999999999998
2019-11-29,1.0541,-0.000285
2019-12-02,1.0544,0.000285
2019-12-03,1.0555,0.001043
2019-12-04,1.0564,0.000853
2019-12-05,1.0583,0.001799
2019-12-06,1.0596,0.0012280000000000001
2019-12-09,1.0599,0.000283
2019-12-10,1.0612,0.001227
2019-12-11,1.0585,-0.0025440000000000003
2019-12-12,1.0582,-0.000283
2019-12-13,1.0619,0.003497
2019-12-16,1.067,0.004803
2019-12-17,1.0708,0.0035610000000000004
2019-12-18,1.0702,-0.0005600000000000001
2019-12-19,1.0713,0.001028
2019-12-20,1.0702,-0.001027
2019-12-23,1.0672,-0.002803
2019-12-24,1.0709,0.003467
2019-12-25,1.0717,0.000747
2019-12-26,1.0751,0.0031730000000000005
2019-12-27,1.0729,-0.002046
2019-12-30,1.0756,0.0025169999999999997
2019-12-31,1.0758,0.000186
2020-01-02,1.0798,0.0037180000000000004
2020-01-03,1.0799,9.3e-05
2020-01-06,1.0824,0.0023150000000000002
2020-01-07,1.0833,0.0008309999999999999
2020-01-08,1.0829,-0.000369
2020-01-09,1.0854,0.002309
2020-01-10,1.0859,0.00046100000000000004
2020-01-13,1.0888,0.002671
2020-01-14,1.0905,0.0015609999999999999
2020-01-15,1.0886,-0.0017419999999999998
2020-01-16,1.09,0.0012859999999999998
2020-01-17,1.0897,-0.000275
2020-01-20,1.0939,0.0038540000000000002
2020-01-21,1.0914,-0.002285
2020-01-22,1.0929,0.001374
2020-01-23,1.0883,-0.004209
2020-02-03,1.0813,-0.006432
2020-02-04,1.0862,0.004532
2020-02-05,1.0894,0.002946
2020-02-06,1.0935,0.003764
2020-02-07,1.0959,0.002195
2020-02-10,1.1002,0.003924
2020-02-11,1.1003,9.1e-05
2020-02-12,1.1041,0.003454
2020-02-13,1.1029,-0.001087
2020-02-14,1.1034,0.000453
2020-02-17,1.1085,0.004622
2020-02-18,1.1108,0.002075
2020-02-19,1.111,0.00017999999999999998
2020-02-20,1.1137,0.00243
2020-02-21,1.1147,0.000898
2020-02-24,1.116,0.001166
2020-02-25,1.1177,0.0015229999999999998
2020-02-26,1.1139,-0.0034000000000000002
2020-02-27,1.115,0.000988
2020-02-28,1.1073,-0.006906
2020-03-02,1.1112,0.003522
2020-03-03,1.1126,0.00126
2020-03-04,1.1143,0.0015279999999999998
2020-03-05,1.1162,0.0017050000000000001
2020-03-06,1.1157,-0.000448
2020-03-09,1.1114,-0.0038540000000000002
2020-03-10,1.1132,0.0016200000000000001
2020-03-11,1.1112,-0.001797
2020-03-12,1.1093,-0.0017100000000000001
2020-03-13,1.1064,-0.002614
2020-03-16,1.1011,-0.00479
2020-03-17,1.1008,-0.000272
2020-03-18,1.0993,-0.001363
2020-03-19,1.1001,0.000728
2020-03-20,1.103,0.002636
2020-03-23,1.099,-0.003626
2020-03-24,1.1021,0.002821
2020-03-25,1.1044,0.002087
2020-03-26,1.1043,-9.1e-05
2020-03-27,1.1045,0.000181
2020-03-30,1.1028,-0.001539
2020-03-31,1.1028,0.0
2020-04-01,1.1017,-0.000997
2020-04-02,1.1047,0.0027229999999999997
2020-04-03,1.1035,-0.001086
2020-04-07,1.1086,0.004622
2020-04-08,1.1087,8.999999999999999e-05
2020-04-09,1.111,0.002075
2020-04-10,1.1098,-0.00108
2020-04-13,1.1083,-0.001352
2020-04-14,1.1112,0.002617
2020-04-15,1.1105,-0.00063
2020-04-16,1.1117,0.001081
2020-04-17,1.1136,0.001709
2020-04-20,1.1145,0.000808
2020-04-21,1.1129,-0.001436
2020-04-22,1.1136,0.000629
2020-04-23,1.1135,-8.999999999999999e-05
2020-04-24,1.1114,-0.0018859999999999999
2020-04-27,1.1128,0.00126
2020-04-28,1.1144,0.001438
2020-04-29,1.1162,0.0016150000000000001
2020-04-30,1.1188,0.002329
2020-05-06,1.1198,0.0008939999999999999
2020-05-07,1.1177,-0.001875
2020-05-08,1.1191,0.001253
2020-05-11,1.1173,-0.001608
2020-05-12,1.1175,0.000179
2020-05-13,1.1195,0.00179
2020-05-14,1.1171,-0.002144
2020-05-15,1.1175,0.000358
2020-05-18,1.1166,-0.000805
2020-05-19,1.1179,0.001164
2020-05-20,1.117,-0.000805
2020-05-21,1.1163,-0.0006270000000000001
2020-05-22,1.1134,-0.0025979999999999996
2020-05-25,1.1124,-0.000898
2020-05-26,1.1154,0.0026969999999999997
2020-05-27,1.1142,-0.001076
2020-05-28,1.1145,0.000269
2020-05-29,1.1149,0.000359
2020-06-01,1.1198,0.004395
2020-06-02,1.1201,0.000268
2020-06-03,1.119,-0.000982
2020-06-04,1.1209,0.001698
2020-06-05,1.1204,-0.000446
2020-06-08,1.1215,0.000982
2020-06-09,1.1238,0.002051
2020-06-10,1.1238,0.0
2020-06-11,1.1246,0.000712
2020-06-12,1.1253,0.0006219999999999999
2020-06-15,1.1262,0.0008
2020-06-16,1.1285,0.002042
2020-06-17,1.1261,-0.002127
2020-06-18,1.126,-8.9e-05
2020-06-19,1.1282,0.001954
2020-06-22,1.1283,8.9e-05
2020-06-23,1.1285,0.000177
2020-06-24,1.1291,0.0005319999999999999
2020-06-29,1.1256,-0.0031
2020-06-30,1.1276,0.001777
2020-07-01,1.1308,0.002838
2020-07-02,1.1335,0.002388
2020-07-03,1.136,0.002206
2020-07-06,1.1437,0.006777999999999999
2020-07-07,1.1469,0.002798
2020-07-08,1.1499,0.002616
2020-07-09,1.1525,0.002261
2020-07-10,1.1514,-0.000954
2020-07-13,1.1584,0.0060799999999999995
2020-07-14,1.1553,-0.002676
2020-07-15,1.1526,-0.002337
2020-07-16,1.1465,-0.005292
2020-07-17,1.1487,0.001919
2020-07-20,1.1543,0.004875
2020-07-21,1.1569,0.002252
2020-07-22,1.1577,0.000692
2020-07-23,1.1586,0.000777
2020-07-24,1.1498,-0.007594999999999999
2020-07-27,1.1473,-0.002174
2020-07-28,1.1491,0.001569
2020-07-29,1.1549,0.005047
2020-07-30,1.1543,-0.00052
2020-07-31,1.1566,0.001993
2020-08-03,1.1597,0.00268
2020-08-04,1.158,-0.001466
2020-08-05,1.16,0.001727
2020-08-06,1.1584,-0.001379
2020-08-07,1.1573,-0.00095
2020-08-10,1.1598,0.00216
2020-08-11,1.1559,-0.0033629999999999997
2020-08-12,1.155,-0.000779
2020-08-13,1.1545,-0.000433
2020-08-14,1.1565,0.001732
2020-08-17,1.1593,0.002421
2020-08-18,1.1598,0.000431
2020-08-19,1.1557,-0.003535
2020-08-20,1.1549,-0.000692
2020-08-21,1.1577,0.002424
2020-08-24,1.1593,0.0014000000000000002
2020-08-25,1.161,0.0015
2020-08-26,1.1607,-0.0003
2020-08-27,1.1604,-0.0003
2020-08-28,1.1616,0.001
2020-08-31,1.1625,0.0008
2020-09-01,1.163,0.0004
2020-09-02,1.1631,0.0001
2020-09-03,1.161,-0.0018
2020-09-04,1.1595,-0.0013
2020-09-07,1.1589,-0.0005
2020-09-08,1.1588,-0.0001
2020-09-09,1.1552,-0.0031
2020-09-10,1.1537,-0.0013
2020-09-11,1.1562,0.0022
2020-09-14,1.1571,0.0008
2020-09-15,1.1578,0.0006
2020-09-16,1.1569,-0.0008
2020-09-17,1.1565,-0.0003
2020-09-18,1.1583,0.0016
2020-09-21,1.1573,-0.0009
2020-09-22,1.1562,-0.001
2020-09-23,1.1569,0.0006
2020-09-24,1.154,-0.0025
2020-09-25,1.1531,-0.0008
2020-09-28,1.1539,0.0007000000000000001
2020-09-29,1.1556,0.0015
2020-09-30,1.155,-0.0005
2020-10-09,1.159,0.0034999999999999996
2020-10-12,1.1629,0.0034000000000000002
2020-10-13,1.1625,-0.0003
2020-10-14,1.1603,-0.0019
2020-10-15,1.1594,-0.0008
2020-10-16,1.1593,-0.0001
2020-10-19,1.1577,-0.0014000000000000002
2020-10-20,1.1588,0.001
2020-10-21,1.1578,-0.0009
2020-10-22,1.158,0.0002
2020-10-23,1.1552,-0.0024
2020-10-26,1.1548,-0.0003
2020-10-27,1.1553,0.0004
2020-10-28,1.1559,0.0005
2020-10-29,1.1561,0.0002
2020-10-30,1.1532,-0.0025
2020-11-02,1.1528,-0.0003
2020-11-03,1.1548,0.0017000000000000001
2020-11-04,1.1559,0.001
2020-11-05,1.1592,0.0029
2020-11-06,1.1577,-0.0013
2020-11-09,1.1622,0.0039000000000000003
2020-11-10,1.1608,-0.0012
2020-11-11,1.1585,-0.002
2020-11-12,1.1582,-0.0003
2020-11-13,1.1562,-0.0017000000000000001
2020-11-16,1.1576,0.0012
2020-11-17,1.1549,-0.0023
2020-11-18,1.1543,-0.0005
2020-11-19,1.1545,0.0002
2020-11-20,1.1539,-0.0005
2020-11-23,1.1557,0.0016
2020-11-24,1.155,-0.0006
2020-11-25,1.1531,-0.0016
2020-11-26,1.1067,-0.0002
2020-11-27,1.1092,0.0023
2020-11-30,1.1104,0.0011
2020-12-01,1.1141,0.0033
2020-12-02,1.1138,-0.0003
2020-12-03,1.114,0.0002
2020-12-04,1.114,0.0
2020-12-07,1.1137,-0.0003
2020-12-08,1.1131,-0.0005
2020-12-09,1.1111,-0.0018
2020-12-10,1.1114,0.0003
2020-12-11,1.1093,-0.0019
2020-12-14,1.11,0.0006
2020-12-15,1.1088,-0.0011
2020-12-16,1.1081,-0.0006
2020-12-17,1.1097,0.0014000000000000002
2020-12-18,1.1096,-0.0001
2020-12-21,1.1126,0.0027
2020-12-22,1.1095,-0.0028000000000000004
2020-12-23,1.1118,0.0021
2020-12-24,1.1097,-0.0019
2020-12-25,1.111,0.0012
2020-12-28,1.1103,-0.0006
2020-12-29,1.1104,0.0001
2020-12-30,1.1127,0.0021
2020-12-31,1.1169,0.0038
2021-01-04,1.1184,0.0013
2021-01-05,1.1199,0.0013
2021-01-06,1.1199,0.0
2021-01-07,1.1201,0.0002
2021-01-08,1.1201,0.0
2021-01-11,1.1192,-0.0008
2021-01-12,1.1248,0.005
2021-01-13,1.1225,-0.002
2021-01-14,1.1215,-0.0009
2021-01-15,1.1224,0.0008
2021-01-18,1.1259,0.0031
2021-01-19,1.1231,-0.0025
2021-01-20,1.1252,0.0019
2021-01-21,1.1296,0.0039000000000000003
2021-01-22,1.1286,-0.0009
2021-01-25,1.1268,-0.0016
2021-01-26,1.1206,-0.0055000000000000005
2021-01-27,1.122,0.0012
2021-01-28,1.1142,-0.006999999999999999
2021-01-29,1.1122,-0.0018
2021-02-01,1.1136,0.0013
2021-02-02,1.1149,0.0012
2021-02-03,1.1127,-0.002
2021-02-04,1.1106,-0.0019
2021-02-05,1.1088,-0.0016
2021-02-08,1.1102,0.0013
2021-02-09,1.1129,0.0024
2021-02-10,1.1146,0.0015
2021-02-18,1.1162,0.0014000000000000002
2021-02-19,1.1189,0.0024
2021-02-22,1.1184,-0.0004
2021-02-23,1.1177,-0.0006
2021-02-24,1.1157,-0.0018
2021-02-25,1.1162,0.0004
2021-02-26,1.1136,-0.0023
2021-03-01,1.1165,0.0026
2021-03-02,1.1149,-0.0014000000000000002
2021-03-03,1.1187,0.0034000000000000002
2021-03-04,1.0933,-0.0027
2021-03-05,1.0943,0.0009
2021-03-08,1.0906,-0.0034000000000000002
2021-03-09,1.0875,-0.0028000000000000004
2021-03-10,1.087,-0.0005
2021-03-11,1.0903,0.003
2021-03-12,1.0913,0.0009
2021-03-15,1.0912,-0.0001
2021-03-16,1.0928,0.0015
2021-03-17,1.0928,0.0
2021-03-18,1.0931,0.0003
2021-03-19,1.0892,-0.0036
2021-03-22,1.0925,0.003
2021-03-23,1.0911,-0.0013
2021-03-24,1.089,-0.0019
2021-03-25,1.0883,-0.0006
2021-03-26,1.0909,0.0024
2021-03-29,1.0922,0.0012
2021-03-30,1.0925,0.0003
2021-03-31,1.0928,0.0003
2021-04-01,1.0936,0.0007000000000000001
