date,nav,ret
2024-12-17,1.0,0.0
2024-12-20,0.9995,0.0
2024-12-27,0.9995,0.0
2024-12-31,0.9954,0.0
2025-01-03,0.974,0.0
2025-01-10,0.9606,0.0
2025-01-16,0.972,0.0
2025-01-17,0.9759,0.004
2025-01-20,0.9826,0.0069
2025-01-21,0.9854,0.0028000000000000004
2025-01-22,0.9715,-0.0141
2025-01-23,0.9702,-0.0013
2025-01-24,0.9771,0.0070999999999999995
2025-01-27,0.9748,-0.0024
2025-02-05,0.9725,-0.0024
2025-02-06,0.984,0.0118
2025-02-07,0.9962,0.0124
2025-02-10,0.9989,0.0027
2025-02-11,0.9914,-0.0075
2025-02-12,1.0018,0.0105
2025-02-13,1.0012,-0.0006
2025-02-14,1.0146,0.0134
2025-02-17,1.0132,-0.0014000000000000002
2025-02-18,1.0083,-0.0048
2025-02-19,1.0149,0.006500000000000001
2025-02-20,1.0098,-0.005
2025-02-21,1.0276,0.0176
2025-02-24,1.0271,-0.0005
2025-02-25,1.0142,-0.0126
2025-02-26,1.0245,0.0102
2025-02-27,1.0293,0.004699999999999999
2025-02-28,1.0102,-0.018600000000000002
2025-03-03,1.0077,-0.0025
2025-03-04,1.0021,-0.005600000000000001
2025-03-05,1.0077,0.005600000000000001
2025-03-06,1.0268,0.019
2025-03-07,1.0233,-0.0034000000000000002
2025-03-10,1.0175,-0.005699999999999999
2025-03-11,1.02,0.0025
2025-03-12,1.0172,-0.0027
2025-03-13,1.014,-0.0031
2025-03-14,1.0443,0.029900000000000003
2025-03-17,1.041,-0.0032
2025-03-18,1.048,0.0067
2025-03-19,1.0539,0.005600000000000001
2025-03-20,1.0411,-0.0121
2025-03-21,1.0229,-0.0175
2025-03-24,1.03,0.0069
2025-03-25,1.0275,-0.0024
2025-03-26,1.0261,-0.0014000000000000002
2025-03-27,1.0348,0.0085
2025-03-28,1.0321,-0.0026
2025-03-31,1.026,-0.0059
2025-04-01,1.0259,-0.0001
2025-04-02,1.0223,-0.0034999999999999996
2025-04-03,1.0146,-0.0075
2025-04-07,0.9379,-0.0756
2025-04-08,0.9539,0.0171
2025-04-09,0.9614,0.0079
2025-04-10,0.977,0.016200000000000003
2025-04-11,0.9833,0.0064
2025-04-14,0.9881,0.0049
2025-04-15,0.9906,0.0025
2025-04-16,0.9886,-0.002
2025-04-17,0.9911,0.0025
2025-04-18,0.9907,-0.0004
2025-04-21,0.9933,0.0026
2025-04-22,0.9984,0.0051
2025-04-23,1.0037,0.0053
2025-04-24,1.0055,0.0018
2025-04-25,1.0048,-0.0007000000000000001
2025-04-28,1.0028,-0.002
2025-04-29,1.0027,-0.0001
2025-04-30,1.0053,0.0026
2025-05-06,1.0136,0.0083
2025-05-07,1.0146,0.001
2025-05-08,1.021,0.0063
2025-05-09,1.0214,0.0004
2025-05-12,1.0324,0.0108
2025-05-13,1.0313,-0.0011
2025-05-14,1.0445,0.0128
2025-05-15,1.0382,-0.006
2025-05-16,1.0339,-0.0040999999999999995
2025-05-19,1.0318,-0.002
2025-05-20,1.0399,0.0079
2025-05-21,1.046,0.0059
2025-05-22,1.0441,-0.0018
2025-05-23,1.0374,-0.0064
2025-05-26,1.0296,-0.0075
2025-05-27,1.0273,-0.0022
2025-05-28,1.0241,-0.0031
2025-05-29,1.0291,0.0049
2025-05-30,1.0197,-0.0091
2025-06-03,1.0241,0.0043
2025-06-04,1.0294,0.0052
2025-06-05,1.0328,0.0033
2025-06-06,1.0292,-0.0034999999999999996
2025-06-09,1.0314,0.0021
2025-06-10,1.0298,-0.0016
2025-06-11,1.0397,0.0096
2025-06-12,1.0381,-0.0015
2025-06-13,1.0326,-0.0053
2025-06-16,1.0336,0.001
2025-06-17,1.0309,-0.0026
2025-06-18,1.0285,-0.0023
2025-06-19,1.0185,-0.0097
2025-06-20,1.0212,0.0027
2025-06-23,1.0233,0.0021
2025-06-24,1.0366,0.013000000000000001
2025-06-25,1.0501,0.013000000000000001
2025-06-26,1.0464,-0.0034999999999999996
2025-06-27,1.0397,-0.0064
2025-06-30,1.0434,0.0036
2025-07-01,1.0446,0.0012
2025-07-02,1.04,-0.0044
2025-07-03,1.0481,0.0078000000000000005
2025-07-04,1.0539,0.0055000000000000005
2025-07-07,1.0491,-0.0046
2025-07-08,1.0555,0.0060999999999999995
2025-07-09,1.0552,-0.0003
2025-07-10,1.0604,0.0049
2025-07-11,1.0642,0.0036
2025-07-14,1.0655,0.0012
2025-07-15,1.0671,0.0015
2025-07-16,1.0636,-0.0033
2025-07-17,1.072,0.0079
2025-07-18,1.0805,0.0079
2025-07-21,1.0867,0.005699999999999999
2025-07-22,1.0967,0.0092
2025-07-23,1.1016,0.0045000000000000005
2025-07-24,1.1104,0.008
2025-07-25,1.1031,-0.0066
2025-07-28,1.1101,0.0063
2025-07-29,1.1146,0.0040999999999999995
2025-07-30,1.1109,-0.0033
2025-07-31,1.0882,-0.0204
2025-08-01,1.0818,-0.0059
2025-08-04,1.0871,0.0049
2025-08-05,1.0947,0.006999999999999999
2025-08-06,1.0987,0.0037
2025-08-07,1.0972,-0.0014000000000000002
2025-08-08,1.0923,-0.0045000000000000005
2025-08-11,1.0966,0.0039000000000000003
2025-08-12,1.0985,0.0017000000000000001
2025-08-13,1.1083,0.0089
2025-08-14,1.1146,0.005699999999999999
2025-08-15,1.1168,0.002
2025-08-18,1.1212,0.0039000000000000003
2025-08-19,1.1129,-0.0074
2025-08-20,1.1271,0.0128
2025-08-21,1.1327,0.005
2025-08-22,1.1517,0.0168
2025-08-25,1.17,0.0159
2025-08-26,1.171,0.0009
2025-08-27,1.1488,-0.019
2025-08-28,1.1557,0.006
2025-08-29,1.1703,0.0126
2025-09-01,1.1757,0.0046
2025-09-02,1.1709,-0.0040999999999999995
2025-09-03,1.1659,-0.0043
2025-09-04,1.1484,-0.015
2025-09-05,1.1738,0.022099999999999998
2025-09-08,1.1816,0.0066
2025-09-09,1.177,-0.0039000000000000003
2025-09-10,1.1758,-0.001
2025-09-11,1.1898,0.011899999999999999
2025-09-12,1.1871,-0.0023
2025-09-15,1.1955,0.0070999999999999995
2025-09-16,1.1903,-0.0043
2025-09-17,1.2049,0.0123
2025-09-18,1.1916,-0.011000000000000001
2025-09-19,1.1974,0.0049
2025-09-22,1.2034,0.005
2025-09-23,1.2034,0.0
2025-09-24,1.2238,0.017
2025-09-25,1.2293,0.0045000000000000005
2025-09-26,1.2129,-0.013300000000000001
2025-09-29,1.2352,0.0184
2025-09-30,1.2445,0.0075
2025-10-09,1.2544,0.008
2025-10-10,1.2223,-0.0256
2025-10-13,1.2116,-0.0088
2025-10-14,1.1917,-0.016399999999999998
2025-10-15,1.2132,0.018000000000000002
2025-10-16,1.2159,0.0022
2025-10-17,1.1877,-0.0232
2025-10-20,1.1946,0.0058
2025-10-21,1.2095,0.0125
2025-10-22,1.2033,-0.0051
2025-10-23,1.2059,0.0022
2025-10-24,1.2207,0.0123
2025-10-27,1.2331,0.0102
2025-10-28,1.2228,-0.0084
2025-10-29,1.2343,0.009399999999999999
2025-10-30,1.2279,-0.0052
2025-10-31,1.2144,-0.011000000000000001
2025-11-03,1.2141,-0.0002
2025-11-04,1.1978,-0.0134
2025-11-05,1.1993,0.0013
2025-11-06,1.2129,0.0113
2025-11-07,1.2114,-0.0012
