变体,交易数,胜率,平均净收益,中位净收益,平均盈利,平均亏损,盈亏比,平均持有天数,组合总收益,CAGR,最大回撤,Calmar,仓位利用率,基准同期,基准回撤,超额收益,blocked,skipped
A0 旧基线 <50卖(历史参考),28,0.7142857142857143,0.2673583404226739,0.10995226753314391,0.41877794135078894,-0.11119066189761377,3.766304959461494,630.1071428571429,0.7614872967382733,0.08743554263289122,-0.19904806818407672,0.4392684813802469,0.926873857404022,0.1650789848230767,-0.45602619548225387,0.5964083119151966,0,361
A 新基线 >70买/<45卖(推荐),24,0.7916666666666666,0.36769548000360186,0.3018903437574564,0.48859428386443055,-0.0917199746675468,5.327021574476181,837.625,1.0036361759547692,0.1083721016547643,-0.1974105362478188,0.5489681742149753,0.9634369287020109,0.1650789848230767,-0.45602619548225387,0.8385571911316925,0,362
H A+水位≥90%持仓瘦身(10→5槽),24,0.7916666666666666,0.36769548000360186,0.3018903437574564,0.48859428386443055,-0.0917199746675468,5.327021574476181,837.625,1.0036361759547692,0.1083721016547643,-0.1974105362478188,0.5489681742149753,0.9634369287020109,0.1650789848230767,-0.45602619548225387,0.8385571911316925,0,362
