code,name,ftype,channel,S_total,S_v4_raw,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
012045,大成医药健康股票A,股票型,左侧,26.4,-0.11452647463611379,Sell/Avoid 红灯,0.0,0.734,True,True,0,42.2,0.29,0.841,0.0,0.0166,-0.0237,0.19692307692307692,0.18307692307692308,1.09,4420,False,回撤比值1.34(平滑7%)(-7%),0.8557,标准,2026-08-07,
000828,宏利转型机遇股票A,股票型,右侧,26.4,-0.15735937734346298,Sell/Avoid 红灯,0.0,0.8147,False,False,0,46.5,0.677,1.287,18.5,0.3882,0.4203,0.4584615384615385,0.41,30.02,2155,False,回撤比值1.40(平滑10%)(-10%),0.8557,标准,2026-08-07,
013956,华商医药消费精选混合A,混合型-偏股,左侧,26.4,-0.08479312136405062,Sell/Avoid 红灯,0.0,0.7159,True,True,0,29.2,0.226,0.928,0.0,-0.0348,-0.064,0.17692307692307693,0.15076923076923077,1.46,1306,False,回撤比值1.41(平滑11%)(-11%),0.8557,标准,2026-08-07,
001173,中欧瑾和灵活配置混合A,混合型-灵活,右侧,26.2,-0.22647320274210828,Sell/Avoid 红灯,0.0,0.8198,False,False,0,92.7,0.677,0.766,2.5,0.298,0.4559,0.34692307692307695,0.4492307692307692,3.02,3821,False,回撤比值1.44(平滑12%)(-12%),0.8557,标准,2026-08-07,
010383,宝盈基础产业混合A,混合型-偏股,右侧,26.1,-0.13861982016575983,Sell/Avoid 红灯,0.0,0.8106,True,True,0,95.7,0.742,0.755,0.0,0.301,0.375,0.34923076923076923,0.3569230769230769,3.49,253,False,经理任期0年(归因平滑23%)(-23%); 回撤比值1.32(平滑6%)(-6%),0.8557,标准,2026-08-07,
002145,诺安景鑫灵活配置混合,混合型-灵活,右侧,26.0,-0.24404560620909302,Sell/Avoid 红灯,0.0,0.8246,True,True,0,94.4,0.742,0.783,0.0,0.1586,0.3045,0.2753846153846154,0.31384615384615383,0.79,4166,False,,0.8557,标准,2026-08-07,
010377,广发价值核心混合A,混合型-偏股,右侧,25.9,-0.24071292044291095,Sell/Avoid 红灯,0.0,0.8029,True,True,0,90.1,0.742,0.839,0.0,0.0975,0.2327,0.2553846153846154,0.2784615384615385,21.61,2617,False,,0.8557,标准,2026-08-07,
001072,华安智能装备主题股票A,股票型,右侧,25.8,-0.1583766252837049,Sell/Avoid 红灯,0.0,0.8243,True,True,0,49.6,0.774,1.275,1.2,0.2793,0.4685,0.33076923076923076,0.46307692307692305,27.2,2398,False,,0.8557,标准,2026-08-07,
012530,永赢惠添盈一年持有混合,混合型-偏股,右侧,25.8,-0.22851630391613856,Sell/Avoid 红灯,0.0,0.816,True,True,0,81.8,0.581,0.76,0.0,0.2084,0.3092,0.30615384615384617,0.3169230769230769,1.2,1873,False,,0.8557,标准,2026-08-07,
000746,招商行业精选股票基金,股票型,右侧,25.4,-0.23153245088772337,Sell/Avoid 红灯,0.0,0.7605,True,True,0,81.6,0.613,0.837,0.0,-0.0785,0.065,0.15384615384615385,0.23846153846153847,24.89,5136,False,,0.8557,标准,2026-08-07,
011832,西部利得人工智能主题指数增强A,指数型-股票,右侧,25.3,-0.1795791213876509,Sell/Avoid 红灯,0.0,0.8148,False,False,0,54.7,0.677,1.06,10.9,0.3748,0.4016,0.4338461538461538,0.3861538461538462,2.06,2096,True,回撤比值1.43(平滑11%)(-11%),0.8557,标准,2026-08-07,
