code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,exit_reason,hold_days,alloc_yuan,net_ret,pnl_yuan
290012,泰信行业精选混合A,2023-03-31,2023-09-07,1.911,1.955,90.2,,trail_20%,160,14271.04,0.0164,233.83
000743,红塔红土盛世普益混合发起式,2024-09-30,2024-12-31,1.2707,1.3363,85.2,43.0,S<45,92,15977.31,0.0448,715.78
000746,招商行业精选股票基金,2024-09-30,2025-03-31,4.531,4.389,81.5,39.0,S<45,182,16809.06,-0.035,-588.95
160220,国泰民益混合(LOF)A,2024-09-30,2024-12-31,1.8752,1.8995,81.3,36.3,S<45,92,15972.52,0.0064,101.97
519050,海富通安颐收益混合A,2024-09-30,2024-12-31,1.2674,1.2836,79.4,31.9,S<45,92,15970.13,0.0062,99.16
000411,景顺长城优质成长股票A,2024-12-31,2025-04-03,1.558,1.5,74.1,66.9,cppi_cap6,93,16850.14,-0.0428,-721.52
000688,景顺长城研究精选股票A,2024-12-31,2025-04-07,1.553,1.424,71.5,,trail_20%,97,15350.4,-0.089,-1366.43
000714,诺安稳健回报混合A,2024-12-31,2025-12-31,1.112,1.996,77.0,,期末清算,365,11035.51,0.6864,7574.25
580001,东吴嘉禾优势精选混合A,2024-12-31,2025-04-03,0.9247,0.91,70.8,66.4,cppi_cap6,93,15956.33,-0.0223,-355.57
000534,长盛高端装备混合A,2025-03-31,2025-07-02,3.436,3.486,73.5,62.1,cppi_cap6,93,16079.19,0.008,128.1
000849,汇丰晋信双核策略混合A,2025-03-31,2025-09-30,1.3576,1.805,73.3,32.8,S<45,183,16208.54,0.3209,5201.69
161025,富国中证移动互联网指数(LOF)A,2025-03-31,2025-04-03,0.922,0.906,70.8,70.8,cppi_cap6,3,16608.01,-0.0237,-394.13
164205,天弘文化新兴产业股票A,2025-03-31,2025-09-30,2.5404,3.0693,73.7,23.8,S<45,183,16390.3,0.2004,3283.86
673010,西部利得新动向混合A,2025-03-31,2025-09-30,1.257,1.568,75.4,22.0,S<45,183,16147.46,0.2393,3864.38
000573,天弘通利混合A,2025-06-30,2025-09-30,2.251,2.559,73.4,31.1,S<45,92,16350.5,0.1294,2116.57
000684,长盛养老健康混合A,2025-06-30,2025-09-30,1.9837,2.2711,74.4,40.3,S<45,92,16352.95,0.1375,2247.72
000390,华商优势行业混合A,2025-09-30,2025-12-31,1.882,1.87,71.9,,期末清算,92,18764.91,-0.0128,-240.66
000411,景顺长城优质成长股票A,2025-12-31,2025-12-31,2.984,2.984,70.1,,期末清算,0,18700.27,-0.0065,-121.37
000688,景顺长城研究精选股票A,2025-12-31,2025-12-31,2.755,2.755,72.3,,期末清算,0,18703.08,-0.0065,-121.39
