code,name,start,w2,w1,r4_24,r4_25
022887,华宝标普港股通低波红利ETF联接A,2025-01-24,,0.06106104661852774,,
021580,华夏人工智能ETF联接D,2024-06-03,1.3593754406247611,0.6030967328979064,,-0.09518967388885013
021060,嘉实上证科创板生物医药ETF发起联接A,2024-05-29,0.16575752202528649,-0.1727752180223715,,0.07202058221126673
020291,华夏科创100ETF联接A,2024-01-23,1.0268377749365194,0.44101835583020765,,-0.03316030926226399
021308,鹏华创新医药混合A,2024-05-28,0.4590243900271076,0.01544254498113995,,0.1795534405099437
019722,中银量化选股混合发起A,2024-06-17,0.5991694753734405,0.2658593932602433,,0.041435688336868726
022485,国金中证A500指数增强A,2024-11-18,,0.2307745122410112,,
021046,平安港股通红利精选混合发起式A,2024-03-26,0.32915897302446306,0.04879995367660328,,0.0866328324441985
021855,博时中证油气资源ETF发起式联接A,2024-09-19,,0.279911323439223,,0.04145471056788175
021718,华泰紫金中证半导体产业指数型发起A,2024-07-17,2.345719130535974,1.436445691430876,,-0.09634300506108984
021647,东方红动力领航混合A,2024-11-12,,0.5982590606665805,,-0.05272682428901998
024446,中欧大盘智选混合发起A,2025-06-25,,0.07382172471383841,,
020303,信澳星亮智选混合A,2024-01-30,0.7636576945393512,0.016568292311103017,,0.1315303138179853
021988,银河中证通信设备主题指数发起式A,2024-10-22,,0.842191364298758,,0.07792074541618632
023715,华夏中证动漫游戏ETF发起式联接D,2025-03-31,,-0.12349324288997299,,
024713,博时国证大盘价值ETF联接A,2025-07-29,,-0.005514348397797408,,
022945,华夏科创50ETF联接Y,2024-12-16,,0.5480407239607659,,-0.10450421693106116
022327,宏利高端装备股票A,2025-01-16,,0.4193897409262377,,
021642,富国资源精选混合发起式A,2024-07-23,0.3024297719826192,0.2833546670754781,,0.007026231140752959
024050,华宝中证信息技术应用创新产业ETF发起式联接A,2025-05-14,,-0.0342033892170559,,
022237,融通央企精选混合A,2025-03-25,,0.038203838498118925,,
021699,汇添富远见成长混合发起式A,2024-10-09,,0.2119605270321676,,-0.0038704270956843034
021051,国联中证500指数增强A,2024-08-13,,0.19672919104881315,,0.05497424112111249
023395,宝盈北证50成份指数发起式A,2025-02-28,,-0.22446749843316294,,
022962,兴全沪深300指数增强(LOF)Y,2024-12-16,,0.06663442495237626,,0.024907444485014585
019008,东方红远见领航混合发起A,2023-11-16,0.2259607168076907,-0.01618794676830959,,0.004079861077603386
