variant,ic,t,buy_n,buy_fwd6,buy_win
V0现行,0.12153623261245537,3.203389946449676,439,0.10972391799544419,0.6674259681093394
V1-alpha平滑,0.12877117774623817,3.4150067146133263,415,0.1133110843373494,0.6795180722891566
V2-mom平滑M1,0.12960751302429122,3.331476733278659,558,0.10618136200716845,0.6648745519713262
V3-mom平滑M2,0.12515573066637553,3.1571158046523253,488,0.1134907786885246,0.6762295081967213
V4-value平滑,0.1110582163958345,3.0196257678875704,441,0.10935102040816327,0.6666666666666666
V5-全平滑,0.12475717311167304,3.2447668054692183,535,0.10672859813084111,0.6691588785046729
