date,equity,n_pos,cash,cash_ratio,crisis,cppi_hwm,cppi_locked,drawdown
2006-10-09,100000.0,0,100000.0,1.0,False,100000.0,False,0.0
2006-10-10,100006.84462696782,0,100006.84462696782,1.0,False,100006.84462696782,False,0.0
2006-10-11,100013.68972242484,0,100013.68972242484,1.0,False,100013.68972242484,False,0.0
2006-10-12,100020.5352864031,0,100020.5352864031,1.0,False,100020.5352864031,False,0.0
2006-10-13,100027.38131893468,0,100027.38131893468,1.0,False,100027.38131893468,False,0.0
2006-10-16,100047.9208222856,0,100047.9208222856,1.0,False,100047.9208222856,False,0.0
2006-10-17,100054.76872925495,0,100054.76872925495,1.0,False,100054.76872925495,False,0.0
2006-10-18,100061.61710493799,0,100061.61710493799,1.0,False,100061.61710493799,False,0.0
2006-10-19,100068.4659493668,0,100068.4659493668,1.0,False,100068.4659493668,False,0.0
2006-10-20,100075.31526257347,0,100075.31526257347,1.0,False,100075.31526257347,False,0.0
2006-10-23,100095.86460862328,0,100095.86460862328,1.0,False,100095.86460862328,False,0.0
2006-10-24,100102.71579716596,0,100102.71579716596,1.0,False,100102.71579716596,False,0.0
2006-10-25,100109.56745464694,0,100109.56745464694,1.0,False,100109.56745464694,False,0.0
2006-10-26,100116.41958109832,0,100116.41958109832,1.0,False,100116.41958109832,False,0.0
2006-10-27,100123.2721765522,0,100123.2721765522,1.0,False,100123.2721765522,False,0.0
2006-10-30,100143.83137001761,0,100143.83137001761,1.0,False,100143.83137001761,False,0.0
2006-10-31,100150.68584170617,0,100150.68584170617,1.0,False,100150.68584170617,False,0.0
2006-11-01,100157.54078255776,0,100157.54078255776,1.0,False,100157.54078255776,False,0.0
2006-11-02,100164.39619260447,0,100164.39619260447,1.0,False,100164.39619260447,False,0.0
2006-11-03,100171.25207187844,0,100171.25207187844,1.0,False,100171.25207187844,False,0.0
2006-11-06,100191.82111747841,0,100191.82111747841,1.0,False,100191.82111747841,False,0.0
2006-11-07,100198.67887388618,0,100198.67887388618,1.0,False,100198.67887388618,False,0.0
2006-11-08,100205.5370996818,0,100205.5370996818,1.0,False,100205.5370996818,False,0.0
2006-11-09,100212.39579489738,0,100212.39579489738,1.0,False,100212.39579489738,False,0.0
2006-11-10,100219.25495956506,0,100219.25495956506,1.0,False,100219.25495956506,False,0.0
2006-11-13,100239.83386202082,0,100239.83386202082,1.0,False,100239.83386202082,False,0.0
2006-11-14,100246.69490472185,0,100246.69490472185,1.0,False,100246.69490472185,False,0.0
2006-11-15,100253.55641703565,0,100253.55641703565,1.0,False,100253.55641703565,False,0.0
2006-11-16,100260.41839899438,0,100260.41839899438,1.0,False,100260.41839899438,False,0.0
2006-11-17,100267.28085063018,0,100267.28085063018,1.0,False,100267.28085063018,False,0.0
2006-11-20,100287.86961466522,0,100287.86961466522,1.0,False,100287.86961466522,False,0.0
2006-11-21,100294.73394523433,0,100294.73394523433,1.0,False,100294.73394523433,False,0.0
2006-11-22,100301.59874564125,0,100301.59874564125,1.0,False,100301.59874564125,False,0.0
2006-11-23,100308.46401591816,0,100308.46401591816,1.0,False,100308.46401591816,False,0.0
2006-11-24,100315.32975609721,0,100315.32975609721,1.0,False,100315.32975609721,False,0.0
2006-11-27,100335.92838643727,0,100335.92838643727,1.0,False,100335.92838643727,False,0.0
2006-11-28,100342.79600645004,0,100342.79600645004,1.0,False,100342.79600645004,False,0.0
2006-11-29,100349.66409652577,0,100349.66409652577,1.0,False,100349.66409652577,False,0.0
2006-11-30,100356.53265669664,0,100356.53265669664,1.0,False,100356.53265669664,False,0.0
2006-12-01,100363.40168699484,0,100363.40168699484,1.0,False,100363.40168699484,False,0.0
2006-12-04,100384.01018836795,0,100384.01018836795,1.0,False,100384.01018836795,False,0.0
2006-12-05,100390.88109940069,0,100390.88109940069,1.0,False,100390.88109940069,False,0.0
2006-12-06,100397.75248072167,0,100397.75248072167,1.0,False,100397.75248072167,False,0.0
2006-12-07,100404.62433236306,0,100404.62433236306,1.0,False,100404.62433236306,False,0.0
2006-12-08,100411.49665435706,0,100411.49665435706,1.0,False,100411.49665435706,False,0.0
2006-12-11,100432.11503149348,0,100432.11503149348,1.0,False,100432.11503149348,False,0.0
2006-12-12,100438.98923512328,0,100438.98923512328,1.0,False,100438.98923512328,False,0.0
2006-12-13,100445.86390926669,0,100445.86390926669,1.0,False,100445.86390926669,False,0.0
2006-12-14,100452.73905395588,0,100452.73905395588,1.0,False,100452.73905395588,False,0.0
2006-12-15,100459.6146692231,0,100459.6146692231,1.0,False,100459.6146692231,False,0.0
2006-12-18,100480.24292685538,0,100480.24292685538,1.0,False,100480.24292685538,False,0.0
2006-12-19,100487.1204246601,0,100487.1204246601,1.0,False,100487.1204246601,False,0.0
2006-12-20,100493.99839320387,0,100493.99839320387,1.0,False,100493.99839320387,False,0.0
2006-12-21,100500.87683251894,0,100500.87683251894,1.0,False,100500.87683251894,False,0.0
2006-12-22,100507.75574263753,0,100507.75574263753,1.0,False,100507.75574263753,False,0.0
2006-12-25,100528.3938855005,0,100528.3938855005,1.0,False,100528.3938855005,False,0.0
2006-12-26,100535.27467905871,0,100535.27467905871,1.0,False,100535.27467905871,False,0.0
2006-12-27,100542.15594358157,0,100542.15594358157,1.0,False,100542.15594358157,False,0.0
2006-12-28,100549.03767910133,0,100549.03767910133,1.0,False,100549.03767910133,False,0.0
2006-12-29,100555.9198856502,0,100555.9198856502,1.0,False,100555.9198856502,False,0.0
2007-01-04,100597.21595131166,0,100597.21595131166,1.0,False,100597.21595131166,False,0.0
2007-01-05,100604.10145548356,0,100604.10145548356,1.0,False,100604.10145548356,False,0.0
2007-01-08,100624.75938186045,0,100624.75938186045,1.0,False,100624.75938186045,False,0.0
2007-01-09,100631.64677127742,0,100631.64677127742,1.0,False,100631.64677127742,False,0.0
2007-01-10,100638.5346321105,0,100638.5346321105,1.0,False,100638.5346321105,False,0.0
2007-01-11,100645.42296439197,0,100645.42296439197,1.0,False,100645.42296439197,False,0.0
2007-01-12,100652.31176815408,0,100652.31176815408,1.0,False,100652.31176815408,False,0.0
2007-01-15,100672.97959397915,0,100672.97959397915,1.0,False,100672.97959397915,False,0.0
2007-01-16,100679.87028388976,0,100679.87028388976,1.0,False,100679.87028388976,False,0.0
2007-01-17,100686.76144544239,0,100686.76144544239,1.0,False,100686.76144544239,False,0.0
2007-01-18,100693.65307866932,0,100693.65307866932,1.0,False,100693.65307866932,False,0.0
2007-01-19,100700.54518360284,0,100700.54518360284,1.0,False,100700.54518360284,False,0.0
2007-01-22,100721.22291362,0,100721.22291362,1.0,False,100721.22291362,False,0.0
2007-01-23,100728.11690560587,0,100728.11690560587,1.0,False,100728.11690560587,False,0.0
2007-01-24,100735.01136945978,0,100735.01136945978,1.0,False,100735.01136945978,False,0.0
2007-01-25,100741.90630521403,0,100741.90630521403,1.0,False,100741.90630521403,False,0.0
2007-01-26,100748.8017129009,0,100748.8017129009,1.0,False,100748.8017129009,False,0.0
2007-01-29,100769.48935185632,0,100769.48935185632,1.0,False,100769.48935185632,False,0.0
2007-01-30,100776.38664749984,0,100776.38664749984,1.0,False,100776.38664749984,False,0.0
2007-01-31,100783.28441523752,0,100783.28441523752,1.0,False,100783.28441523752,False,0.0
2007-02-01,100790.18265510167,0,100790.18265510167,1.0,False,100790.18265510167,False,0.0
2007-02-02,100797.08136712461,0,100797.08136712461,1.0,False,100797.08136712461,False,0.0
2007-02-05,100817.77891976673,0,100817.77891976673,1.0,False,100817.77891976673,False,0.0
2007-02-06,100824.67952065104,0,100824.67952065104,1.0,False,100824.67952065104,False,0.0
2007-02-07,100831.58059385575,0,100831.58059385575,1.0,False,100831.58059385575,False,0.0
2007-02-08,100838.48213941316,0,100838.48213941316,1.0,False,100838.48213941316,False,0.0
2007-02-09,100845.38415735563,0,100845.38415735563,1.0,False,100845.38415735563,False,0.0
2007-02-12,100866.09162843517,0,100866.09162843517,1.0,False,100866.09162843517,False,0.0
2007-02-13,100872.99553614417,0,100872.99553614417,1.0,False,100872.99553614417,False,0.0
2007-02-14,100879.8999163999,0,100879.8999163999,1.0,False,100879.8999163999,False,0.0
2007-02-15,100886.80476923469,0,100886.80476923469,1.0,False,100886.80476923469,False,0.0
2007-02-16,100893.71009468091,0,100893.71009468091,1.0,False,100893.71009468091,False,0.0
2007-02-26,100962.76807558075,0,100962.76807558075,1.0,False,100962.76807558075,False,0.0
2007-02-27,100969.67860043191,0,100969.67860043191,1.0,False,100969.67860043191,False,0.0
2007-02-28,100976.58959828274,0,100976.58959828274,1.0,False,100976.58959828274,False,0.0
2007-03-01,100983.50106916558,0,100983.50106916558,1.0,False,100983.50106916558,False,0.0
2007-03-02,100990.41301311282,0,100990.41301311282,1.0,False,100990.41301311282,False,0.0
2007-03-05,101011.15026424488,0,101011.15026424488,1.0,False,101011.15026424488,False,0.0
2007-03-06,101018.06410067638,0,101018.06410067638,1.0,False,101018.06410067638,False,0.0
2007-03-07,101024.9784103342,0,101024.9784103342,1.0,False,101024.9784103342,False,0.0
2007-03-08,101031.89319325071,0,101031.89319325071,1.0,False,101031.89319325071,False,0.0
2007-03-09,101038.80844945833,0,101038.80844945833,1.0,False,101038.80844945833,False,0.0
2007-03-12,101059.55563805165,0,101059.55563805165,1.0,False,101059.55563805165,False,0.0
2007-03-13,101066.47278765042,0,101066.47278765042,1.0,False,101066.47278765042,False,0.0
2007-03-14,101073.39041070228,0,101073.39041070228,1.0,False,101073.39041070228,False,0.0
2007-03-15,101080.30850723964,0,101080.30850723964,1.0,False,101080.30850723964,False,0.0
2007-03-16,101087.22707729488,0,101087.22707729488,1.0,False,101087.22707729488,False,0.0
2007-03-19,101107.98420811158,0,101107.98420811158,1.0,False,101107.98420811158,False,0.0
2007-03-20,101114.90467246532,0,101114.90467246532,1.0,False,101114.90467246532,False,0.0
2007-03-21,101121.82561049903,0,101121.82561049903,1.0,False,101121.82561049903,False,0.0
2007-03-22,101128.74702224512,0,101128.74702224512,1.0,False,101128.74702224512,False,0.0
2007-03-23,101135.66890773604,0,101135.66890773604,1.0,False,101135.66890773604,False,0.0
2007-03-26,101156.4359855405,0,101156.4359855405,1.0,False,101156.4359855405,False,0.0
2007-03-27,101163.35976623767,0,101163.35976623767,1.0,False,101163.35976623767,False,0.0
2007-03-28,101170.28402084179,0,101170.28402084179,1.0,False,101170.28402084179,False,0.0
2007-03-29,101177.20874938532,0,101177.20874938532,1.0,False,101177.20874938532,False,0.0
2007-03-30,101184.13395190067,0,101184.13395190067,1.0,False,101184.13395190067,False,0.0
2007-04-02,101204.91098145959,0,101204.91098145959,1.0,False,101204.91098145959,False,0.0
2007-04-03,101211.8380800894,0,101211.8380800894,1.0,False,101211.8380800894,False,0.0
2007-04-04,101218.76565285325,0,101218.76565285325,1.0,False,101218.76565285325,False,0.0
2007-04-05,101225.69369978363,0,101225.69369978363,1.0,False,101225.69369978363,False,0.0
2007-04-06,101232.62222091298,0,101232.62222091298,1.0,False,101232.62222091298,False,0.0
2007-04-09,101253.4092069953,0,101253.4092069953,1.0,False,101253.4092069953,False,0.0
2007-04-10,101260.33962514774,0,101260.33962514774,1.0,False,101260.33962514774,False,0.0
2007-04-11,101267.27051766144,0,101267.27051766144,1.0,False,101267.27051766144,False,0.0
2007-04-12,101274.20188456887,0,101274.20188456887,1.0,False,101274.20188456887,False,0.0
2007-04-13,101281.13372590252,0,101281.13372590252,1.0,False,101281.13372590252,False,0.0
2007-04-16,101301.9306732795,0,101301.9306732795,1.0,False,101301.9306732795,False,0.0
2007-04-17,101308.86441254528,0,101308.86441254528,1.0,False,101308.86441254528,False,0.0
2007-04-18,101315.79862639967,0,101315.79862639967,1.0,False,101315.79862639967,False,0.0
2007-04-19,101322.73331487512,0,101322.73331487512,1.0,False,101322.73331487512,False,0.0
2007-04-20,101329.66847800414,0,101329.66847800414,1.0,False,101329.66847800414,False,0.0
2007-04-23,101350.47539144932,0,101350.47539144932,1.0,False,101350.47539144932,False,0.0
2007-04-24,101357.41245341998,0,101357.41245341998,1.0,False,101357.41245341998,False,0.0
2007-04-25,101364.34999020667,0,101364.34999020667,1.0,False,101364.34999020667,False,0.0
2007-04-26,101371.28800184187,0,101371.28800184187,1.0,False,101371.28800184187,False,0.0
2007-04-27,101378.22648835808,0,101378.22648835808,1.0,False,101378.22648835808,False,0.0
2007-04-30,101399.04337264727,0,101399.04337264727,1.0,False,101399.04337264727,False,0.0
2007-05-08,101454.56646278972,0,101454.56646278972,1.0,False,101454.56646278972,False,0.0
2007-05-09,101461.51064940593,0,101461.51064940593,1.0,False,101461.51064940593,False,0.0
2007-05-10,101468.4553113258,0,101468.4553113258,1.0,False,101468.4553113258,False,0.0
2007-05-11,101475.40044858189,0,101475.40044858189,1.0,False,101475.40044858189,False,0.0
2007-05-14,101496.23728645634,0,101496.23728645634,1.0,False,101496.23728645634,False,0.0
2007-05-15,101503.18432528498,0,101503.18432528498,1.0,False,101503.18432528498,False,0.0
2007-05-16,101510.13183961251,0,101510.13183961251,1.0,False,101510.13183961251,False,0.0
2007-05-17,101517.07982947149,0,101517.07982947149,1.0,False,101517.07982947149,False,0.0
2007-05-18,101524.02829489445,0,101524.02829489445,1.0,False,101524.02829489445,False,0.0
2007-05-21,101544.87511795295,0,101544.87511795295,1.0,False,101544.87511795295,False,0.0
2007-05-22,101551.82548585972,0,101551.82548585972,1.0,False,101551.82548585972,False,0.0
2007-05-23,101558.77632949325,0,101558.77632949325,1.0,False,101558.77632949325,False,0.0
2007-05-24,101565.7276488861,0,101565.7276488861,1.0,False,101565.7276488861,False,0.0
2007-05-25,101572.67944407082,0,101572.67944407082,1.0,False,101572.67944407082,False,0.0
2007-05-28,101593.53625709834,0,101593.53625709834,1.0,False,101593.53625709834,False,0.0
2007-05-29,101600.48995567857,0,101600.48995567857,1.0,False,101600.48995567857,False,0.0
2007-05-30,101607.44413021352,0,101607.44413021352,1.0,False,101607.44413021352,False,0.0
2007-05-31,101614.39878073578,0,101614.39878073578,1.0,False,101614.39878073578,False,0.0
2007-06-01,101621.35390727792,0,101621.35390727792,1.0,False,101621.35390727792,False,0.0
2007-06-04,101642.22071506176,0,101642.22071506176,1.0,False,101642.22071506176,False,0.0
2007-06-05,101649.17774591153,0,101649.17774591153,1.0,False,101649.17774591153,False,0.0
2007-06-06,101656.1352529441,0,101656.1352529441,1.0,False,101656.1352529441,False,0.0
2007-06-07,101663.09323619209,0,101663.09323619209,1.0,False,101663.09323619209,False,0.0
2007-06-08,101670.05169568806,0,101670.05169568806,1.0,False,101670.05169568806,False,0.0
2007-06-11,101690.92850301777,0,101690.92850301777,1.0,False,101690.92850301777,False,0.0
2007-06-12,101697.88886773393,0,101697.88886773393,1.0,False,101697.88886773393,False,0.0
2007-06-13,101704.84970886109,0,101704.84970886109,1.0,False,101704.84970886109,False,0.0
2007-06-14,101711.81102643185,0,101711.81102643185,1.0,False,101711.81102643185,False,0.0
2007-06-15,101718.77282047884,0,101718.77282047884,1.0,False,101718.77282047884,False,0.0
2007-06-18,101739.6596321463,0,101739.6596321463,1.0,False,101739.6596321463,False,0.0
2007-06-19,101746.62333232646,0,101746.62333232646,1.0,False,101746.62333232646,False,0.0
2007-06-20,101753.58750914592,0,101753.58750914592,1.0,False,101753.58750914592,False,0.0
2007-06-21,101760.55216263731,0,101760.55216263731,1.0,False,101760.55216263731,False,0.0
2007-06-22,101767.51729283325,0,101767.51729283325,1.0,False,101767.51729283325,False,0.0
2007-06-25,101788.41411363259,0,101788.41411363259,1.0,False,101788.41411363259,False,0.0
2007-06-26,101795.38115087514,0,101795.38115087514,1.0,False,101795.38115087514,False,0.0
2007-06-27,101802.3486649854,0,101802.3486649854,1.0,False,101802.3486649854,False,0.0
2007-06-28,101809.31665599601,0,101809.31665599601,1.0,False,101809.31665599601,False,0.0
2007-06-29,101816.28512393961,0,101816.28512393961,1.0,False,101816.28512393961,False,0.0
2007-07-02,101837.19195866732,0,101837.19195866732,1.0,False,101837.19195866732,False,0.0
2007-07-03,101844.1623345714,0,101844.1623345714,1.0,False,101844.1623345714,False,0.0
