date,equity,n_pos,drawdown
2019-04-01,100000.0,0,0.0
2019-04-02,100000.0,0,0.0
2019-04-03,100000.0,0,0.0
2019-04-04,100000.0,0,0.0
2019-04-08,100000.0,0,0.0
2019-04-09,100000.0,0,0.0
2019-04-10,100000.0,0,0.0
2019-04-11,100000.0,0,0.0
2019-04-12,100000.0,0,0.0
2019-04-15,100000.0,0,0.0
2019-04-16,100000.0,0,0.0
2019-04-17,100000.0,0,0.0
2019-04-18,100000.0,0,0.0
2019-04-19,100000.0,0,0.0
2019-04-22,100000.0,0,0.0
2019-04-23,100000.0,0,0.0
2019-04-24,100000.0,0,0.0
2019-04-25,100000.0,0,0.0
2019-04-26,100000.0,0,0.0
2019-04-29,100000.0,0,0.0
2019-04-30,100000.0,0,0.0
2019-05-06,100000.0,0,0.0
2019-05-07,100000.0,0,0.0
2019-05-08,100000.0,0,0.0
2019-05-09,100000.0,0,0.0
2019-05-10,100000.0,0,0.0
2019-05-13,100000.0,0,0.0
2019-05-14,100000.0,0,0.0
2019-05-15,100000.0,0,0.0
2019-05-16,100000.0,0,0.0
2019-05-17,100000.0,0,0.0
2019-05-20,100000.0,0,0.0
2019-05-21,100000.0,0,0.0
2019-05-22,100000.0,0,0.0
2019-05-23,100000.0,0,0.0
2019-05-24,100000.0,0,0.0
2019-05-27,100000.0,0,0.0
2019-05-28,100000.0,0,0.0
2019-05-29,100000.0,0,0.0
2019-05-30,100000.0,0,0.0
2019-05-31,100000.0,0,0.0
2019-06-03,100000.0,0,0.0
2019-06-04,100000.0,0,0.0
2019-06-05,100000.0,0,0.0
2019-06-06,100000.0,0,0.0
2019-06-10,100000.0,0,0.0
2019-06-11,100000.0,0,0.0
2019-06-12,100000.0,0,0.0
2019-06-13,100000.0,0,0.0
2019-06-14,100000.0,0,0.0
2019-06-17,100000.0,0,0.0
2019-06-18,100000.0,0,0.0
2019-06-19,100000.0,0,0.0
2019-06-20,100000.0,0,0.0
2019-06-21,100000.0,0,0.0
2019-06-24,100000.0,0,0.0
2019-06-25,100000.0,0,0.0
2019-06-26,100000.0,0,0.0
2019-06-27,100000.0,0,0.0
