code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
016370,信澳业绩驱动混合A,混合型-偏股,右侧,23.2,Sell/Avoid 红灯,0.0,0.7601,False,False,0,50.1,0.774,1.226,100.0,0.7221,0.7411,0.816923076923077,0.6907692307692308,53.21,170,False,经理任期0年(归因平滑25%)(-25%); 回撤比值1.74(平滑27%)(-27%),0.839,标准,2026-07-31,
013940,东吴医疗服务股票A,股票型,左侧,23.1,Sell/Avoid 红灯,32.2,0.6772,True,False,0,37.4,0.226,0.876,0.0,0.0745,0.0023,0.2276923076923077,0.19538461538461538,0.33,1847,False,回撤比值1.42(平滑11%)(-11%),0.839,标准,2026-07-31,
016122,华富中证科创创业50指数增强A,指数型-股票,右侧,23.1,Sell/Avoid 红灯,0.0,0.7594,False,False,0,36.2,0.516,1.015,41.7,0.5318,0.4834,0.5707692307692308,0.4276923076923077,0.9,6242,True,,0.839,标准,2026-07-31,
019785,广发上证科创板成长ETF发起式联接A,指数型-股票,新星,23.1,Sell/Avoid 红灯,0.0,0.7622,False,False,0,51.6,0.846,1.177,84.4,0.6111,0.674,0.6753846153846154,0.6123076923076923,1.73,3947,True,回撤比值2.02(平滑41%)(-41%),0.839,标准,2026-07-31,
019632,国泰半导体设备ETF联接A,指数型-股票,新星,23.1,Sell/Avoid 红灯,0.0,0.7781,False,False,0,5.9,0.407,1.356,100.0,0.9378,1.1259,0.9569230769230769,0.9661538461538461,4.3,633,True,回撤比值1.50(平滑15%)(-15%),0.839,标准,2026-07-31,
015440,信澳智选先锋一年持有期混合A,混合型-偏股,右侧,23.0,Sell/Avoid 红灯,0.0,0.7701,False,False,0,45.2,0.645,1.191,50.7,0.4915,0.6272,0.5230769230769231,0.5707692307692308,0.87,1646,False,回撤比值1.59(平滑19%)(-19%),0.839,标准,2026-07-31,
001040,新华策略精选股票A,股票型,右侧,22.9,Sell/Avoid 红灯,0.0,0.7677,False,False,0,37.0,0.581,1.171,64.6,0.4622,0.7876,0.4815384615384615,0.7446153846153846,17.09,3783,False,回撤比值1.63(平滑21%)(-21%),0.839,标准,2026-07-31,
460007,华泰柏瑞行业领先混合,混合型-偏股,右侧,22.9,Sell/Avoid 红灯,0.0,0.7606,False,False,0,10.7,0.452,1.583,100.0,0.698,0.802,0.7892307692307692,0.7523076923076923,8.04,6101,False,回撤比值1.61(平滑20%)(-20%),0.839,标准,2026-07-31,
014543,汇添富中证沪港深云计算产业ETF联接A,指数型-股票,右侧,22.8,Sell/Avoid 红灯,0.0,0.753,False,False,0,81.4,0.71,0.899,0.0,0.0284,0.0334,0.19076923076923077,0.2169230769230769,3.46,502,True,回撤比值1.60(平滑20%)(-20%),0.839,标准,2026-07-31,
024459,华商致远回报混合A,混合型-偏股,新星,22.8,Sell/Avoid 红灯,0.0,0.7609,False,False,0,98.9,1.0,0.68,100.0,0.8601,1.1709,0.9230769230769231,0.9769230769230769,58.09,517,False,经理任期1年(归因平滑16%)(-16%); 回撤比值2.29(平滑55%)(-55%),0.839,标准,2026-07-31,
100039,富国通胀通缩主题轮动混合A,混合型-偏股,右侧,22.7,Sell/Avoid 红灯,0.0,0.7623,False,False,0,40.9,0.613,1.228,43.6,0.5184,0.5251,0.5553846153846154,0.4653846153846154,24.01,4728,False,回撤比值1.40(平滑10%)(-10%),0.839,标准,2026-07-31,
015079,永赢成长远航一年持有混合A,混合型-偏股,右侧,22.6,Sell/Avoid 红灯,0.0,0.7615,False,False,0,52.5,0.613,1.026,31.4,0.4116,0.6384,0.4123076923076923,0.583076923076923,3.13,2708,False,回撤比值1.47(平滑14%)(-14%),0.839,标准,2026-07-31,
