date,code,name,S,rank_pct,F_value,F_alpha,F_mom,water,wv,wa,wm,R_MDD,mdd_f,mdd_b,top3,pens,fwd6,fwd12,pct6,pct12,pens_l,other_pen,base,S_now,S_soft,S_clean,rb
2019-03-31,290012,0,85.2,1.0,65.3,97.3,100.0,0.3612,0.4,0.35,0.25,1.032,-0.3208,-0.3108,0.598,,0.0072,0.1188,0.2777777777777778,0.4583333333333333,[],1.0,85.175,85.2,85.2,85.2,"(1.0,1.2]"
2019-03-31,519150,1,84.4,0.9954,63.3,97.3,100.0,0.3612,0.4,0.35,0.25,0.824,-0.2436,-0.2958,0.492,,0.0094,0.0755,0.28703703703703703,0.3148148148148148,[],1.0,84.375,84.4,84.4,84.4,≤1.0
2019-03-31,000423,2,83.1,0.9907,62.9,94.2,100.0,0.3612,0.4,0.35,0.25,0.907,-0.2691,-0.2967,0.49,,-0.0765,0.1221,0.06018518518518518,0.4722222222222222,[],1.0,83.13,83.1,83.1,83.1,≤1.0
2019-03-31,040011,3,77.2,0.9861,63.1,77.0,100.0,0.3612,0.4,0.35,0.25,0.617,-0.1807,-0.2928,0.48,,0.0031,0.0066,0.22685185185185186,0.1574074074074074,[],1.0,77.19,77.2,77.2,77.2,≤1.0
2019-03-31,519736,4,75.0,0.9815,62.6,100.0,60.0,0.3612,0.4,0.35,0.25,0.84,-0.2465,-0.2934,0.474,,0.0629,0.248,0.6527777777777778,0.7361111111111112,[],1.0,75.04,75.0,75.0,75.0,≤1.0
2019-03-31,000652,5,74.8,0.9769,64.3,68.7,100.0,0.3612,0.4,0.35,0.25,0.7,-0.2101,-0.3003,0.539,,0.005,0.1663,0.25462962962962965,0.5648148148148148,[],1.0,74.765,74.8,74.8,74.8,≤1.0
2019-03-31,000251,6,74.5,0.9722,61.3,100.0,60.0,0.3612,0.4,0.35,0.25,0.879,-0.2552,-0.2904,0.49,,0.0131,-0.0521,0.33796296296296297,0.06944444444444445,[],1.0,74.52,74.5,74.5,74.5,≤1.0
2019-03-31,000017,7,74.4,0.9676,63.0,69.1,100.0,0.3612,0.4,0.35,0.25,1.049,-0.3114,-0.297,0.499,,0.1109,0.188,0.8564814814814815,0.6018518518518519,[],1.0,74.38499999999999,74.4,74.4,74.4,"(1.0,1.2]"
2019-03-31,519158,8,74.2,0.963,63.7,96.3,60.0,0.3612,0.4,0.35,0.25,1.005,-0.3013,-0.2998,0.515,,0.0736,0.2486,0.7037037037037037,0.7407407407407407,[],1.0,74.185,74.2,74.2,74.2,"(1.0,1.2]"
2019-03-31,000390,9,73.8,0.9583,64.6,94.2,60.0,0.3612,0.4,0.35,0.25,0.818,-0.2499,-0.3056,0.569,,0.1068,0.3096,0.8287037037037037,0.8472222222222222,[],1.0,73.81,73.8,73.8,73.8,≤1.0
2019-03-31,450009,10,73.6,0.9537,62.2,67.9,100.0,0.3612,0.4,0.35,0.25,0.774,-0.2249,-0.2906,0.464,,0.0422,0.073,0.5023148148148148,0.30092592592592593,[],1.0,73.64500000000001,73.6,73.6,73.6,≤1.0
2019-03-31,000409,11,72.4,0.9491,64.4,90.5,60.0,0.3612,0.4,0.35,0.25,1.019,-0.3074,-0.3016,0.539,,0.0036,0.196,0.2361111111111111,0.625,[],1.0,72.435,72.4,72.4,72.4,"(1.0,1.2]"
2019-03-31,720001,12,72.2,0.9444,64.1,61.6,100.0,0.3612,0.4,0.35,0.25,1.091,-0.3344,-0.3065,0.564,,0.2117,0.4471,0.9861111111111112,0.9583333333333334,[],1.0,72.2,72.2,72.2,72.2,"(1.0,1.2]"
2019-03-31,165521,13,71.3,0.9398,61.4,90.8,60.0,0.3612,0.4,0.35,0.25,0.901,-0.2624,-0.2912,0.489,,-0.0067,-0.09,0.17592592592592593,0.037037037037037035,[],1.0,71.34,71.3,71.3,71.3,≤1.0
2019-03-31,000595,14,71.0,0.9352,63.0,87.9,60.0,0.3612,0.4,0.35,0.25,1.048,-0.3086,-0.2945,0.493,,0.197,0.4002,0.9675925925925926,0.9351851851851852,[],1.0,70.965,71.0,71.0,71.0,"(1.0,1.2]"
2019-03-31,000020,15,70.9,0.9306,64.1,86.5,60.0,0.3612,0.4,0.35,0.25,1.087,-0.3246,-0.2987,0.534,,0.1194,0.3995,0.8796296296296297,0.9305555555555556,[],1.0,70.91499999999999,70.9,70.9,70.9,"(1.0,1.2]"
2019-03-31,530019,16,68.5,0.9236,64.2,79.5,60.0,0.3612,0.4,0.35,0.25,1.008,-0.3009,-0.2984,0.532,,-0.0608,-0.0229,0.07407407407407407,0.10648148148148148,[],1.0,68.505,68.5,68.5,68.5,"(1.0,1.2]"
2019-03-31,050022,17,68.5,0.9236,65.0,50.0,100.0,0.3612,0.4,0.35,0.25,1.175,-0.3544,-0.3016,0.562,,0.209,0.3562,0.9814814814814815,0.9027777777777778,[],1.0,68.5,68.5,68.5,68.5,"(1.0,1.2]"
2019-03-31,519674,18,68.1,0.9167,64.9,77.5,60.0,0.3612,0.4,0.35,0.25,0.978,-0.3078,-0.3147,0.604,,0.2259,0.7009,1.0,1.0,[],1.0,68.08500000000001,68.1,68.1,68.1,≤1.0
2019-03-31,040025,19,68.0,0.9097,63.7,100.0,30.0,0.3612,0.4,0.35,0.25,0.822,-0.243,-0.2958,0.503,,0.0032,0.0754,0.23148148148148148,0.3101851851851852,[],1.0,67.98,68.0,68.0,68.0,≤1.0
2019-03-31,161903,20,68.0,0.9097,63.7,50.0,100.0,0.3612,0.4,0.35,0.25,0.74,-0.2229,-0.301,0.531,,0.1883,0.6225,0.9629629629629629,0.9953703703703703,[],1.0,67.98,68.0,68.0,68.0,≤1.0
