date,equity,n_pos,cash,cash_ratio,crisis,cppi_hwm,cppi_locked,drawdown
2019-04-01,100000.0,0,100000.0,1.0,False,100000.0,False,0.0
2019-04-02,100006.84462696782,0,100006.84462696782,1.0,False,100006.84462696782,False,0.0
2019-04-03,100013.68972242484,0,100013.68972242484,1.0,False,100013.68972242484,False,0.0
2019-04-04,100020.5352864031,0,100020.5352864031,1.0,False,100020.5352864031,False,0.0
2019-04-08,100047.91941652943,0,100047.91941652943,1.0,False,100047.91941652943,False,0.0
2019-04-09,100054.76732340257,0,100054.76732340257,1.0,False,100054.76732340257,False,0.0
2019-04-10,100061.6156989894,0,100061.6156989894,1.0,False,100061.6156989894,False,0.0
2019-04-11,100068.46454332197,0,100068.46454332197,1.0,False,100068.46454332197,False,0.0
2019-04-12,100075.31385643239,0,100075.31385643239,1.0,False,100075.31385643239,False,0.0
2019-04-15,100095.86320219346,0,100095.86320219346,1.0,False,100095.86320219346,False,0.0
2019-04-16,100102.71439063989,0,100102.71439063989,1.0,False,100102.71439063989,False,0.0
2019-04-17,100109.5660480246,0,100109.5660480246,1.0,False,100109.5660480246,False,0.0
2019-04-18,100116.4181743797,0,100116.4181743797,1.0,False,100116.4181743797,False,0.0
2019-04-19,100123.27076973728,0,100123.27076973728,1.0,False,100123.27076973728,False,0.0
2019-04-22,100143.82996291382,0,100143.82996291382,1.0,False,100143.82996291382,False,0.0
2019-04-23,100150.68443450608,0,100150.68443450608,1.0,False,100150.68443450608,False,0.0
2019-04-24,100157.53937526135,0,100157.53937526135,1.0,False,100157.53937526135,False,0.0
2019-04-25,100164.39478521174,0,100164.39478521174,1.0,False,100164.39478521174,False,0.0
2019-04-26,100171.25066438937,0,100171.25066438937,1.0,False,100171.25066438937,False,0.0
2019-04-29,100191.81970970033,0,100191.81970970033,1.0,False,100191.81970970033,False,0.0
2019-04-30,100198.67746601174,0,100198.67746601174,1.0,False,100198.67746601174,False,0.0
2019-05-06,100239.82682020722,0,100239.82682020722,1.0,False,100239.82682020722,False,0.0
2019-05-07,100246.68786242626,0,100246.68786242626,1.0,False,100246.68786242626,False,0.0
2019-05-08,100253.54937425804,0,100253.54937425804,1.0,False,100253.54937425804,False,0.0
2019-05-09,100260.41135573472,0,100260.41135573472,1.0,False,100260.41135573472,False,0.0
2019-05-10,100267.27380688842,0,100267.27380688842,1.0,False,100267.27380688842,False,0.0
2019-05-13,100287.8625694771,0,100287.8625694771,1.0,False,100287.8625694771,False,0.0
2019-05-14,100294.72689956399,0,100294.72689956399,1.0,False,100294.72689956399,False,0.0
2019-05-15,100301.59169948866,0,100301.59169948866,1.0,False,100301.59169948866,False,0.0
2019-05-16,100308.45696928329,0,100308.45696928329,1.0,False,100308.45696928329,False,0.0
2019-05-17,100315.32270898002,0,100315.32270898002,1.0,False,100315.32270898002,False,0.0
2019-05-20,100335.92133787303,0,100335.92133787303,1.0,False,100335.92133787303,False,0.0
2019-05-21,100342.78895740335,0,100342.78895740335,1.0,False,100342.78895740335,False,0.0
2019-05-22,100349.6570469966,0,100349.6570469966,1.0,False,100349.6570469966,False,0.0
2019-05-23,100356.52560668495,0,100356.52560668495,1.0,False,100356.52560668495,False,0.0
2019-05-24,100363.39463650061,0,100363.39463650061,1.0,False,100363.39463650061,False,0.0
2019-05-27,100384.00313642598,0,100384.00313642598,1.0,False,100384.00313642598,False,0.0
2019-05-28,100390.87404697604,0,100390.87404697604,1.0,False,100390.87404697604,False,0.0
2019-05-29,100397.7454278143,0,100397.7454278143,1.0,False,100397.7454278143,False,0.0
