date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2025-06-30,161721,7.8,0.7005,0.4,0.35,0.25,0.6957,0.93,True,0.01105,0.097,1.349,-0.0704,-0.1839,1.923,1.0,30.4,0.0,0.0,-0.0071,-0.325
2025-06-30,582003,7.8,0.7005,0.4,0.35,0.25,0.7199,0.977,True,0.0628,0.29,0.945,-0.16,-0.1322,1.476,1.0,0.0,25.8,0.0,0.8037,1.5584
2025-06-30,630011,7.5,0.7005,0.4,0.35,0.25,0.7117,1.0,True,0.01321,0.258,1.377,0.0065,-0.0427,1.168,1.0,0.0,0.0,30.0,0.4814,0.4863
2025-06-30,160615,7.5,0.7005,0.4,0.35,0.25,0.7057,0.984,True,0.01661,0.484,1.627,0.0055,-0.0307,0.743,1.0,0.0,0.0,30.0,0.1752,0.2298
2025-06-30,164809,7.5,0.7005,0.4,0.35,0.25,0.7093,0.972,True,0.02719,0.387,1.581,0.0161,-0.0461,0.84,1.0,0.0,0.0,30.0,0.2703,0.4231
2025-06-30,161118,7.5,0.7005,0.4,0.35,0.25,0.7114,0.979,True,0.0218,0.194,1.614,0.0035,-0.0423,1.2,1.0,0.0,0.0,30.0,0.2632,0.4086
2025-06-30,000124,7.5,0.7005,0.4,0.35,0.25,0.7016,0.967,True,0.01022,0.387,1.34,0.0226,-0.0353,0.902,1.0,0.0,0.0,30.0,0.1566,-0.1168
2025-06-30,320022,7.5,0.7005,0.4,0.35,0.25,0.7079,0.968,True,0.02737,0.129,1.342,0.0098,-0.0514,1.145,1.0,0.0,0.0,30.0,0.4627,0.3101
2025-06-30,165515,7.5,0.7005,0.4,0.35,0.25,0.7057,0.984,True,0.0171,0.484,1.339,0.0094,-0.0327,0.746,1.0,0.0,0.0,30.0,0.1921,0.2641
2025-06-30,162711,7.5,0.7005,0.4,0.35,0.25,0.7093,0.971,True,0.02713,0.355,1.794,0.0151,-0.0556,0.831,1.0,0.0,0.0,30.0,0.2579,0.3987
2025-06-30,000654,7.5,0.7005,0.4,0.35,0.25,0.71,0.96,True,0.03056,0.29,1.279,0.0302,-0.0253,1.199,1.0,0.0,0.0,30.0,0.3923,0.6655
2025-06-30,200007,7.2,0.7005,0.4,0.35,0.25,0.7112,0.935,True,0.02874,0.097,1.474,0.0131,-0.0248,1.292,1.0,0.0,0.0,30.0,0.1637,0.1136
2025-06-30,470008,7.2,0.7005,0.4,0.35,0.25,0.7057,0.997,True,0.0176,0.0,1.558,0.0159,-0.0357,1.275,1.0,0.0,0.0,30.0,0.2672,0.4795
2025-06-30,000595,6.9,0.7005,0.4,0.35,0.25,0.7052,0.991,True,0.01725,0.161,0.982,-0.0284,-0.0484,1.149,1.0,0.0,19.6,0.0,0.1902,0.4989
2025-06-30,519025,6.4,0.7005,0.4,0.35,0.25,0.7113,0.954,True,0.00947,0.097,1.942,0.0525,-0.0293,1.498,1.0,0.0,0.0,30.0,0.1778,1.051
2025-06-30,000689,6.0,0.7005,0.4,0.35,0.25,0.7099,0.958,True,0.04733,0.065,1.205,0.0015,-0.0786,1.6,1.0,0.0,0.0,30.0,0.2619,0.5901
2025-06-30,519158,4.2,0.7005,0.4,0.35,0.25,0.7119,0.975,True,0.06412,0.226,0.997,-0.0685,0.0055,1.793,1.0,0.0,17.2,0.0,0.4806,1.6778
2025-06-30,000591,2.7,0.7005,0.4,0.35,0.25,0.7109,0.964,True,0.00627,0.161,1.053,-0.0145,-0.029,0.861,1.0,0.0,7.8,0.0,0.2569,0.0349
2025-06-30,720001,1.8,0.7005,0.4,0.35,0.25,0.7168,0.98,True,0.07249,0.29,1.066,-0.3032,-0.2346,1.414,1.0,0.0,5.7,0.0,1.1393,3.344
2025-06-30,162214,0.0,0.7005,0.4,0.35,0.25,0.7118,0.923,True,0.03452,0.29,1.748,-0.0704,-0.041,1.525,1.0,0.0,0.0,0.0,0.4732,2.2562
2025-06-30,630001,0.0,0.7005,0.4,0.35,0.25,0.7134,0.938,True,0.05159,0.065,1.894,-0.029,-0.0478,1.28,1.0,0.0,0.0,0.0,0.3298,1.7955
2025-06-30,040025,0.0,0.7005,0.4,0.35,0.25,0.7154,0.955,True,0.02782,0.484,1.207,-0.0575,-0.0653,1.078,1.0,0.0,0.0,0.0,0.5373,1.4913
2025-06-30,000017,0.0,0.7005,0.4,0.35,0.25,0.7163,0.943,True,0.04874,0.29,1.202,-0.1212,-0.0506,1.247,1.0,0.0,0.0,0.0,0.7393,2.1568
2025-06-30,000404,0.0,0.7005,0.4,0.35,0.25,0.7129,0.947,True,0.04889,0.258,1.463,-0.0483,-0.0616,1.177,1.0,0.0,0.0,0.0,0.7749,1.802
2025-06-30,000823,0.0,0.7005,0.4,0.35,0.25,0.7151,0.94,True,0.05022,0.323,1.429,-0.0694,-0.1187,1.487,1.0,0.0,0.0,0.0,0.6342,1.9922
2025-06-30,310358,0.0,0.7005,0.4,0.35,0.25,0.7126,0.963,True,0.01393,0.226,1.954,-0.0275,-0.0726,1.217,1.0,0.0,0.0,0.0,0.4748,1.7677
2025-06-30,162201,0.0,0.7005,0.4,0.35,0.25,0.7186,0.971,True,0.07081,0.355,1.668,-0.1178,-0.0277,1.554,1.0,0.0,0.0,0.0,0.9098,2.6722
2025-06-30,110029,0.0,0.7005,0.4,0.35,0.25,0.7122,0.957,True,0.06934,0.355,1.928,-0.0191,-0.0234,1.345,1.0,0.0,0.0,0.0,0.9174,1.8429
2025-06-30,000697,0.0,0.7005,0.4,0.35,0.25,0.7145,0.948,True,0.05451,0.258,1.705,-0.0818,-0.0827,1.08,1.0,0.0,0.0,0.0,0.7557,1.9622
2025-06-30,519181,0.0,0.7005,0.4,0.35,0.25,0.7109,0.976,True,0.04375,0.355,1.645,-0.1179,-0.1688,1.068,1.0,0.0,0.0,0.0,0.7099,1.0848
2025-06-30,000742,0.0,0.7005,0.4,0.35,0.25,0.7132,0.938,True,0.03956,0.258,1.326,-0.1277,-0.1892,1.582,1.0,0.0,0.0,0.0,0.4692,1.9042
2025-06-30,240011,0.0,0.7005,0.4,0.35,0.25,0.7114,0.971,True,0.08447,0.323,1.838,-0.064,-0.1047,1.403,1.0,0.0,0.0,0.0,0.9313,1.568
2025-06-30,000698,0.0,0.7005,0.4,0.35,0.25,0.717,0.952,True,0.07501,0.419,1.538,-0.0218,0.0041,1.428,1.0,0.0,0.0,0.0,0.6742,1.4998
2025-06-30,410009,0.0,0.7005,0.4,0.35,0.25,0.7141,0.978,True,0.02576,0.355,1.567,-0.0093,0.0276,1.3,1.0,0.0,0.0,0.0,0.4208,0.8022
2025-06-30,233010,0.0,0.7005,0.4,0.35,0.25,0.7089,0.985,True,0.0198,0.29,1.667,-0.0082,-0.0437,0.936,1.0,0.0,0.0,0.0,0.2772,0.4268
2025-06-30,202002,0.0,0.7005,0.4,0.35,0.25,0.7138,0.976,True,0.00573,0.258,1.581,-0.0173,-0.0168,0.884,1.0,0.0,0.0,0.0,0.3153,0.6809
2025-06-30,160215,0.0,0.7005,0.4,0.35,0.25,0.7131,0.982,True,0.0252,0.194,1.445,-0.0545,-0.005,1.367,1.0,0.0,0.0,0.0,0.4373,1.0944
