date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2025-09-30,000390,60.0,0.8529,0.4,0.35,0.25,0.8554,0.99,True,0.00874,0.742,0.406,0.6802,0.6844,0.823,1.0,0.0,100.0,100.0,0.5357,
2025-09-30,160220,53.6,0.8529,0.4,0.35,0.25,0.851,0.992,True,0.05167,0.516,0.184,0.4239,0.3907,0.47,1.0,0.0,81.6,100.0,0.297,
2025-09-30,240020,49.1,0.8529,0.4,0.35,0.25,0.8429,1.0,False,-0.02034,0.516,0.877,0.4686,0.6332,0.988,1.0,0.0,68.8,100.0,-0.0614,
2025-09-30,000688,46.1,0.8529,0.4,0.35,0.25,0.8555,0.996,True,0.05041,0.806,1.039,0.4767,0.3245,1.054,1.0,0.0,60.2,100.0,0.2962,
2025-09-30,000411,45.4,0.8529,0.4,0.35,0.25,0.8524,0.992,True,0.01872,0.645,1.015,0.6909,0.5606,1.048,1.0,0.0,58.4,100.0,0.395,
2025-09-30,000845,42.2,0.8529,0.4,0.35,0.25,0.8621,0.981,True,0.03215,0.194,0.784,0.4781,0.376,1.216,1.0,0.0,50.0,100.0,0.1835,
2025-09-30,580001,40.5,0.8529,0.4,0.35,0.25,0.8524,0.987,True,0.07636,0.645,1.729,0.7011,0.5945,1.176,1.0,0.0,44.2,100.0,0.0782,
2025-09-30,000066,39.7,0.8529,0.4,0.35,0.25,0.8509,0.994,True,0.04856,0.226,0.569,0.3134,0.3668,1.33,1.0,0.0,50.0,100.0,0.2255,
2025-09-30,000534,39.4,0.8529,0.4,0.35,0.25,0.8601,0.982,True,0.06682,0.613,1.136,0.3019,0.279,1.15,1.0,0.0,41.0,100.0,0.0654,
2025-09-30,217019,39.4,0.8529,0.4,0.35,0.25,0.8494,0.992,True,0.04527,0.613,1.665,0.4999,0.3963,1.05,1.0,0.0,41.0,100.0,0.1066,
2025-09-30,000522,39.4,0.8529,0.4,0.35,0.25,0.8568,0.989,True,0.00039,0.613,1.153,0.5563,0.4825,1.087,1.0,0.0,41.0,100.0,0.2424,
2025-09-30,169101,38.5,0.8529,0.4,0.35,0.25,0.8496,0.996,True,0.01579,0.323,0.708,0.5492,0.5027,1.389,1.0,0.0,50.0,100.0,0.1156,
2025-09-30,000339,37.7,0.8529,0.4,0.35,0.25,0.841,1.0,False,-0.02759,0.355,0.883,0.3604,0.4728,1.134,1.0,0.0,36.2,100.0,-0.0499,
2025-09-30,000698,37.2,0.8529,0.4,0.35,0.25,0.8526,0.987,True,0.01964,0.645,1.499,0.6691,0.6958,1.361,1.0,0.0,44.2,100.0,0.1728,
2025-09-30,202019,37.1,0.8529,0.4,0.35,0.25,0.8473,0.996,True,0.02903,0.548,1.614,0.3144,0.3122,0.952,1.0,0.0,34.7,100.0,0.0768,
2025-09-30,582003,37.1,0.8529,0.4,0.35,0.25,0.8518,0.996,True,0.06947,0.355,0.721,0.7293,0.5201,1.452,1.0,0.0,50.0,100.0,0.172,
2025-09-30,110025,36.1,0.8529,0.4,0.35,0.25,0.8374,1.0,True,0.07917,0.516,1.565,0.2998,0.3372,0.647,1.0,0.0,31.6,100.0,0.3636,
2025-09-30,000714,35.0,0.8529,0.4,0.35,0.25,0.8728,0.978,True,0.13016,0.516,0.361,0.2915,0.25,1.595,1.0,0.0,81.6,60.0,0.1243,
2025-09-30,213003,34.5,0.8529,0.4,0.35,0.25,0.8547,0.983,True,0.0307,0.516,2.086,0.6776,0.7014,1.287,1.0,0.0,31.6,100.0,0.1633,
2025-09-30,000746,34.1,0.8529,0.4,0.35,0.25,0.8312,1.0,True,0.04821,0.677,0.795,0.147,0.189,0.582,1.0,0.0,97.3,0.0,0.1861,
2025-09-30,410009,33.7,0.8529,0.4,0.35,0.25,0.848,0.992,True,0.05946,0.516,1.546,0.363,0.3045,1.329,1.0,0.0,31.6,100.0,0.1914,
2025-09-30,000573,33.0,0.8529,0.4,0.35,0.25,0.8306,1.0,True,0.0152,0.645,0.189,0.1444,0.1824,0.497,1.0,0.0,94.2,0.0,0.0021,
2025-09-30,290012,32.5,0.8529,0.4,0.35,0.25,0.827,1.0,True,-0.00392,0.484,0.717,0.282,0.2093,1.072,1.0,0.0,50.0,60.0,-0.1862,
2025-09-30,020009,32.5,0.8529,0.4,0.35,0.25,0.8328,0.996,True,0.04639,0.774,1.591,0.2292,0.2395,0.724,1.0,0.0,50.0,60.0,0.0667,
2025-09-30,000423,32.5,0.8529,0.4,0.35,0.25,0.8626,0.957,False,-0.02728,0.452,0.512,0.2138,0.2725,0.615,1.0,0.0,50.0,60.0,0.1004,
2025-09-30,000849,31.8,0.8529,0.4,0.35,0.25,0.835,1.0,True,0.06638,0.613,0.697,0.1695,0.1482,1.027,1.0,0.0,91.0,0.0,0.1039,
