date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12
2023-06-30,000196,83.7,0.3193,0.4,0.35,0.25,0.3182,0.941,True,0.00364,0.613,0.132,-0.0135,0.0105,0.209,1.0,67.2,91.0,100.0,-0.0681,-0.0179
2023-06-30,000390,83.6,0.3193,0.4,0.35,0.25,0.4019,0.947,False,0.00266,1.0,0.305,-0.0187,0.0925,0.989,1.0,59.1,100.0,100.0,-0.0819,-0.058
2023-06-30,000423,81.2,0.3193,0.4,0.35,0.25,0.3252,0.954,False,-0.00217,0.548,0.625,-0.0312,0.0076,0.794,1.0,66.5,84.7,100.0,-0.0359,-0.0558
2023-06-30,000259,81.1,0.3193,0.4,0.35,0.25,0.4664,0.938,True,-0.00364,0.806,0.744,-0.0307,0.0201,0.757,1.0,52.8,100.0,100.0,-0.1072,-0.1888
2023-06-30,000743,77.7,0.3193,0.4,0.35,0.25,0.5546,0.997,True,0.01038,0.806,0.322,-0.0028,0.0124,0.187,1.0,44.2,100.0,100.0,-0.0506,-0.0049
2023-06-30,000573,75.6,0.3193,0.4,0.35,0.25,0.3517,0.947,True,0.00698,0.71,0.129,-0.0565,0.0547,0.365,1.0,64.0,100.0,60.0,-0.0153,0.0408
2023-06-30,290012,75.0,0.3193,0.4,0.35,0.25,0.5138,0.998,False,-0.05386,0.581,0.706,0.3346,0.516,1.114,1.0,48.2,87.9,100.0,0.0073,-0.1906
2023-06-30,202213,74.2,0.3193,0.4,0.35,0.25,0.387,0.946,True,0.00352,0.839,0.349,-0.0407,0.0055,0.529,1.0,60.5,100.0,60.0,-0.056,-0.0475
2023-06-30,000714,73.4,0.3193,0.4,0.35,0.25,0.4995,0.972,False,-0.05113,0.516,0.159,0.0006,0.016,0.554,1.0,49.5,81.6,100.0,-0.3039,-0.235
2023-06-30,160220,71.0,0.3193,0.4,0.35,0.25,0.3611,0.942,True,0.00182,0.581,0.175,-0.0083,0.0032,0.139,1.0,63.0,87.9,60.0,-0.0219,-0.0149
2023-06-30,519130,70.2,0.3193,0.4,0.35,0.25,0.6379,1.0,True,-0.01369,0.581,-0.007,0.0579,0.1099,0.478,1.0,36.1,87.9,100.0,-0.2844,-0.2434
2023-06-30,519671,68.9,0.3193,0.4,0.35,0.25,0.3313,0.956,False,-0.00506,0.71,1.643,-0.0008,0.0656,0.821,1.0,66.0,50.0,100.0,-0.0531,0.0839
2023-06-30,519033,67.6,0.3193,0.4,0.35,0.25,0.3648,0.932,True,0.01401,0.774,1.66,-0.0271,0.0144,0.792,1.0,62.7,50.0,100.0,-0.0852,-0.0477
2023-06-30,310398,66.8,0.3193,0.4,0.35,0.25,0.3335,0.957,False,-0.00534,0.645,1.615,0.0038,0.062,0.773,1.0,65.7,44.2,100.0,-0.0596,0.0694
2023-06-30,160716,66.8,0.3193,0.4,0.35,0.25,0.3324,0.958,False,-0.00653,0.645,1.598,0.0252,0.0944,0.646,1.0,65.8,44.2,100.0,-0.0696,0.0505
