code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
1210071,1210071,1210071,国投瑞银瑞福分级封闭-瑞福优先,股票型,清盘,2007-07-17,2012-07-16,2012-07-16,2007-07-17,tushare_fund_basic,1210071.OF,2011-11-30
1210991,1210991,1210991,国投瑞银瑞福分级封闭,股票型,清盘,2007-07-17,2012-07-16,2012-07-16,2007-07-17,tushare_fund_basic,1210991.OF,2011-11-30
1500011,1500011,1500011,国投瑞银瑞福分级封闭-瑞福进取,股票型,清盘,2007-07-17,2012-07-17,2012-07-17,2007-07-17,tushare_fund_basic,1500011.SZ,2011-11-30
150002,150002,150002,大成优选封闭,股票型,清盘,2007-08-01,2012-07-27,2012-07-27,2007-08-01,tushare_fund_basic,150002.SZ,2011-11-30
150003,150003,150003,建信优势动力股票,股票型,清盘,2008-03-19,2013-03-18,2013-03-18,2008-03-19,tushare_fund_basic,150003.SZ,2011-11-30
150006,150006,150006,长盛同庆可分离交易股票-A,股票型,清盘,2009-05-12,2012-05-14,2012-05-14,2009-05-12,tushare_fund_basic,150006.SZ,2011-11-30
150007,150007,150007,长盛同庆可分离交易股票-B,股票型,清盘,2009-05-12,2012-05-14,2012-05-14,2009-05-12,tushare_fund_basic,150007.SZ,2011-11-30
150008,150008,150008,国投瑞银瑞和沪深300指数分级-小康,指数型-股票,清盘,2009-10-14,2020-09-03,2020-09-03,2009-10-14,tushare_fund_basic,150008.SZ,2011-11-30
150009,150009,150009,国投瑞银瑞和沪深300指数分级-远见,指数型-股票,清盘,2009-10-14,2020-09-03,2020-09-03,2009-10-14,tushare_fund_basic,150009.SZ,2011-11-30
150012,150012,150012,国联安双禧中证100指数分级-A,指数型-股票,清盘,2010-04-16,2020-12-02,2020-12-02,2010-04-16,tushare_fund_basic,150012.SZ,2011-11-30
150013,150013,150013,国联安双禧中证100指数分级-B,指数型-股票,清盘,2010-04-16,2020-12-02,2020-12-02,2010-04-16,tushare_fund_basic,150013.SZ,2011-11-30
150018,150018,150018,银华深证100指数分级-稳健,指数型-股票,清盘,2010-05-07,2021-01-04,2021-01-04,2010-05-07,tushare_fund_basic,150018.SZ,2011-11-30
150019,150019,150019,银华深证100指数分级-积极,指数型-股票,清盘,2010-05-07,2021-01-04,2021-01-04,2010-05-07,tushare_fund_basic,150019.SZ,2011-11-30
150022,150022,150022,申万菱信深证成指分级-收益,指数型-股票,清盘,2010-10-22,2021-01-04,2021-01-04,2010-10-22,tushare_fund_basic,150022.SZ,2011-11-30
150023,150023,150023,申万菱信深证成指分级-进取,指数型-股票,清盘,2010-10-22,2021-01-04,2021-01-04,2010-10-22,tushare_fund_basic,150023.SZ,2011-11-30
150028,150028,150028,信诚中证500指数分级-A,指数型-股票,清盘,2011-02-11,2021-01-04,2021-01-04,2011-02-11,tushare_fund_basic,150028.SZ,2011-11-30
150029,150029,150029,信诚中证500指数分级-B,指数型-股票,清盘,2011-02-11,2021-01-04,2021-01-04,2011-02-11,tushare_fund_basic,150029.SZ,2011-11-30
150030,150030,150030,银华中证等权重90指数分级-金利,指数型-股票,清盘,2011-03-17,2020-11-25,2020-11-25,2011-03-17,tushare_fund_basic,150030.SZ,2011-11-30
150031,150031,150031,银华中证等权重90指数分级-鑫利,指数型-股票,清盘,2011-03-17,2020-11-25,2020-11-25,2011-03-17,tushare_fund_basic,150031.SZ,2011-11-30
150036,150036,150036,建信双利策略主题分级股票-稳健,股票型,清盘,2011-05-06,2020-05-06,2020-05-06,2011-05-06,tushare_fund_basic,150036.SZ,2011-11-30
150037,150037,150037,建信双利策略主题分级股票-进取,股票型,清盘,2011-05-06,2020-05-06,2020-05-06,2011-05-06,tushare_fund_basic,150037.SZ,2011-11-30
159901,159901,159901,易方达深证100ETF,指数型-股票,存续,2006-03-24,,,2006-03-24,tushare_fund_basic,159901.SZ,2011-11-30
159902,159902,159902,华夏中小企业100ETF,指数型-股票,存续,2006-06-08,,,2006-06-08,tushare_fund_basic,159902.SZ,2011-11-30
159903,159903,159903,南方深证成份ETF,指数型-股票,存续,2009-12-04,,,2009-12-04,tushare_fund_basic,159903.SZ,2011-11-30
159905,159905,159905,工银瑞信深证红利ETF,指数型-股票,存续,2010-11-05,,,2010-11-05,tushare_fund_basic,159905.SZ,2011-11-30
159906,159906,159906,大成深证成长40ETF,指数型-股票,存续,2010-12-21,,,2010-12-21,tushare_fund_basic,159906.SZ,2011-11-30
