code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
000049,000049,000049,中银标普全球精选自然资源等权重指数(QDII)-A,指数型-海外股票,清盘,2013-03-19,2023-01-17,2023-01-17,2013-03-19,tushare_fund_basic,000049.OF,2016-01-31
000060,000060,000060,国联安中证股债动态策略指数,股票型,清盘,2013-06-26,2017-03-28,2017-03-28,2013-06-26,tushare_fund_basic,000060.OF,2016-01-31
000178,000178,000178,博时灵活配置混合-A,混合型-灵活,清盘,2013-11-08,2018-01-22,2018-01-22,2013-11-08,tushare_fund_basic,000178.OF,2016-01-31
000193,000193,000193,国泰美国房地产开发股票(QDII),股票型,清盘,2013-08-07,2017-12-19,2017-12-19,2013-08-07,tushare_fund_basic,000193.OF,2016-01-31
000278,000278,000278,融通通泽灵活配置混合,混合型-灵活,清盘,2013-08-30,2017-11-17,2017-11-17,2013-08-30,tushare_fund_basic,000278.OF,2016-01-31
000391,000391,000391,招商标普高收益红利贵族指数增强(QDII)-CNY,指数型-海外股票,清盘,2013-12-11,2016-08-01,2016-08-01,2013-12-11,tushare_fund_basic,000391.OF,2016-01-31
000392,000392,000392,招商标普高收益红利贵族指数增强(QDII)-USD,指数型-海外股票,清盘,2013-12-11,2016-08-01,2016-08-01,2013-12-11,tushare_fund_basic,000392.OF,2016-01-31
000393,000393,000393,招商标普高收益红利贵族指数增强(QDII)-HKD,指数型-海外股票,清盘,2013-12-11,2016-08-01,2016-08-01,2013-12-11,tushare_fund_basic,000393.OF,2016-01-31
000417,000417,000417,国联安新精选灵活配置混合-A,混合型-灵活,清盘,2014-03-04,2026-08-10,2026-08-10,2014-03-04,tushare_fund_basic,000417.OF,2016-01-31
000664,000664,000664,国联安通盈灵活配置混合-A,混合型-灵活,清盘,2014-06-13,2026-04-13,2026-04-13,2014-06-13,tushare_fund_basic,000664.OF,2016-01-31
000708,000708,000708,华安安享灵活配置混合-A,混合型-灵活,清盘,2015-01-23,2022-09-01,2022-09-01,2015-01-23,tushare_fund_basic,000708.OF,2016-01-31
000885,000885,000885,广发标普全球农业指数(QDII)-USD-现汇,指数型-海外股票,清盘,2015-01-16,2019-11-08,2019-11-08,2015-01-16,tushare_fund_basic,000885.OF,2016-01-31
