code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
020025,020025,020025,国泰中小板300成长ETF联接,指数型-股票,清盘,2012-03-15,2015-07-29,2015-07-29,2012-03-15,tushare_fund_basic,020025.OF,2012-10-31
0900201,0900201,0900201,大成中证500沪市ETF联接,股票型,清盘,2012-08-28,2014-01-23,2014-01-23,2012-08-28,tushare_fund_basic,0900201.OF,2012-10-31
121007,121007,121007,国投瑞银瑞福深证100指数分级-优先,指数型-股票,清盘,2012-07-17,2015-08-13,2015-08-13,2012-07-17,tushare_fund_basic,121007.OF,2012-10-31
121099,121099,121099,国投瑞银瑞福深证100指数分级,指数型-股票,清盘,2012-07-17,2015-08-13,2015-08-13,2012-07-17,tushare_fund_basic,121099.OF,2012-10-31
150001,150001,150001,国投瑞银瑞福深证100指数分级-进取,指数型-股票,清盘,2012-07-17,2015-08-14,2015-08-14,2012-07-17,tushare_fund_basic,150001.SZ,2012-10-31
150003,150003,150003,建信优势动力股票,股票型,清盘,2008-03-19,2013-03-18,2013-03-18,2008-03-19,tushare_fund_basic,150003.SZ,2012-10-31
150008,150008,150008,国投瑞银瑞和沪深300指数分级-小康,指数型-股票,清盘,2009-10-14,2020-09-03,2020-09-03,2009-10-14,tushare_fund_basic,150008.SZ,2012-10-31
150009,150009,150009,国投瑞银瑞和沪深300指数分级-远见,指数型-股票,清盘,2009-10-14,2020-09-03,2020-09-03,2009-10-14,tushare_fund_basic,150009.SZ,2012-10-31
150012,150012,150012,国联安双禧中证100指数分级-A,指数型-股票,清盘,2010-04-16,2020-12-02,2020-12-02,2010-04-16,tushare_fund_basic,150012.SZ,2012-10-31
150013,150013,150013,国联安双禧中证100指数分级-B,指数型-股票,清盘,2010-04-16,2020-12-02,2020-12-02,2010-04-16,tushare_fund_basic,150013.SZ,2012-10-31
150018,150018,150018,银华深证100指数分级-稳健,指数型-股票,清盘,2010-05-07,2021-01-04,2021-01-04,2010-05-07,tushare_fund_basic,150018.SZ,2012-10-31
150019,150019,150019,银华深证100指数分级-积极,指数型-股票,清盘,2010-05-07,2021-01-04,2021-01-04,2010-05-07,tushare_fund_basic,150019.SZ,2012-10-31
150022,150022,150022,申万菱信深证成指分级-收益,指数型-股票,清盘,2010-10-22,2021-01-04,2021-01-04,2010-10-22,tushare_fund_basic,150022.SZ,2012-10-31
150023,150023,150023,申万菱信深证成指分级-进取,指数型-股票,清盘,2010-10-22,2021-01-04,2021-01-04,2010-10-22,tushare_fund_basic,150023.SZ,2012-10-31
150028,150028,150028,信诚中证500指数分级-A,指数型-股票,清盘,2011-02-11,2021-01-04,2021-01-04,2011-02-11,tushare_fund_basic,150028.SZ,2012-10-31
150029,150029,150029,信诚中证500指数分级-B,指数型-股票,清盘,2011-02-11,2021-01-04,2021-01-04,2011-02-11,tushare_fund_basic,150029.SZ,2012-10-31
150030,150030,150030,银华中证等权重90指数分级-金利,指数型-股票,清盘,2011-03-17,2020-11-25,2020-11-25,2011-03-17,tushare_fund_basic,150030.SZ,2012-10-31
150031,150031,150031,银华中证等权重90指数分级-鑫利,指数型-股票,清盘,2011-03-17,2020-11-25,2020-11-25,2011-03-17,tushare_fund_basic,150031.SZ,2012-10-31
150036,150036,150036,建信双利策略主题分级股票-稳健,股票型,清盘,2011-05-06,2020-05-06,2020-05-06,2011-05-06,tushare_fund_basic,150036.SZ,2012-10-31
150037,150037,150037,建信双利策略主题分级股票-进取,股票型,清盘,2011-05-06,2020-05-06,2020-05-06,2011-05-06,tushare_fund_basic,150037.SZ,2012-10-31
150049,150049,150049,南方新兴消费增长分级股票-收益,股票型,清盘,2012-03-13,2020-11-16,2020-11-16,2012-03-13,tushare_fund_basic,150049.SZ,2012-10-31
150050,150050,150050,南方新兴消费增长分级股票-进取,股票型,清盘,2012-03-13,2020-11-16,2020-11-16,2012-03-13,tushare_fund_basic,150050.SZ,2012-10-31
150051,150051,150051,信诚沪深300指数分级-A,指数型-股票,清盘,2012-02-01,2021-01-04,2021-01-04,2012-02-01,tushare_fund_basic,150051.SZ,2012-10-31
150052,150052,150052,信诚沪深300指数分级-B,指数型-股票,清盘,2012-02-01,2021-01-04,2021-01-04,2012-02-01,tushare_fund_basic,150052.SZ,2012-10-31
150053,150053,150053,泰达宏利中证500指数分级-稳健,指数型-股票,清盘,2011-12-01,2019-11-04,2019-11-04,2011-12-01,tushare_fund_basic,150053.SZ,2012-10-31
150054,150054,150054,泰达宏利中证500指数分级-进取,指数型-股票,清盘,2011-12-01,2019-11-04,2019-11-04,2011-12-01,tushare_fund_basic,150054.SZ,2012-10-31
150055,150055,150055,工银瑞信睿智中证500指数分级-A,指数型-股票,清盘,2012-01-31,2020-02-17,2020-02-17,2012-01-31,tushare_fund_basic,150055.SZ,2012-10-31
150056,150056,150056,工银瑞信睿智中证500指数分级-B,指数型-股票,清盘,2012-01-31,2020-02-17,2020-02-17,2012-01-31,tushare_fund_basic,150056.SZ,2012-10-31
150057,150057,150057,长城久兆中小板300指数分级-久兆稳健,指数型-股票,清盘,2012-01-30,2018-08-06,2018-08-06,2012-01-30,tushare_fund_basic,150057.SZ,2012-10-31
150058,150058,150058,长城久兆中小板300指数分级-久兆积极,指数型-股票,清盘,2012-01-30,2018-08-06,2018-08-06,2012-01-30,tushare_fund_basic,150058.SZ,2012-10-31
150059,150059,150059,银华中证内地资源主题指数分级-A,指数型-股票,清盘,2011-12-08,2020-09-30,2020-09-30,2011-12-08,tushare_fund_basic,150059.SZ,2012-10-31
150060,150060,150060,银华中证内地资源主题指数分级-B,指数型-股票,清盘,2011-12-08,2020-09-30,2020-09-30,2011-12-08,tushare_fund_basic,150060.SZ,2012-10-31
