code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
159750,159750,159750,招商中证香港科技ETF(QDII),指数型-海外股票,存续,2022-01-26,,,2022-01-26,tushare_fund_basic,159750.SZ,2024-03-31
159751,159751,159751,鹏华中证港股通科技ETF,指数型-海外股票,存续,2021-12-10,,,2021-12-10,tushare_fund_basic,159751.SZ,2024-03-31
159752,159752,159752,申万菱信中证内地新能源主题ETF,指数型-股票,存续,2021-07-20,,,2021-07-20,tushare_fund_basic,159752.SZ,2024-03-31
159755,159755,159755,广发国证新能源车电池ETF,指数型-股票,存续,2021-06-15,,,2021-06-15,tushare_fund_basic,159755.SZ,2024-03-31
159756,159756,159756,中银证券国证新能源车电池ETF,指数型-股票,发行,2021-11-12,,,2021-11-12,tushare_fund_basic,159756.OF,2024-03-31
159757,159757,159757,景顺长城国证新能源车电池ETF,指数型-股票,存续,2021-07-21,,,2021-07-21,tushare_fund_basic,159757.SZ,2024-03-31
159758,159758,159758,华夏中证红利质量ETF,指数型-股票,存续,2021-12-20,,,2021-12-20,tushare_fund_basic,159758.SZ,2024-03-31
159760,159760,159760,泰康国证公共卫生与医疗健康ETF,指数型-股票,存续,2021-12-06,,,2021-12-06,tushare_fund_basic,159760.SZ,2024-03-31
159761,159761,159761,国泰中证新材料主题ETF,指数型-股票,存续,2021-11-24,,,2021-11-24,tushare_fund_basic,159761.SZ,2024-03-31
159763,159763,159763,建信中证新材料主题ETF,指数型-股票,存续,2021-08-19,,,2021-08-19,tushare_fund_basic,159763.SZ,2024-03-31
159766,159766,159766,富国中证旅游主题ETF,指数型-股票,存续,2021-07-15,,,2021-07-15,tushare_fund_basic,159766.SZ,2024-03-31
159767,159767,159767,兴银国证新能源车电池ETF,指数型-股票,存续,2021-08-06,,,2021-08-06,tushare_fund_basic,159767.SZ,2024-03-31
159768,159768,159768,银华中证内地地产主题ETF,指数型-股票,存续,2022-01-27,,,2022-01-27,tushare_fund_basic,159768.SZ,2024-03-31
159769,159769,159769,银华中证消费电子主题ETF,指数型-股票,清盘,2022-02-18,2024-07-10,2024-07-10,2022-02-18,tushare_fund_basic,159769.SZ,2024-03-31
159770,159770,159770,天弘中证机器人ETF,指数型-股票,存续,2021-10-26,,,2021-10-26,tushare_fund_basic,159770.SZ,2024-03-31
159773,159773,159773,华泰柏瑞创业板科技ETF,指数型-股票,存续,2021-09-23,,,2021-09-23,tushare_fund_basic,159773.SZ,2024-03-31
159775,159775,159775,建信国证新能源车电池ETF,指数型-股票,存续,2022-01-07,,,2022-01-07,tushare_fund_basic,159775.SZ,2024-03-31
159776,159776,159776,银华中证港股通医药卫生综合ETF,指数型-海外股票,存续,2022-03-07,,,2022-03-07,tushare_fund_basic,159776.SZ,2024-03-31
159777,159777,159777,国联安创业板科技ETF,指数型-股票,存续,2021-09-27,,,2021-09-27,tushare_fund_basic,159777.SZ,2024-03-31
159778,159778,159778,鹏华中证工业互联网主题ETF,指数型-股票,存续,2022-01-25,,,2022-01-25,tushare_fund_basic,159778.SZ,2024-03-31
159779,159779,159779,招商中证消费电子主题ETF,指数型-股票,存续,2021-11-18,,,2021-11-18,tushare_fund_basic,159779.SZ,2024-03-31
159780,159780,159780,南方中证科创创业50ETF,指数型-股票,存续,2021-06-24,,,2021-06-24,tushare_fund_basic,159780.SZ,2024-03-31
159781,159781,159781,易方达中证科创创业50ETF,指数型-股票,存续,2021-06-28,,,2021-06-28,tushare_fund_basic,159781.SZ,2024-03-31
159782,159782,159782,银华中证科创创业50ETF,指数型-股票,存续,2021-06-29,,,2021-06-29,tushare_fund_basic,159782.SZ,2024-03-31
159783,159783,159783,华夏中证科创创业50ETF,指数型-股票,存续,2021-06-24,,,2021-06-24,tushare_fund_basic,159783.SZ,2024-03-31
159786,159786,159786,银华中证虚拟现实主题ETF,指数型-股票,存续,2021-07-29,,,2021-07-29,tushare_fund_basic,159786.SZ,2024-03-31
159787,159787,159787,易方达中证全指建筑材料ETF,指数型-股票,存续,2022-03-04,,,2022-03-04,tushare_fund_basic,159787.SZ,2024-03-31
159788,159788,159788,易方达中证港股通中国100ETF,指数型-海外股票,存续,2022-02-22,,,2022-02-22,tushare_fund_basic,159788.SZ,2024-03-31
159790,159790,159790,华夏中证内地低碳经济主题ETF,指数型-股票,存续,2021-07-30,,,2021-07-30,tushare_fund_basic,159790.SZ,2024-03-31
159791,159791,159791,华夏沪深300ESG基准ETF,指数型-股票,存续,2022-02-24,,,2022-02-24,tushare_fund_basic,159791.SZ,2024-03-31
159792,159792,159792,富国中证港股通互联网ETF,指数型-海外股票,存续,2021-09-15,,,2021-09-15,tushare_fund_basic,159792.SZ,2024-03-31
159793,159793,159793,平安中证沪港深线上消费主题ETF,指数型-股票,存续,2021-11-09,,,2021-11-09,tushare_fund_basic,159793.SZ,2024-03-31
159795,159795,159795,汇添富中证智能汽车主题ETF,指数型-股票,存续,2022-01-27,,,2022-01-27,tushare_fund_basic,159795.SZ,2024-03-31
159796,159796,159796,汇添富中证电池主题ETF,指数型-股票,存续,2022-03-03,,,2022-03-03,tushare_fund_basic,159796.SZ,2024-03-31
159797,159797,159797,汇添富中证全指医疗器械ETF,指数型-股票,存续,2022-04-28,,,2022-04-28,tushare_fund_basic,159797.SZ,2024-03-31
159798,159798,159798,易方达中证消费50ETF,指数型-股票,存续,2022-04-28,,,2022-04-28,tushare_fund_basic,159798.SZ,2024-03-31
159799,159799,159799,平安中证港股通消费主题ETF,指数型-海外股票,发行,2021-11-18,,,2021-11-18,tushare_fund_basic,159799.OF,2024-03-31
159801,159801,159801,广发国证半导体芯片ETF,指数型-股票,存续,2020-01-20,,,2020-01-20,tushare_fund_basic,159801.SZ,2024-03-31
159804,159804,159804,国寿安保国证创业板中盘精选88ETF,指数型-股票,存续,2020-03-04,,,2020-03-04,tushare_fund_basic,159804.SZ,2024-03-31
159805,159805,159805,鹏华中证传媒ETF,指数型-股票,存续,2020-03-06,,,2020-03-06,tushare_fund_basic,159805.SZ,2024-03-31
159806,159806,159806,国泰中证新能源汽车ETF,指数型-股票,存续,2020-03-10,,,2020-03-10,tushare_fund_basic,159806.SZ,2024-03-31
159807,159807,159807,易方达中证科技50ETF,指数型-股票,存续,2020-03-16,,,2020-03-16,tushare_fund_basic,159807.SZ,2024-03-31
159808,159808,159808,融通创业板ETF,指数型-股票,存续,2020-08-05,,,2020-08-05,tushare_fund_basic,159808.SZ,2024-03-31
159810,159810,159810,浦银创业板ETF,指数型-股票,存续,2020-06-12,,,2020-06-12,tushare_fund_basic,159810.SZ,2024-03-31
159811,159811,159811,博时中证5G产业50ETF,指数型-股票,存续,2020-03-27,,,2020-03-27,tushare_fund_basic,159811.SZ,2024-03-31
