code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
1210071,1210071,1210071,国投瑞银瑞福分级封闭-瑞福优先,股票型,清盘,2007-07-17,2012-07-16,2012-07-16,2007-07-17,tushare_fund_basic,1210071.OF,2008-04-30
1210991,1210991,1210991,国投瑞银瑞福分级封闭,股票型,清盘,2007-07-17,2012-07-16,2012-07-16,2007-07-17,tushare_fund_basic,1210991.OF,2008-04-30
1500011,1500011,1500011,国投瑞银瑞福分级封闭-瑞福进取,股票型,清盘,2007-07-17,2012-07-17,2012-07-17,2007-07-17,tushare_fund_basic,1500011.SZ,2008-04-30
150002,150002,150002,大成优选封闭,股票型,清盘,2007-08-01,2012-07-27,2012-07-27,2007-08-01,tushare_fund_basic,150002.SZ,2008-04-30
150003,150003,150003,建信优势动力股票,股票型,清盘,2008-03-19,2013-03-18,2013-03-18,2008-03-19,tushare_fund_basic,150003.SZ,2008-04-30
159901,159901,159901,易方达深证100ETF,指数型-股票,存续,2006-03-24,,,2006-03-24,tushare_fund_basic,159901.SZ,2008-04-30
159902,159902,159902,华夏中小企业100ETF,指数型-股票,存续,2006-06-08,,,2006-06-08,tushare_fund_basic,159902.SZ,2008-04-30
160706,160706,160706,嘉实沪深300ETF联接(LOF)-A,指数型-股票,存续,2005-08-29,,,2005-08-29,tushare_fund_basic,160706.SZ,2008-04-30
161607,161607,161607,融通巨潮100指数(LOF)-A/B,指数型-股票,存续,2005-05-12,,,2005-05-12,tushare_fund_basic,161607.SZ,2008-04-30
163402,163402,163402,兴全趋势投资混合(LOF),混合型-灵活,存续,2005-11-03,,,2005-11-03,tushare_fund_basic,163402.SZ,2008-04-30
184688,184688,184688,南方开元封闭,股票型,清盘,1998-03-27,2013-02-08,2013-02-08,1998-03-27,tushare_fund_basic,184688.SZ,2008-04-30
184689,184689,184689,鹏华普惠封闭,股票型,清盘,1999-01-06,2013-12-23,2013-12-23,1999-01-06,tushare_fund_basic,184689.SZ,2008-04-30
184690,184690,184690,长盛同益,股票型,清盘,1999-04-08,2014-04-04,2014-04-04,1999-04-08,tushare_fund_basic,184690.SZ,2008-04-30
184691,184691,184691,大成景宏封闭,股票型,清盘,1999-05-04,2014-04-10,2014-04-10,1999-05-04,tushare_fund_basic,184691.SZ,2008-04-30
184692,184692,184692,博时裕隆封闭,股票型,清盘,1999-06-15,2014-06-03,2014-06-03,1999-06-15,tushare_fund_basic,184692.SZ,2008-04-30
184693,184693,184693,鹏华普丰封闭,指数型-海外股票,清盘,1999-07-14,2014-06-10,2014-06-10,1999-07-14,tushare_fund_basic,184693.SZ,2008-04-30
184698,184698,184698,南方天元封闭,股票型,清盘,1999-08-25,2014-07-03,2014-07-03,1999-08-25,tushare_fund_basic,184698.SZ,2008-04-30
184699,184699,184699,长盛同盛,股票型,清盘,1999-11-05,2014-11-05,2014-11-05,1999-11-05,tushare_fund_basic,184699.SZ,2008-04-30
184701,184701,184701,大成景福封闭,指数型-股票,清盘,1999-12-30,2014-12-26,2014-12-26,1999-12-30,tushare_fund_basic,184701.SZ,2008-04-30
184703,184703,184703,国泰金盛封闭,股票型,清盘,2000-04-26,2009-10-19,2009-10-19,2000-04-26,tushare_fund_basic,184703.SZ,2008-04-30
184705,184705,184705,博时裕泽封闭,股票型,清盘,2000-03-27,2011-04-22,2011-04-22,2000-03-27,tushare_fund_basic,184705.SZ,2008-04-30
184706,184706,184706,银华天华,股票型,清盘,2000-07-21,2009-07-01,2009-07-01,2000-07-21,tushare_fund_basic,184706.SZ,2008-04-30
