code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
000049,000049,000049,中银标普全球精选自然资源等权重指数(QDII)-A,指数型-海外股票,清盘,2013-03-19,2023-01-17,2023-01-17,2013-03-19,tushare_fund_basic,000049.OF,2020-03-31
000417,000417,000417,国联安新精选灵活配置混合-A,混合型-灵活,清盘,2014-03-04,2026-08-10,2026-08-10,2014-03-04,tushare_fund_basic,000417.OF,2020-03-31
000664,000664,000664,国联安通盈灵活配置混合-A,混合型-灵活,清盘,2014-06-13,2026-04-13,2026-04-13,2014-06-13,tushare_fund_basic,000664.OF,2020-03-31
000708,000708,000708,华安安享灵活配置混合-A,混合型-灵活,清盘,2015-01-23,2022-09-01,2022-09-01,2015-01-23,tushare_fund_basic,000708.OF,2020-03-31
000953,000953,000953,国泰睿吉灵活配置混合-A,混合型-灵活,清盘,2015-04-22,2023-11-29,2023-11-29,2015-04-22,tushare_fund_basic,000953.OF,2020-03-31
000972,000972,000972,新华万银多元策略灵活配置混合,混合型-灵活,清盘,2015-04-10,2023-07-18,2023-07-18,2015-04-10,tushare_fund_basic,000972.OF,2020-03-31
001014,001014,001014,中融融安灵活配置混合,混合型-灵活,清盘,2017-02-17,2021-08-17,2021-08-17,2017-02-17,tushare_fund_basic,001014.OF,2020-03-31
001141,001141,001141,泰达宏利创盈灵活配置混合-A,混合型-灵活,清盘,2015-03-30,2022-12-08,2022-12-08,2015-03-30,tushare_fund_basic,001141.OF,2020-03-31
001142,001142,001142,泰达宏利创盈灵活配置混合-B,混合型-灵活,清盘,2015-03-30,2022-12-08,2022-12-08,2015-03-30,tushare_fund_basic,001142.OF,2020-03-31
001185,001185,001185,安信动态策略灵活配置混合-A,混合型-灵活,清盘,2015-04-15,2023-04-12,2023-04-12,2015-04-15,tushare_fund_basic,001185.OF,2020-03-31
001196,001196,001196,东方鼎新灵活配置混合-A,混合型-灵活,清盘,2015-04-21,2024-12-19,2024-12-19,2015-04-21,tushare_fund_basic,001196.OF,2020-03-31
