code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
110002,0.9095,0.4,0.35,0.25,0.9099,0.748,True,0.774,0.553,0.4633,0.8881,0.581,1.0
161601,0.9095,0.4,0.35,0.25,0.9094,0.761,True,0.742,0.829,0.4425,0.7488,0.93,1.0
020001,0.9095,0.4,0.35,0.25,0.9095,0.76,True,0.71,0.909,0.3271,0.6094,0.679,1.0
162201,0.9095,0.4,0.35,0.25,0.91,0.724,True,0.774,0.637,0.3136,0.4832,0.495,1.0
162202,0.9095,0.4,0.35,0.25,0.91,0.753,True,0.742,0.84,0.194,0.4737,0.694,1.0
161604,0.9095,0.4,0.35,0.25,0.9103,0.741,True,0.452,1.199,0.4724,0.8645,1.211,1.0
