code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
163801,0.1873,0.55,0.35,0.1,0.2095,0.937,True,0.677,0.501,-0.0359,0.0034,0.697,1.0
162201,0.1873,0.55,0.35,0.1,0.2106,0.942,True,0.677,0.517,-0.0663,-0.012,0.673,1.0
162202,0.1873,0.55,0.35,0.1,0.2112,0.929,True,0.613,0.667,-0.0539,0.0001,0.756,1.0
020001,0.1873,0.55,0.35,0.1,0.2021,0.93,True,0.645,0.757,-0.0873,-0.0346,0.851,1.0
350002,0.1873,0.55,0.35,0.1,0.2053,0.943,True,0.581,0.64,-0.0529,-0.0085,0.817,1.0
110005,0.1873,0.55,0.35,0.1,0.2053,0.934,True,0.581,0.614,-0.0739,-0.0377,0.79,1.0
288001,0.1873,0.55,0.35,0.1,0.2002,0.946,True,0.548,0.554,-0.0158,-0.0018,0.717,1.0
375010,0.1873,0.55,0.35,0.1,0.1969,0.96,True,0.516,0.693,-0.0227,-0.0346,0.932,1.0
519087,0.1873,0.55,0.35,0.1,0.1965,0.963,True,0.581,0.705,-0.0787,-0.073,0.942,1.0
163803,0.1873,0.55,0.35,0.1,0.2027,0.95,True,0.548,0.682,-0.0756,-0.0535,0.792,1.0
519013,0.1873,0.55,0.35,0.1,0.2056,0.943,True,0.548,0.767,-0.1043,-0.0524,0.926,1.0
020009,0.1873,0.55,0.35,0.1,0.1976,0.945,True,0.516,0.721,-0.0901,-0.0654,0.903,1.0
240008,0.1873,0.55,0.35,0.1,0.1983,0.95,True,0.548,0.764,-0.1093,-0.0883,0.903,1.0
240009,0.1873,0.55,0.35,0.1,0.1958,0.954,True,0.516,0.756,-0.1074,-0.1104,0.864,1.0
161903,0.1873,0.55,0.35,0.1,0.1988,0.954,True,0.516,0.744,-0.1593,-0.1332,0.818,1.0
161604,0.1873,0.55,0.35,0.1,0.1993,0.948,True,0.548,0.994,-0.1169,-0.1005,0.987,1.0
160706,0.1873,0.55,0.35,0.1,0.1959,0.953,True,0.194,0.953,-0.1282,-0.1237,1.011,1.0
580002,0.1873,0.55,0.35,0.1,0.2118,0.951,True,0.484,0.548,0.0043,0.0543,0.762,0.6
580001,0.1873,0.55,0.35,0.1,0.2061,0.942,True,0.452,0.637,-0.0515,0.0107,0.815,0.6
519068,0.1873,0.55,0.35,0.1,0.208,0.945,True,0.452,0.655,-0.065,-0.0089,0.84,0.6
200007,0.1873,0.55,0.35,0.1,0.2093,0.942,True,0.419,0.687,-0.0382,-0.0287,0.94,0.6
161601,0.1873,0.55,0.35,0.1,0.2031,0.947,True,0.419,0.648,-0.0738,-0.0536,0.75,0.6
519181,0.1873,0.55,0.35,0.1,0.2062,0.953,True,0.355,0.763,-0.0649,-0.0507,0.926,0.6
610001,0.1873,0.55,0.35,0.1,0.2025,0.946,True,0.419,0.789,-0.0768,-0.0532,0.918,0.6
040007,0.1873,0.55,0.35,0.1,0.203,0.948,True,0.484,0.778,-0.102,-0.0813,0.942,0.6
240004,0.1873,0.55,0.35,0.1,0.1997,0.946,True,0.484,0.645,-0.1109,-0.0836,0.82,0.6
260104,0.1873,0.55,0.35,0.1,0.2109,0.934,True,0.484,0.709,-0.1103,-0.0667,0.896,0.6
112002,0.1873,0.55,0.35,0.1,0.201,0.94,True,0.452,0.721,-0.1076,-0.074,0.819,0.6
240005,0.1873,0.55,0.35,0.1,0.2015,0.94,True,0.452,0.636,-0.1306,-0.1123,0.702,0.6
110002,0.1873,0.55,0.35,0.1,0.2008,0.938,True,0.452,0.705,-0.1112,-0.0782,0.837,0.6
290004,0.1873,0.55,0.35,0.1,0.2106,0.936,True,0.484,0.821,-0.1192,-0.0529,0.949,0.6
162605,0.1873,0.55,0.35,0.1,0.2034,0.94,True,0.452,0.725,-0.1297,-0.1008,0.825,0.6
202002,0.1873,0.55,0.35,0.1,0.1972,0.95,True,0.387,0.678,-0.1052,-0.0917,0.854,0.6
310358,0.1873,0.55,0.35,0.1,0.2069,0.941,True,0.323,0.76,-0.1454,-0.127,0.854,0.6
213002,0.1873,0.55,0.35,0.1,0.1906,0.964,True,0.387,0.855,-0.1796,-0.196,0.857,0.6
213003,0.1873,0.55,0.35,0.1,0.2009,0.936,True,0.29,0.792,-0.1584,-0.1691,0.858,0.6
310328,0.1873,0.55,0.35,0.1,0.2057,0.939,True,0.323,0.866,-0.1205,-0.0965,0.951,0.6
