code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
002112,0.8261,0.4,0.35,0.25,0.8004,0.996,False,0.742,0.397,0.259,0.5935,1.108,1.0
001412,0.8261,0.4,0.35,0.25,0.8005,0.996,False,0.742,0.365,0.2591,0.5938,1.107,1.0
000390,0.8261,0.4,0.35,0.25,0.7995,0.994,True,0.742,0.291,0.2683,0.5169,0.826,1.0
001198,0.8261,0.4,0.35,0.25,0.8103,0.991,False,0.742,0.634,0.2107,0.6011,1.144,1.0
002163,0.8261,0.4,0.35,0.25,0.8103,0.991,False,0.71,0.195,0.2101,0.6002,1.146,1.0
008326,0.8261,0.4,0.35,0.25,0.8045,0.998,True,0.806,0.773,0.2943,0.6403,1.023,1.0
008327,0.8261,0.4,0.35,0.25,0.8045,0.998,True,0.774,0.778,0.2933,0.6385,1.025,1.0
519770,0.8261,0.4,0.35,0.25,0.8086,0.999,False,0.71,0.038,0.203,0.5606,0.492,1.0
015576,0.8261,0.4,0.35,0.25,0.7962,0.995,True,0.645,0.517,0.2402,0.6057,1.278,1.0
519771,0.8261,0.4,0.35,0.25,0.8086,0.999,False,0.677,0.035,0.202,0.5592,0.492,1.0
005903,0.8261,0.4,0.35,0.25,0.7961,0.995,True,0.677,0.836,0.2406,0.6071,1.275,1.0
015389,0.8261,0.4,0.35,0.25,0.8027,0.996,False,0.774,0.501,0.2229,0.4767,0.909,1.0
001170,0.8261,0.4,0.35,0.25,0.7963,0.997,True,0.806,0.875,0.2249,0.6022,1.528,1.0
007817,0.8261,0.4,0.35,0.25,0.8009,0.997,True,0.71,0.801,0.1882,0.503,1.051,1.0
000411,0.8261,0.4,0.35,0.25,0.7964,0.997,False,0.871,0.998,0.2133,0.525,1.03,1.0
007818,0.8261,0.4,0.35,0.25,0.8009,0.997,True,0.71,0.807,0.1865,0.5006,1.055,1.0
011369,0.8261,0.4,0.35,0.25,0.8003,0.996,True,0.419,0.476,0.41,0.7336,1.192,1.0
011370,0.8261,0.4,0.35,0.25,0.8003,0.996,True,0.419,0.488,0.408,0.729,1.2,1.0
009855,0.8261,0.4,0.35,0.25,0.8031,1.0,True,0.387,0.794,0.2345,0.6182,1.175,1.0
009856,0.8261,0.4,0.35,0.25,0.8031,1.0,True,0.387,0.802,0.2333,0.6152,1.179,1.0
008988,0.8261,0.4,0.35,0.25,0.8061,0.999,True,0.774,0.749,0.1671,0.4573,1.038,1.0
010415,0.8261,0.4,0.35,0.25,0.8039,0.999,True,0.387,0.694,0.3457,0.6543,1.317,1.0
004320,0.8261,0.4,0.35,0.25,0.7994,0.999,True,0.548,0.797,0.5321,0.7621,1.588,1.0
008989,0.8261,0.4,0.35,0.25,0.8061,0.999,True,0.774,0.757,0.1659,0.4556,1.043,1.0
009707,0.8261,0.4,0.35,0.25,0.8058,0.993,False,0.742,0.455,0.1438,0.501,0.916,1.0
016370,0.8261,0.4,0.35,0.25,0.8028,0.999,True,0.613,0.905,0.2341,0.5314,1.587,1.0
