code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
162202,0.6782,0.4,0.35,0.25,0.6799,0.905,True,0.613,0.636,0.2795,0.3768,0.761,1.0
020001,0.6782,0.4,0.35,0.25,0.6774,0.923,True,0.581,0.728,0.3171,0.4982,0.852,1.0
163801,0.6782,0.4,0.35,0.25,0.6763,0.912,True,0.484,0.481,0.2635,0.4036,0.703,1.0
240004,0.6782,0.4,0.35,0.25,0.6787,0.943,True,0.581,0.586,0.2346,0.4027,0.819,1.0
161604,0.6782,0.4,0.35,0.25,0.678,0.932,True,0.516,1.016,0.3726,0.542,0.993,1.0
160706,0.6782,0.4,0.35,0.25,0.6801,0.938,True,0.226,0.953,0.3207,0.4778,1.016,1.0
240005,0.6782,0.4,0.35,0.25,0.6777,0.928,True,0.581,0.573,0.2148,0.3454,0.704,1.0
161601,0.6782,0.4,0.35,0.25,0.6792,0.918,True,0.355,0.641,0.2625,0.3351,0.757,1.0
375010,0.6782,0.4,0.35,0.25,0.682,0.941,True,0.548,0.763,0.212,0.3541,0.938,1.0
110005,0.6782,0.4,0.35,0.25,0.6788,0.921,True,0.516,0.561,0.21,0.3339,0.791,1.0
162605,0.6782,0.4,0.35,0.25,0.679,0.922,True,0.516,0.641,0.202,0.3204,0.829,1.0
161903,0.6782,0.4,0.35,0.25,0.6775,0.939,True,0.452,0.721,0.3371,0.4681,0.823,0.6
260104,0.6782,0.4,0.35,0.25,0.6759,0.924,True,0.419,0.69,0.3017,0.4486,0.897,0.6
519087,0.6782,0.4,0.35,0.25,0.678,0.94,True,0.323,0.709,0.2622,0.4758,0.951,0.6
288001,0.6782,0.4,0.35,0.25,0.6786,0.925,True,0.419,0.55,0.2641,0.3726,0.723,0.6
310328,0.6782,0.4,0.35,0.25,0.6791,0.938,True,0.323,0.83,0.2588,0.3842,0.947,0.6
110002,0.6782,0.4,0.35,0.25,0.6786,0.929,True,0.452,0.625,0.2197,0.3529,0.838,0.6
162201,0.6782,0.4,0.35,0.25,0.673,0.919,True,0.419,0.473,0.1974,0.3281,0.678,0.6
580001,0.6782,0.4,0.35,0.25,0.6762,0.919,True,0.387,0.613,0.2098,0.321,0.822,0.6
350002,0.6782,0.4,0.35,0.25,0.6754,0.935,True,0.323,0.634,0.1941,0.2597,0.818,0.6
213002,0.6782,0.4,0.35,0.25,0.68,0.929,True,0.355,0.758,0.1816,0.314,0.87,0.6
