code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
110005,0.5804,0.4,0.35,0.25,0.4243,0.861,True,0.742,1.202,0.1574,0.1226,0.984,1.0
740001,0.5804,0.4,0.35,0.25,0.3923,0.953,True,0.645,0.877,0.0467,0.0151,0.901,1.0
720001,0.5804,0.4,0.35,0.25,0.4292,0.899,True,0.613,1.029,0.0776,0.0915,1.034,1.0
000390,0.5804,0.4,0.35,0.25,0.4202,0.951,True,0.548,0.137,0.0314,0.0027,0.5,1.0
481015,0.5804,0.4,0.35,0.25,0.4264,0.85,True,0.452,1.393,0.1606,0.1263,1.269,1.0
000017,0.5804,0.4,0.35,0.25,0.4668,0.869,True,0.387,0.827,0.0778,0.0718,1.088,1.0
240011,0.5804,0.4,0.35,0.25,0.4578,0.89,True,0.355,1.426,0.1438,0.1154,1.105,1.0
000411,0.5804,0.4,0.35,0.25,0.4949,0.846,True,0.484,1.045,0.083,0.0304,1.077,1.0
162214,0.5804,0.4,0.35,0.25,0.5877,0.842,True,0.226,1.311,0.1488,0.153,1.48,1.0
630001,0.5804,0.4,0.35,0.25,0.3972,0.867,True,0.548,1.402,0.0053,-0.0317,1.197,1.0
110029,0.5804,0.4,0.35,0.25,0.396,0.926,True,0.355,1.461,0.1139,0.0501,1.279,0.6
162201,0.5804,0.4,0.35,0.25,0.3467,0.965,True,0.387,1.271,0.0392,0.0064,1.118,0.6
