code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
519698,0.5445,0.4,0.35,0.25,0.4949,0.96,True,0.419,1.378,0.1356,0.2111,1.171,1.0
200007,0.5445,0.4,0.35,0.25,0.5127,0.95,True,0.452,0.939,0.1134,0.1176,0.73,1.0
110005,0.5445,0.4,0.35,0.25,0.5148,0.934,False,0.387,1.064,0.1224,0.1308,0.955,1.0
162202,0.5445,0.4,0.35,0.25,0.4949,0.955,True,0.387,1.255,0.132,0.1491,1.034,1.0
580005,0.5445,0.4,0.35,0.25,0.4986,0.954,False,0.452,1.182,0.1036,0.2369,1.197,1.0
162605,0.5445,0.4,0.35,0.25,0.5159,0.952,True,0.355,1.132,0.1232,0.24,1.037,1.0
519110,0.5445,0.4,0.35,0.25,0.4985,0.952,False,0.613,1.554,0.1046,0.1361,1.286,1.0
410009,0.5445,0.4,0.35,0.25,0.4903,0.962,True,0.29,1.492,0.1628,0.2479,1.153,1.0
260104,0.5445,0.4,0.35,0.25,0.5106,0.936,False,0.258,1.106,0.1154,0.1465,0.951,1.0
740101,0.5445,0.4,0.35,0.25,0.5224,0.934,False,0.258,1.194,0.1186,0.1429,1.028,1.0
100038,0.5445,0.4,0.35,0.25,0.5299,0.911,False,0.613,1.229,0.1053,0.1182,0.817,1.0
700001,0.5445,0.4,0.35,0.25,0.5117,0.956,False,0.355,1.104,0.123,0.1191,1.191,1.0
002031,0.5445,0.4,0.35,0.25,0.5166,0.946,False,0.355,0.771,0.0992,0.1173,0.86,1.0
470009,0.5445,0.4,0.35,0.25,0.5015,0.948,True,0.645,0.978,0.0825,0.0692,1.012,1.0
202213,0.5445,0.4,0.35,0.25,0.5229,0.903,True,0.484,0.119,0.018,0.018,0.315,1.0
080002,0.5445,0.4,0.35,0.25,0.4981,0.946,False,0.548,0.901,0.0713,0.0847,0.854,1.0
590002,0.5445,0.4,0.35,0.25,0.494,0.951,False,0.581,1.722,0.1004,0.1265,1.129,1.0
200008,0.5445,0.4,0.35,0.25,0.5297,0.935,False,0.484,1.213,0.1053,0.1412,0.876,1.0
162711,0.5445,0.4,0.35,0.25,0.5085,0.946,False,0.452,1.464,0.1204,0.1107,1.111,1.0
000017,0.5445,0.4,0.35,0.25,0.4975,0.96,False,0.516,0.876,0.0523,0.0438,1.04,1.0
100039,0.5445,0.4,0.35,0.25,0.51,0.963,True,0.581,1.174,0.097,0.128,0.938,1.0
540010,0.5445,0.4,0.35,0.25,0.4987,0.953,False,0.548,1.109,0.0783,0.164,1.186,1.0
519679,0.5445,0.4,0.35,0.25,0.5016,0.957,False,0.645,1.014,0.0405,0.0638,1.091,1.0
160615,0.5445,0.4,0.35,0.25,0.531,0.912,False,0.387,1.384,0.1182,0.127,0.97,1.0
233010,0.5445,0.4,0.35,0.25,0.5093,0.945,False,0.355,1.381,0.115,0.1319,1.038,1.0
580009,0.5445,0.4,0.35,0.25,0.5006,0.956,False,0.452,0.784,0.003,-0.0451,0.913,1.0
213002,0.5445,0.4,0.35,0.25,0.4968,0.962,False,0.516,1.581,0.0782,0.1982,1.165,1.0
582003,0.5445,0.4,0.35,0.25,0.527,0.923,False,0.419,0.237,0.0803,0.0923,0.26,1.0
519068,0.5445,0.4,0.35,0.25,0.5191,0.93,True,0.677,1.055,0.0587,0.1351,0.996,1.0
420005,0.5445,0.4,0.35,0.25,0.5128,0.961,False,0.548,1.033,0.1068,0.0968,0.8,1.0
290012,0.5445,0.4,0.35,0.25,0.5231,0.901,True,0.387,0.12,0.0244,0.0321,0.229,1.0
162201,0.5445,0.4,0.35,0.25,0.4975,0.957,False,0.323,1.088,0.103,0.1419,1.162,1.0
217019,0.5445,0.4,0.35,0.25,0.4996,0.949,False,0.226,1.399,0.1079,0.1372,1.131,1.0
673010,0.5445,0.4,0.35,0.25,0.5041,0.918,False,0.323,0.764,0.0222,-0.0262,0.799,1.0
270025,0.5445,0.4,0.35,0.25,0.5063,0.954,False,0.677,1.192,0.0607,0.1042,0.975,1.0
160314,0.5445,0.4,0.35,0.25,0.5174,0.946,False,0.452,1.129,0.1155,0.1035,0.988,1.0
630001,0.5445,0.4,0.35,0.25,0.5081,0.956,True,0.548,1.211,0.0921,0.1259,1.156,1.0
377150,0.5445,0.4,0.35,0.25,0.508,0.97,True,0.516,1.065,0.1091,0.0832,1.068,1.0
720001,0.5445,0.4,0.35,0.25,0.5073,0.953,False,0.613,1.094,0.0498,0.1182,1.018,1.0
240005,0.5445,0.4,0.35,0.25,0.5209,0.934,False,0.355,1.164,0.1079,0.1281,1.052,1.0
202015,0.5445,0.4,0.35,0.25,0.531,0.916,False,0.387,1.393,0.1128,0.1223,0.977,1.0
630008,0.5445,0.4,0.35,0.25,0.5197,0.935,True,0.548,1.028,0.0868,0.1171,0.985,1.0
164205,0.5445,0.4,0.35,0.25,0.5218,0.959,True,0.419,0.881,0.0336,0.0184,0.409,1.0
519991,0.5445,0.4,0.35,0.25,0.5103,0.945,False,0.452,0.915,0.0774,0.0309,0.977,1.0
165515,0.5445,0.4,0.35,0.25,0.531,0.912,False,0.323,1.247,0.1149,0.117,0.969,1.0
164809,0.5445,0.4,0.35,0.25,0.5084,0.946,False,0.387,1.41,0.1128,0.1143,1.181,1.0
210007,0.5445,0.4,0.35,0.25,0.525,0.964,True,0.484,0.959,0.0009,0.013,0.784,1.0
310358,0.5445,0.4,0.35,0.25,0.5168,0.942,False,0.258,1.312,0.1076,0.1262,1.206,1.0
020009,0.5445,0.4,0.35,0.25,0.5113,0.93,False,0.581,1.211,0.0893,0.1072,0.848,1.0
163818,0.5445,0.4,0.35,0.25,0.5005,0.965,False,0.226,1.35,0.0972,0.1367,1.153,1.0
519181,0.5445,0.4,0.35,0.25,0.522,0.93,False,0.29,1.14,0.1189,0.0698,0.697,1.0
481012,0.5445,0.4,0.35,0.25,0.5349,0.902,True,0.548,1.229,0.0936,0.1065,0.856,1.0
519025,0.5445,0.4,0.35,0.25,0.5088,0.943,False,0.323,1.461,0.1121,0.1091,1.235,1.0
240009,0.5445,0.4,0.35,0.25,0.4984,0.958,False,0.548,1.41,0.0528,0.0772,1.031,1.0
050010,0.5445,0.4,0.35,0.25,0.525,0.927,False,0.516,1.058,0.0822,0.0625,0.833,1.0
202002,0.5445,0.4,0.35,0.25,0.5181,0.944,False,0.452,1.105,0.0799,0.1359,0.873,1.0
163801,0.5445,0.4,0.35,0.25,0.5042,0.945,True,0.097,0.953,0.0689,0.0926,1.033,1.0
690003,0.5445,0.4,0.35,0.25,0.4924,0.962,True,0.516,1.486,0.0912,0.0996,1.079,1.0
519674,0.5445,0.4,0.35,0.25,0.5043,0.937,False,0.452,1.027,0.0619,0.0913,1.026,1.0
050024,0.5445,0.4,0.35,0.25,0.5238,0.915,False,0.323,1.525,0.1182,0.0625,1.134,1.0
590007,0.5445,0.4,0.35,0.25,0.5114,0.942,False,0.516,1.281,0.0921,0.0757,1.002,1.0
320007,0.5445,0.4,0.35,0.25,0.4906,0.986,True,0.258,1.316,0.1459,0.1927,1.149,0.6
165309,0.5445,0.4,0.35,0.25,0.5311,0.913,False,0.355,1.376,0.1049,0.1112,0.958,1.0
610001,0.5445,0.4,0.35,0.25,0.5017,0.957,False,0.129,1.367,0.0971,0.1151,1.098,1.0
160706,0.5445,0.4,0.35,0.25,0.5312,0.913,False,0.419,1.425,0.1002,0.1071,0.926,1.0
377240,0.5445,0.4,0.35,0.25,0.494,0.965,False,0.323,0.989,0.0876,0.1857,1.101,0.6
240017,0.5445,0.4,0.35,0.25,0.5015,0.966,False,0.419,1.099,0.0396,0.0951,1.074,1.0
580006,0.5445,0.4,0.35,0.25,0.5025,0.963,False,0.419,1.1,0.0854,0.0437,0.9,1.0
288001,0.5445,0.4,0.35,0.25,0.5292,0.928,False,0.097,1.024,0.0693,0.033,1.119,1.0
240008,0.5445,0.4,0.35,0.25,0.5182,0.941,True,0.387,1.088,0.092,0.0764,0.888,1.0
519087,0.5445,0.4,0.35,0.25,0.5104,0.95,False,0.419,1.157,0.0238,0.0012,0.821,1.0
161118,0.5445,0.4,0.35,0.25,0.5057,0.948,False,0.129,1.349,0.0943,0.11,1.069,1.0
165508,0.5445,0.4,0.35,0.25,0.5151,0.951,False,0.387,1.137,0.0725,0.1265,1.086,1.0
519033,0.5445,0.4,0.35,0.25,0.4991,0.95,False,0.355,1.165,0.0533,0.0487,0.977,1.0
110026,0.5445,0.4,0.35,0.25,0.4927,0.956,False,0.355,1.197,0.0825,0.1094,1.192,1.0
163803,0.5445,0.4,0.35,0.25,0.5065,0.942,False,0.387,1.215,0.0894,0.0986,1.079,1.0
206002,0.5445,0.4,0.35,0.25,0.495,0.97,True,0.258,1.147,0.049,0.0507,0.948,1.0
202007,0.5445,0.4,0.35,0.25,0.5026,0.959,False,0.387,1.451,0.0781,0.1122,1.09,1.0
