code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
160716,0.8708,0.4,0.35,0.25,0.6373,0.999,False,0.452,1.274,-0.0279,-0.0749,0.641,1.0
519130,0.8708,0.4,0.35,0.25,0.6591,0.988,False,0.097,0.336,-0.0101,0.0121,2.031,1.0
161604,0.8708,0.4,0.35,0.25,0.8308,0.95,True,0.161,2.213,0.1348,0.1627,0.984,1.0
233010,0.8708,0.4,0.35,0.25,0.8249,0.953,True,0.452,1.591,0.0729,0.1783,0.872,1.0
000590,0.8708,0.4,0.35,0.25,0.8403,0.949,True,0.323,0.101,-0.0013,-0.0014,0.384,1.0
000654,0.8708,0.4,0.35,0.25,0.8626,0.959,True,0.419,1.305,0.0566,0.2794,1.432,1.0
519671,0.8708,0.4,0.35,0.25,0.6438,0.996,False,0.452,1.331,-0.0294,-0.0401,0.573,1.0
000523,0.8708,0.4,0.35,0.25,0.6206,0.989,True,0.419,1.188,-0.0728,-0.054,1.22,1.0
110019,0.8708,0.4,0.35,0.25,0.8288,0.95,True,0.194,1.765,0.1328,0.162,0.975,1.0
000196,0.8708,0.4,0.35,0.25,0.7852,0.947,True,0.29,0.303,-0.046,-0.0036,0.602,1.0
519050,0.8708,0.4,0.35,0.25,0.8003,0.959,True,0.258,0.133,0.0102,0.0383,0.236,1.0
000362,0.8708,0.4,0.35,0.25,0.8123,0.953,True,0.355,0.926,0.0185,0.1969,1.273,1.0
519068,0.8708,0.4,0.35,0.25,0.8631,0.948,True,0.226,1.442,0.0759,0.2224,0.943,1.0
630008,0.8708,0.4,0.35,0.25,0.8313,0.954,True,0.452,1.074,0.0325,0.2248,1.299,1.0
100029,0.8708,0.4,0.35,0.25,0.6203,0.99,False,0.323,1.122,0.0139,0.0531,1.093,1.0
040011,0.8708,0.4,0.35,0.25,0.8307,0.954,True,0.355,1.388,0.0775,0.1773,1.134,1.0
080002,0.8708,0.4,0.35,0.25,0.8692,0.961,True,0.452,1.291,0.0227,0.2959,1.197,1.0
162714,0.8708,0.4,0.35,0.25,0.8295,0.95,True,0.161,1.513,0.1241,0.1503,0.989,1.0
213002,0.8708,0.4,0.35,0.25,0.8222,0.978,False,0.71,2.026,-0.0857,0.04,1.307,1.0
000339,0.8708,0.4,0.35,0.25,0.6347,0.982,True,0.355,1.112,-0.0914,-0.1192,1.373,1.0
050024,0.8708,0.4,0.35,0.25,0.8021,0.94,False,0.645,1.332,-0.0711,0.1323,0.73,1.0
