code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
001194,0.6085,0.4,0.35,0.25,0.6639,0.986,False,0.774,0.119,0.1517,0.5001,0.622,1.0
001407,0.6085,0.4,0.35,0.25,0.6639,0.986,False,0.774,0.13,0.1513,0.4984,0.626,1.0
011144,0.6085,0.4,0.35,0.25,0.6815,0.998,False,0.645,0.72,0.1315,0.4284,0.998,1.0
011145,0.6085,0.4,0.35,0.25,0.6814,0.998,False,0.645,0.73,0.1295,0.4244,1.004,1.0
001411,0.6085,0.4,0.35,0.25,0.6705,1.0,False,0.613,0.565,0.0991,0.3901,1.118,1.0
002051,0.6085,0.4,0.35,0.25,0.6704,1.0,False,0.613,0.642,0.0976,0.3884,1.124,1.0
009707,0.6085,0.4,0.35,0.25,0.6857,1.0,False,0.613,0.343,0.2914,0.5722,0.802,1.0
011377,0.6085,0.4,0.35,0.25,0.6623,1.0,True,0.581,0.565,0.1084,0.4274,1.077,1.0
011378,0.6085,0.4,0.35,0.25,0.6623,1.0,True,0.581,0.576,0.1065,0.4232,1.088,1.0
009708,0.6085,0.4,0.35,0.25,0.6857,1.0,False,0.581,0.351,0.2898,0.5686,0.814,1.0
008988,0.6085,0.4,0.35,0.25,0.6897,0.98,False,0.581,0.797,0.1696,0.3212,0.887,1.0
008989,0.6085,0.4,0.35,0.25,0.6897,0.98,False,0.581,0.806,0.1681,0.3177,0.899,1.0
001198,0.6085,0.4,0.35,0.25,0.6629,1.0,True,0.548,0.479,0.1392,0.6123,1.244,1.0
010391,0.6085,0.4,0.35,0.25,0.6759,0.99,False,0.548,0.754,0.1414,0.364,1.105,1.0
002163,0.6085,0.4,0.35,0.25,0.6629,1.0,True,0.548,-0.029,0.1381,0.6101,1.246,1.0
010392,0.6085,0.4,0.35,0.25,0.6758,0.991,False,0.548,0.763,0.1391,0.3598,1.113,1.0
000688,0.6085,0.4,0.35,0.25,0.6682,1.0,False,0.71,1.008,0.1474,0.436,0.923,1.0
001412,0.6085,0.4,0.35,0.25,0.6714,0.998,False,0.548,0.318,0.0437,0.5035,0.85,1.0
002112,0.6085,0.4,0.35,0.25,0.6714,0.998,False,0.548,0.344,0.0435,0.503,0.855,1.0
001170,0.6085,0.4,0.35,0.25,0.6704,0.999,False,0.613,0.953,0.1308,0.3916,1.287,1.0
013242,0.6085,0.4,0.35,0.25,0.6677,0.991,True,0.452,0.759,0.145,0.4184,1.216,1.0
002289,0.6085,0.4,0.35,0.25,0.6659,0.998,False,0.452,0.796,0.1007,0.3637,1.039,1.0
001048,0.6085,0.4,0.35,0.25,0.6807,1.0,False,0.581,0.938,0.301,0.6482,1.294,1.0
001723,0.6085,0.4,0.35,0.25,0.6662,0.997,False,0.677,1.259,0.1015,0.379,0.985,1.0
005903,0.6085,0.4,0.35,0.25,0.6711,0.998,False,0.419,0.844,0.1219,0.3036,1.184,1.0
004320,0.6085,0.4,0.35,0.25,0.6619,0.994,False,0.677,0.882,0.0689,0.3408,1.37,1.0
010013,0.6085,0.4,0.35,0.25,0.6765,0.994,False,0.548,0.798,0.0923,0.2582,1.029,1.0
005550,0.6085,0.4,0.35,0.25,0.6783,1.0,True,0.419,0.795,0.1557,0.5,1.411,1.0
