date,code,name,S,rank_pct,F_value,F_alpha,F_mom,water,wv,wa,wm,R_MDD,mdd_f,mdd_b,top3,pens,fwd6,fwd12
2022-12-31,000066,0,92.7,1.0,86.7,100.0,100.0,0.1192,0.55,0.35,0.1,0.76,-0.2796,-0.3681,0.311,,-0.0572,-0.24
2022-12-31,000573,1,92.6,0.9954,86.5,100.0,100.0,0.1192,0.55,0.35,0.1,0.298,-0.1205,-0.4038,0.372,,0.047,0.0031
2022-12-31,000390,2,91.6,0.9908,84.8,100.0,100.0,0.1192,0.55,0.35,0.1,0.863,-0.309,-0.3582,0.303,,0.1133,-0.0071
2022-12-31,000743,3,91.0,0.9862,83.6,100.0,100.0,0.1192,0.55,0.35,0.1,0.587,-0.2072,-0.3528,0.321,,0.0295,-0.0252
2022-12-31,000196,4,89.1,0.9816,87.4,100.0,60.0,0.1192,0.55,0.35,0.1,0.163,-0.0663,-0.4065,0.386,,0.0126,-0.0632
2022-12-31,000423,5,88.6,0.977,86.9,87.9,100.0,0.1192,0.55,0.35,0.1,0.723,-0.2591,-0.3582,0.31,,0.0278,0.0056
2022-12-31,160220,6,88.2,0.9724,85.9,100.0,60.0,0.1192,0.55,0.35,0.1,0.173,-0.0614,-0.3541,0.301,,0.0165,-0.0156
2022-12-31,202213,7,88.1,0.9677,85.7,100.0,60.0,0.1192,0.55,0.35,0.1,0.471,-0.17,-0.3609,0.307,,0.0212,-0.0528
2022-12-31,000259,8,87.9,0.9631,85.3,100.0,60.0,0.1192,0.55,0.35,0.1,0.719,-0.2432,-0.3381,0.332,,0.0399,-0.1035
2022-12-31,290012,9,87.3,0.9585,84.8,87.7,100.0,0.1192,0.55,0.35,0.1,0.959,-0.3728,-0.3886,0.356,,0.3607,0.2943
2022-12-31,000362,10,82.7,0.9539,84.2,86.7,60.0,0.1192,0.55,0.35,0.1,0.959,-0.326,-0.3397,0.3,,-0.0239,-0.1692
2022-12-31,000590,11,79.6,0.9493,85.4,84.7,30.0,0.1192,0.55,0.35,0.1,0.209,-0.0782,-0.3751,0.321,,-0.0048,-0.0712
2022-12-31,000845,12,77.2,0.9447,86.4,84.7,0.0,0.1192,0.55,0.35,0.1,0.606,-0.2303,-0.3802,0.354,,-0.0783,-0.2224
2022-12-31,519736,13,77.0,0.9401,84.8,69.6,60.0,0.1192,0.55,0.35,0.1,1.062,-0.4003,-0.3771,0.318,,-0.0898,-0.1769
2022-12-31,050024,14,76.4,0.9355,88.9,50.0,100.0,0.1192,0.55,0.35,0.1,0.758,-0.2934,-0.3873,0.365,,0.0713,0.0419
2022-12-31,260117,15,76.1,0.9309,88.3,50.0,100.0,0.1192,0.55,0.35,0.1,0.873,-0.3415,-0.3912,0.371,,0.0424,0.0088
2022-12-31,288001,16,75.7,0.9263,87.6,50.0,100.0,0.1192,0.55,0.35,0.1,0.583,-0.2434,-0.4173,0.426,,-0.0549,-0.1533
2022-12-31,420005,17,75.5,0.9217,87.2,50.0,100.0,0.1192,0.55,0.35,0.1,0.765,-0.3122,-0.4079,0.391,,-0.032,-0.2237
2022-12-31,160916,18,75.4,0.9171,84.7,53.7,100.0,0.1192,0.55,0.35,0.1,0.946,-0.3359,-0.3551,0.316,,0.0141,-0.0667
2022-12-31,240005,19,75.3,0.9124,87.0,50.0,100.0,0.1192,0.55,0.35,0.1,0.553,-0.2329,-0.4211,0.431,,-0.0747,-0.2132
2022-12-31,000251,20,75.0,0.9055,88.0,47.3,100.0,0.1192,0.55,0.35,0.1,0.663,-0.2826,-0.4261,0.458,,-0.0832,-0.1902
2022-12-31,270025,21,75.0,0.9055,86.4,50.0,100.0,0.1192,0.55,0.35,0.1,0.739,-0.2922,-0.3954,0.354,,0.0219,-0.0864
