date,code,name,S,rank_pct,F_value,F_alpha,F_mom,water,wv,wa,wm,R_MDD,mdd_f,mdd_b,top3,pens,fwd6,fwd12
2024-09-30,020009,51,31.1,0.765,34.0,50.0,0.0,0.6495,0.4,0.35,0.25,0.783,-0.3258,-0.4162,0.292,,-0.0286,0.2556
2024-09-30,270025,52,31.0,0.7604,33.7,50.0,0.0,0.6495,0.4,0.35,0.25,0.642,-0.2648,-0.4124,0.275,,-0.1546,-0.0014
2024-09-30,481012,53,30.9,0.7558,33.4,50.0,0.0,0.6495,0.4,0.35,0.25,0.821,-0.3398,-0.4136,0.263,,-0.0802,0.0027
2024-09-30,000066,54,30.7,0.7512,33.0,50.0,0.0,0.6495,0.4,0.35,0.25,1.173,-0.4837,-0.4123,0.308,,0.0258,0.4195
2024-09-30,162711,55,30.4,0.7465,34.5,47.3,0.0,0.6495,0.4,0.35,0.25,0.918,-0.3828,-0.417,0.306,,-0.037,0.2218
2024-09-30,260117,56,29.7,0.7419,30.4,50.0,0.0,0.6495,0.4,0.35,0.25,0.731,-0.2983,-0.408,0.311,,-0.0913,0.2351
2024-09-30,164809,57,29.3,0.735,34.5,44.2,0.0,0.6495,0.4,0.35,0.25,0.93,-0.3876,-0.4166,0.305,,-0.0099,0.2605
2024-09-30,450009,58,29.3,0.735,34.5,44.2,0.0,0.6495,0.4,0.35,0.25,0.712,-0.2991,-0.4202,0.285,,-0.0533,0.0398
2024-09-30,080015,59,29.1,0.7281,34.0,44.2,0.0,0.6495,0.4,0.35,0.25,0.947,-0.3888,-0.4105,0.299,,-0.025,0.1693
2024-09-30,310358,60,29.0,0.7212,34.9,0.0,60.0,0.6495,0.4,0.35,0.25,1.182,-0.4971,-0.4204,0.329,,-0.0901,0.2107
2024-09-30,161118,61,29.0,0.7212,35.0,0.0,60.0,0.6495,0.4,0.35,0.25,1.145,-0.48,-0.4191,0.315,,-0.0371,0.2313
2024-09-30,000020,62,28.9,0.7143,34.7,0.0,60.0,0.6495,0.4,0.35,0.25,1.122,-0.4687,-0.4176,0.312,,-0.0292,0.3134
2024-09-30,000654,63,28.8,0.7097,34.5,0.0,60.0,0.6495,0.4,0.35,0.25,1.194,-0.5041,-0.4223,0.339,,0.0417,0.3529
2024-09-30,519013,64,28.7,0.7051,33.1,44.2,0.0,0.6495,0.4,0.35,0.25,0.907,-0.375,-0.4136,0.299,,0.0287,0.2802
2024-09-30,217019,65,28.5,0.7005,33.7,0.0,60.0,0.6495,0.4,0.35,0.25,1.055,-0.4345,-0.4118,0.336,,-0.0501,0.4877
2024-09-30,202019,66,28.3,0.6959,33.3,0.0,60.0,0.6495,0.4,0.35,0.25,1.068,-0.4393,-0.4114,0.302,,-0.0054,0.3753
