sample_share_code,status,inception_era,family_key,query_code,query_ts_code,query_name
018993,存续,2020_2026,中欧基金管理有限公司|中欧数字经济混合,018994,018994.OF,中欧数字经济混合-C
023003,存续,2020_2026,兴证全球基金管理有限公司|兴全盈鑫多元配置三个月持有期混合(FOF),023003,023003.OF,兴全盈鑫多元配置三个月持有期混合(FOF)-A
023003,存续,2020_2026,兴证全球基金管理有限公司|兴全盈鑫多元配置三个月持有期混合(FOF),023004,023004.OF,兴全盈鑫多元配置三个月持有期混合(FOF)-C
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),016616,016616.OF,国泰估值优势混合(LOF)-C
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),150010,150010.SZ,国泰估值优势混合(LOF)-优先
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),150011,150011.SZ,国泰估值优势混合(LOF)-进取
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),160212,160212.SZ,国泰估值优势混合(LOF)-A
150017,清盘,pre2013,兴证全球基金管理有限公司|兴全合润分级混合,150016,150016.SZ,兴全合润分级混合-A
150017,清盘,pre2013,兴证全球基金管理有限公司|兴全合润分级混合,150017,150017.SZ,兴全合润分级混合-B
160505,存续,pre2013,博时基金管理有限公司|博时主题行业混合(LOF),160505,160505.SZ,博时主题行业混合(LOF)
161132,存续,2013_2019,易方达基金管理有限公司|易方达科顺定开灵活配置混合,161132,161132.SZ,易方达科顺定开灵活配置混合
161810,存续,pre2013,银华基金管理股份有限公司|银华内需精选混合(LOF),028897,028897.OF,银华内需精选混合(LOF)-C
161810,存续,pre2013,银华基金管理股份有限公司|银华内需精选混合(LOF),161810,161810.SZ,银华内需精选混合(LOF)
162006,存续,pre2013,长城基金管理有限公司|长城久富核心成长混合(LOF),015383,015383.OF,长城久富核心成长混合(LOF)-C
162006,存续,pre2013,长城基金管理有限公司|长城久富核心成长混合(LOF),162006,162006.SZ,长城久富核心成长混合(LOF)-A
162207,存续,pre2013,宏利基金管理有限公司|宏利效率优选混合(LOF),162207,162207.SZ,宏利效率优选混合(LOF)
162703,存续,pre2013,广发基金管理有限公司|广发小盘成长混合(LOF),162703,162703.SZ,广发小盘成长混合(LOF)-A
163001,存续,2013_2019,长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF),013154,013154.OF,长信医疗保健行业灵活配置混合(LOF)-C
163001,存续,2013_2019,长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF),163001,163001.SZ,长信医疗保健行业灵活配置混合(LOF)-A
163302,存续,pre2013,摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),163302,163302.SZ,大摩资源优选混合(LOF)
163402,存续,pre2013,兴证全球基金管理有限公司|兴全趋势投资混合(LOF),163402,163402.SZ,兴全趋势投资混合(LOF)
163415,存续,pre2013,兴证全球基金管理有限公司|兴全商业模式优选混合(LOF),023881,023881.OF,兴全商业模式优选混合(LOF)-C
163415,存续,pre2013,兴证全球基金管理有限公司|兴全商业模式优选混合(LOF),163415,163415.SZ,兴全商业模式优选混合(LOF)-A
163801,存续,pre2013,中银基金管理有限公司|中银中国精选混合(LOF),014537,014537.OF,中银中国精选混合(LOF)-C
163801,存续,pre2013,中银基金管理有限公司|中银中国精选混合(LOF),163801,163801.SZ,中银中国精选混合(LOF)-A
166009,存续,pre2013,中欧基金管理有限公司|中欧新动力混合(LOF),166009,166009.SZ,中欧新动力混合(LOF)-A
167002,存续,2013_2019,平安基金管理有限公司|平安鼎越灵活配置混合(LOF),028357,028357.OF,平安鼎越灵活配置混合(LOF)-C
167002,存续,2013_2019,平安基金管理有限公司|平安鼎越灵活配置混合(LOF),167002,167002.SZ,平安鼎越灵活配置混合(LOF)-A
168102,存续,2013_2019,九泰基金管理有限公司|九泰锐富事件驱动混合(LOF),013600,013600.OF,九泰锐富事件驱动混合(LOF)-C
168102,存续,2013_2019,九泰基金管理有限公司|九泰锐富事件驱动混合(LOF),168102,168102.SZ,九泰锐富事件驱动混合(LOF)-A
168104,存续,2013_2019,九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF),168104,168104.SZ,九泰锐丰灵活配置混合(LOF)-A
180028,清盘,pre2013,银华基金管理股份有限公司|银华永祥保本混合,180028,1800281.OF,银华永祥保本混合
393001,清盘,pre2013,中海基金管理有限公司|中海保本混合,393001,3930011.OF,中海保本混合
400013,清盘,pre2013,东方基金管理股份有限公司|东方保本混合,400013,4000131.OF,东方保本混合
501035,清盘,2013_2019,创金合信基金管理有限公司|创金合信鼎鑫睿选定开混合(LOF),501035,501035.SH,创金合信鼎鑫睿选定开混合(LOF)
501070,存续,2013_2019,广发基金管理有限公司|广发睿阳三年定开混合,501070,501070.SH,广发睿阳三年定开混合
501071,存续,2013_2019,泓德基金管理有限公司|泓德丰泽混合(LOF),024114,024114.OF,泓德丰泽混合(LOF)-C
501071,存续,2013_2019,泓德基金管理有限公司|泓德丰泽混合(LOF),501071,501071.SH,泓德丰泽混合(LOF)-A
501079,存续,2013_2019,大成基金管理有限公司|大成科创主题混合(LOF),016198,016198.OF,大成科创主题混合(LOF)-C
501079,存续,2013_2019,大成基金管理有限公司|大成科创主题混合(LOF),501079,501079.SH,大成科创主题混合(LOF)-A
501081,存续,2013_2019,中欧基金管理有限公司|中欧科创主题混合(LOF),017290,017290.OF,中欧科创主题混合(LOF)-C
501081,存续,2013_2019,中欧基金管理有限公司|中欧科创主题混合(LOF),501081,501081.SH,中欧科创主题混合(LOF)-A
501188,存续,2013_2019,汇添富基金管理股份有限公司|汇添富核心精选灵活配置混合(LOF),501188,501188.SH,汇添富核心精选灵活配置混合(LOF)
519602,清盘,pre2013,海富通基金管理有限公司|海富通大中华精选混合(QDII),519602,519602.OF,海富通大中华精选混合(QDII)
519623,清盘,2013_2019,银河基金管理有限公司|银河君耀灵活配置混合,519623,519623.OF,银河君耀灵活配置混合-A
519623,清盘,2013_2019,银河基金管理有限公司|银河君耀灵活配置混合,519624,519624.OF,银河君耀灵活配置混合-C
519649,清盘,2013_2019,银河基金管理有限公司|银河犇利灵活配置混合,519649,519649.OF,银河犇利灵活配置混合-A
519649,清盘,2013_2019,银河基金管理有限公司|银河犇利灵活配置混合,519650,519650.OF,银河犇利灵活配置混合-C
530012,清盘,pre2013,建信基金管理有限责任公司|建信保本混合,530012,5300121.OF,建信保本混合
539001,清盘,pre2013,建信基金|建信全球机遇,539001,5390011.OF,建信全球机遇
570007,清盘,pre2013,诺德基金管理有限公司|诺德优选30混合,570007,570007.OF,诺德优选30混合
582003,清盘,pre2013,东吴基金管理有限公司|东吴保本混合,582003,5820031.OF,东吴保本混合
850688,清盘,2020_2026,上海海通证券资产管理有限公司|海通红利优选一年持有期混合,850006,850006.OF,海通红利优选一年持有期混合-B
850688,清盘,2020_2026,上海海通证券资产管理有限公司|海通红利优选一年持有期混合,850688,850688.OF,海通红利优选一年持有期混合-A
850688,清盘,2020_2026,上海海通证券资产管理有限公司|海通红利优选一年持有期混合,850699,850699.OF,海通红利优选一年持有期混合-C
