share_code,ts_code,name,management,fund_type,status,inception_date,inception_era,family_key,stratum_pool_size,stratum_quota
023003,023003.OF,兴全盈鑫多元配置三个月持有期混合(FOF)-A,兴证全球基金管理有限公司,混合型,存续,2025-01-23,2020_2026,兴证全球基金管理有限公司|兴全盈鑫多元配置三个月持有期混合(FOF)-,3864,10
150011,150011.SZ,国泰估值优势混合(LOF)-进取,国泰基金管理有限公司,混合型,清盘,2010-02-10,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF)-进取,48,10
150017,150017.SZ,兴全合润分级混合-B,兴证全球基金管理有限公司,混合型,清盘,2010-04-22,pre2013,兴证全球基金管理有限公司|兴全合润分级混合-B,48,10
180028,1800281.OF,银华永祥保本混合,银华基金管理股份有限公司,混合型,清盘,2011-06-28,pre2013,银华基金管理股份有限公司|银华永祥保本混合,48,10
393001,3930011.OF,中海保本混合,中海基金管理有限公司,混合型,清盘,2012-06-20,pre2013,中海基金管理有限公司|中海保本混合,48,10
400013,4000131.OF,东方保本混合,东方基金管理股份有限公司,混合型,清盘,2011-04-14,pre2013,东方基金管理股份有限公司|东方保本混合,48,10
519602,519602.OF,海富通大中华精选混合(QDII),海富通基金管理有限公司,混合型,清盘,2011-01-27,pre2013,海富通基金管理有限公司|海富通大中华精选混合(QDII),48,10
530012,5300121.OF,建信保本混合,建信基金管理有限责任公司,混合型,清盘,2011-01-18,pre2013,建信基金管理有限责任公司|建信保本混合,48,10
539001,5390011.OF,建信全球机遇,建信基金,混合型,清盘,2010-09-14,pre2013,建信基金|建信全球机遇,48,10
570007,570007.OF,诺德优选30混合,诺德基金管理有限公司,混合型,清盘,2011-05-05,pre2013,诺德基金管理有限公司|诺德优选30混合,48,10
582003,5820031.OF,东吴保本混合,东吴基金管理有限公司,混合型,清盘,2012-08-13,pre2013,东吴基金管理有限公司|东吴保本混合,48,10
000695,000695.OF,大成景益平稳收益混合-A,大成基金管理有限公司,混合型,清盘,2014-06-26,2013_2019,大成基金管理有限公司|大成景益平稳收益混合-,720,10
001464,001464.OF,光大保德信鼎鑫灵活配置混合-A,光大保德信基金管理有限公司,混合型,清盘,2015-06-11,2013_2019,光大保德信基金管理有限公司|光大保德信鼎鑫灵活配置混合-,720,10
003610,003610.OF,南方荣安定开混合-A,南方基金管理股份有限公司,混合型,清盘,2016-11-23,2013_2019,南方基金管理股份有限公司|南方荣安定开混合-,720,10
003663,003663.OF,鹏华兴泰定开灵活配置混合,鹏华基金管理有限公司,混合型,清盘,2016-11-30,2013_2019,鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,720,10
005422,005422.OF,鹏华兴嘉定开灵活配置混合,鹏华基金管理有限公司,混合型,清盘,2018-02-23,2013_2019,鹏华基金管理有限公司|鹏华兴嘉定开灵活配置混合,720,10
005728,005728.OF,华宝绿色主题混合-A,华宝基金管理有限公司,混合型,清盘,2018-09-04,2013_2019,华宝基金管理有限公司|华宝绿色主题混合-,720,10
006857,006857.OF,蜂巢卓睿灵活配置混合-A,蜂巢基金管理有限公司,混合型,清盘,2019-01-30,2013_2019,蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合-,720,10
501035,501035.SH,创金合信鼎鑫睿选定开混合(LOF),创金合信基金管理有限公司,混合型,清盘,2017-07-07,2013_2019,创金合信基金管理有限公司|创金合信鼎鑫睿选定开混合(LOF),720,10
519623,519623.OF,银河君耀灵活配置混合-A,银河基金管理有限公司,混合型,清盘,2016-11-18,2013_2019,银河基金管理有限公司|银河君耀灵活配置混合-,720,10
519649,519649.OF,银河犇利灵活配置混合-A,银河基金管理有限公司,混合型,清盘,2017-03-10,2013_2019,银河基金管理有限公司|银河犇利灵活配置混合-,720,10
009753,009753.OF,中欧美益稳健两年持有期混合-A,中欧基金管理有限公司,混合型,清盘,2020-08-27,2020_2026,中欧基金管理有限公司|中欧美益稳健两年持有期混合-,579,10
010006,010006.OF,南方誉鼎一年持有期混合-A,南方基金管理股份有限公司,混合型,清盘,2020-11-18,2020_2026,南方基金管理股份有限公司|南方誉鼎一年持有期混合-,579,10
010921,010921.OF,民生加银润利混合,民生加银基金管理有限公司,混合型,清盘,2021-04-27,2020_2026,民生加银基金管理有限公司|民生加银润利混合,579,10
010951,010951.OF,中金成长精选混合-A,中金基金管理有限公司,混合型,清盘,2021-03-22,2020_2026,中金基金管理有限公司|中金成长精选混合-,579,10
015276,015276.OF,博时均衡回报混合-A,博时基金管理有限公司,混合型,清盘,2022-05-31,2020_2026,博时基金管理有限公司|博时均衡回报混合-,579,10
016380,016380.OF,华宝专精特新混合-A,华宝基金管理有限公司,混合型,清盘,2022-09-27,2020_2026,华宝基金管理有限公司|华宝专精特新混合-,579,10
017081,017081.OF,鹏华悦享一年持有期混合-A,鹏华基金管理有限公司,混合型,清盘,2023-04-27,2020_2026,鹏华基金管理有限公司|鹏华悦享一年持有期混合-,579,10
017774,017774.OF,泰康养老目标日期2040三年持有期混合(FOF),泰康基金管理有限公司,混合型,清盘,2023-07-18,2020_2026,泰康基金管理有限公司|泰康养老目标日期2040三年持有期混合(FOF),579,10
018628,018628.OF,中金兴元6个月持有期混合-A,中金基金管理有限公司,混合型,清盘,2023-07-18,2020_2026,中金基金管理有限公司|中金兴元6个月持有期混合-,579,10
850688,850688.OF,海通红利优选一年持有期混合-A,上海海通证券资产管理有限公司,混合型,清盘,2021-07-27,2020_2026,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,579,10
