family_key,root_cause_reason,checkpoint_count
兴证全球基金管理有限公司|兴全趋势投资混合(LOF),DOCUMENT_NOT_APPLICABLE,14
兴证全球基金管理有限公司|兴全趋势投资混合(LOF),EQUITY_CLAUSE_NOT_FOUND,60
兴证全球基金管理有限公司|兴全趋势投资混合(LOF),INVESTMENT_SECTION_NOT_FOUND,80
农银汇理基金管理有限公司|农银汇理瑞云增益6个月持有期混合-,EQUITY_CLAUSE_NOT_FOUND,13
创金合信基金管理有限公司|创金合信鼎鑫睿选定开混合(LOF),DATE_OR_STAGE_UNDETERMINED,1
创金合信基金管理有限公司|创金合信鼎鑫睿选定开混合(LOF),OFFICIAL_DOCUMENT_NOT_FOUND,1
华宝基金管理有限公司|华宝专精特新混合-,DATE_OR_STAGE_UNDETERMINED,1
华宝基金管理有限公司|华宝专精特新混合-,PARSED_CLAUSE,2
华宝基金管理有限公司|华宝绿色主题混合-,DATE_OR_STAGE_UNDETERMINED,1
华宝基金管理有限公司|华宝绿色主题混合-,INVESTMENT_SECTION_NOT_FOUND,2
华宝基金管理有限公司|华宝绿色主题混合-,PARSED_CLAUSE,2
南方基金管理股份有限公司|南方荣安定开混合-,DATE_OR_STAGE_UNDETERMINED,1
南方基金管理股份有限公司|南方荣安定开混合-,INVESTMENT_SECTION_NOT_FOUND,8
南方基金管理股份有限公司|南方荣安定开混合-,PARSED_CLAUSE,3
南方基金管理股份有限公司|南方誉鼎一年持有期混合-,DATE_OR_STAGE_UNDETERMINED,1
南方基金管理股份有限公司|南方誉鼎一年持有期混合-,PARSED_CLAUSE,3
博时基金管理有限公司|博时主题行业混合(LOF),DOCUMENT_NOT_APPLICABLE,16
博时基金管理有限公司|博时主题行业混合(LOF),INVESTMENT_SECTION_NOT_FOUND,46
博时基金管理有限公司|博时主题行业混合(LOF),PARSED_CLAUSE,24
博时基金管理有限公司|博时均衡回报混合-,DATE_OR_STAGE_UNDETERMINED,1
博时基金管理有限公司|博时均衡回报混合-,EQUITY_CLAUSE_NOT_FOUND,1
博时基金管理有限公司|博时均衡回报混合-,PARSED_CLAUSE,1
国泰基金管理有限公司|国泰估值优势混合(LOF)-进取,DATE_OR_STAGE_UNDETERMINED,1
国泰基金管理有限公司|国泰估值优势混合(LOF)-进取,DOCUMENT_NOT_APPLICABLE,4
国泰基金管理有限公司|国泰估值优势混合(LOF)-进取,EQUITY_CLAUSE_NOT_FOUND,1
国泰基金管理有限公司|国泰估值优势混合(LOF)-进取,INVESTMENT_SECTION_NOT_FOUND,34
大成基金管理有限公司|大成景益平稳收益混合-,DATE_OR_STAGE_UNDETERMINED,1
大成基金管理有限公司|大成景益平稳收益混合-,DOCUMENT_NOT_APPLICABLE,9
大成基金管理有限公司|大成景益平稳收益混合-,INVESTMENT_SECTION_NOT_FOUND,14
大成基金管理有限公司|大成景益平稳收益混合-,PARSED_CLAUSE,2
大成基金管理有限公司|大成景益平稳收益混合-,PROPOSED_STATE_NOT_EFFECTIVE,6
大成基金管理有限公司|大成科创主题混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,3
大成基金管理有限公司|大成科创主题混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,3
大成基金管理有限公司|大成科创主题混合(LOF)-,PARSED_CLAUSE,4
宏利基金管理有限公司|宏利效率优选混合(LOF),DOCUMENT_NOT_APPLICABLE,7
宏利基金管理有限公司|宏利效率优选混合(LOF),INVESTMENT_SECTION_NOT_FOUND,27
宏利基金管理有限公司|宏利效率优选混合(LOF),PARSED_CLAUSE,2
宝盈基金管理有限公司|宝盈新兴产业灵活配置混合-,OFFICIAL_DOCUMENT_NOT_FOUND,1
平安基金管理有限公司|平安鼎越灵活配置混合(LOF)-,DOCUMENT_NOT_APPLICABLE,3
平安基金管理有限公司|平安鼎越灵活配置混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,3
平安基金管理有限公司|平安鼎越灵活配置混合(LOF)-,PARSED_CLAUSE,5
广发基金管理有限公司|广发小盘成长混合(LOF)-,DOCUMENT_NOT_APPLICABLE,12
