model,IC_mean,IC_t,ICIR,hit,buy_fwd,buy_win,top10_fwd,q1_fwd,ls_top_q1,n_q
Ridge a=0.3 decay=1.5,0.19980854671155074,3.2415496714314784,0.7248325417762893,0.8,0.05614852160727824,0.5109931766489765,0.07255318181818182,-0.006875581395348842,0.07942876321353066,20
"★ BEST Ridge(a=0.3, decay=1.5)",0.19980854671155074,3.2415496714314784,0.7248325417762893,0.8,0.05614852160727824,0.5109931766489765,0.07255318181818182,-0.006875581395348842,0.07942876321353066,20
Ridge a=0.5 decay=1.5,0.20005922755052272,3.22459682566425,0.72104177022153,0.8,0.05594298711144807,0.5125094768764216,0.0710075,-0.006136395348837206,0.07714389534883721,20
Ridge a=1.0 decay=1.5,0.1984243995545302,3.1721322838555834,0.7093103420322743,0.8,0.05530621683093251,0.5094768764215315,0.06992045454545455,-0.005993372093023255,0.0759138266384778,20
Ridge a=2.0 decay=1.5,0.19648725415998552,3.1248613738202944,0.698740245212556,0.8,0.05395921152388172,0.5087187263078089,0.07036363636363638,-0.0063586046511627855,0.07672224101479916,20
Ridge a=3.0 decay=1.5,0.1939333144654828,3.0786392366203543,0.6884046611281172,0.8,0.05359977255496589,0.510235026535254,0.06870068181818181,-0.004472209302325581,0.0731728911205074,20
精简 Ridge a=0.3 decay=2,0.19437733749661623,3.049239492966895,0.6818306785950968,0.85,0.056424412433661864,0.5200909780136467,0.06752227272727272,-0.004263837209302332,0.07178610993657505,20
精简 Ridge a=0.5 decay=2,0.19526960879287728,3.0455098350518797,0.6809967017320174,0.85,0.05662949203942381,0.5208491281273692,0.06391318181818181,-0.004111627906976742,0.06802480972515855,20
精简 Ridge a=1.0 decay=2,0.19592838548780475,3.033437955750778,0.6782973474586738,0.85,0.05758476118271419,0.5185746777862017,0.06517227272727273,-0.005481279069767445,0.07065355179704018,20
Ridge a=0.3 decay=2,0.19102443437441124,3.0330357431631048,0.6782074099899295,0.8,0.05716072782410916,0.5170583775587566,0.07346068181818181,-0.005542674418604655,0.07900335623678648,20
Ridge a=0.5 decay=2,0.191941054717031,3.0240353809975744,0.6761948678275052,0.8,0.05785185746777862,0.514783927217589,0.07446954545454544,-0.0047587209302325595,0.079228266384778,20
Ridge a=5.0 decay=1.5,0.18899883626101524,3.015646781035928,0.6743191198524758,0.8,0.05318764215314632,0.511751326762699,0.0699125,-0.0030349999999999947,0.0729475,20
Ridge a=1.0 decay=2,0.19223075204306356,3.004098152618625,0.6717367680336782,0.8,0.058146550416982565,0.5178165276724791,0.07505568181818181,-0.006540232558139528,0.08159591437632134,20
精简 Ridge a=2.0 decay=2,0.19561641613985917,3.0028334543480724,0.6714539729032801,0.85,0.05695481425322215,0.5185746777862017,0.06757909090909092,-0.005553720930232553,0.07313281183932348,20
Ridge a=2.0 decay=2,0.1913701963813655,2.9718129463164793,0.6645175764377581,0.8,0.055658605003790745,0.5140257771038665,0.07334136363636365,-0.005491511627906972,0.07883287526427062,20
Ridge a=3.0 decay=2,0.1899080264508962,2.946869284750075,0.6589400041507352,0.8,0.055242987111448066,0.513267626990144,0.07333954545454545,-0.0036319767441860464,0.07697152219873149,20
Ridge a=5.0 decay=2,0.18633828540203642,2.900384579341922,0.648545708030067,0.8,0.054573009855951475,0.5125094768764216,0.0709009090909091,-0.0022167441860465134,0.07311765327695562,20
精简 Ridge a=1.0 decay=3,0.18717917985291943,2.891232429703249,0.6464992251568347,0.85,0.052696891584533744,0.5208491281273692,0.06546318181818182,-0.005556046511627913,0.07101922832980974,20
精简 Ridge a=0.5 decay=3,0.18505926714861323,2.882807988068109,0.6446154627399694,0.85,0.05158809704321456,0.5208491281273692,0.06349568181818183,-0.005370348837209312,0.06886603065539114,20
精简 Ridge a=2.0 decay=3,0.187576066054177,2.8709678246832873,0.6419679217206529,0.8,0.05342244124336619,0.5200909780136467,0.06567681818181817,-0.004598488372093022,0.07027530655391119,20
精简 Ridge a=0.3 decay=3,0.18310562063414135,2.866553991253821,0.6409809585616881,0.85,0.05228680818802124,0.5178165276724791,0.061262727272727274,-0.005017790697674424,0.0662805179704017,20
Ridge a=1.0 decay=3,0.18249731357811166,2.8199721248644507,0.6305649365851437,0.8,0.055506216830932535,0.5155420773313116,0.06534295454545455,-0.0032418604651162754,0.06858481501057083,20
精简 Ridge a=1.0 decay=4,0.18230983103576137,2.819855836116623,0.6305389336306275,0.8,0.05138407884761183,0.5200909780136467,0.06408386363636363,-0.003586860465116285,0.06767072410147992,20
精简 Ridge a=2.0 decay=4,0.18367678284543315,2.815663289357953,0.6296014516755043,0.8,0.05283131159969675,0.5216072782410918,0.0666256818181818,-0.003460581395348828,0.07008626321353063,20
精简 Ridge a=0.5 decay=4,0.17972839104546154,2.8101426783996457,0.6283670055374937,0.85,0.05064579226686883,0.5193328278999242,0.06272431818181819,-0.00409511627906977,0.06681943446088795,20
Ridge a=2.0 decay=3,0.183638023960987,2.809085726488227,0.6281306639052057,0.8,0.0557573919636088,0.5170583775587566,0.066915,-0.002984883720930233,0.06989988372093023,20
Ridge a=0.5 decay=3,0.1800659529527325,2.807514600210538,0.6277793493893908,0.8,0.05440439727065959,0.5163002274450341,0.06668818181818181,-0.0034841860465116294,0.07017236786469344,20
Ridge a=0.3 decay=3,0.17822789646034715,2.8029675466082917,0.626762597294195,0.8,0.054219636087945396,0.5178165276724791,0.06666954545454545,-0.0036756976744185934,0.07034524312896405,20
Ridge a=3.0 decay=3,0.18351722533806908,2.8002256313092944,0.6261494863944845,0.75,0.05557217589082639,0.5170583775587566,0.06827613636363636,-0.0015591860465116335,0.06983532241014799,20
精简 Ridge a=0.3 decay=4,0.17761142392890056,2.792100813633774,0.624332721931759,0.85,0.05096489764973465,0.5200909780136467,0.06170568181818182,-0.003477441860465117,0.06518312367864694,20
Blend Ridge*(0.8) + S_eng*(0.19999999999999996),0.18145700689684657,2.78303607537067,0.6223057848363046,0.8,0.056319863532979526,0.5238817285822593,0.07436045454545455,0.006406860465116281,0.06795359408033827,20
Blend Ridge*(0.7) + S_eng*(0.30000000000000004),0.17460806740192786,2.7790533029628803,0.6214152098520318,0.8,0.05369340409401062,0.5238817285822593,0.06941545454545453,0.008986976744186047,0.06042847780126848,20
Ridge a=5.0 decay=3,0.18090755587454313,2.7620760180790147,0.6176189735446614,0.75,0.054856937073540564,0.5155420773313116,0.0671025,0.00041930232558140134,0.06668319767441859,20
Huber a=0.05 decay=2,0.1715034673217374,2.7565201572300273,0.616376645291475,0.8,0.052409097801364685,0.5087187263078089,0.06360931818181818,-0.001294534883720937,0.06490385306553913,20
Huber a=0.01 decay=2,0.17040113166627646,2.7496412005376043,0.6148384638136214,0.8,0.05221599696739956,0.5094768764215315,0.06504886363636363,-0.0010736046511627879,0.06612246828752641,20
